year (AD),depth (m),d18O (normalized)
1994,NA,0.8
1993,NA,0.7
1992,NA,-0.1
1991,NA,-0.2
1990,NA,-0.1
1989,NA,0.3
1988,NA,0.3
1987,NA,0.9
1986,NA,0
1985,NA,0.6
1984,NA,0
1983,NA,-0.4
1982,NA,-0.4
1981,NA,-0.1
1980,NA,-0.6
1979,NA,0.3
1978,NA,0.1
1977,NA,0.1
1976,NA,0.9
1975,NA,0.4
1974,NA,0.3
1973,NA,0
1972,NA,0.4
1971,NA,0.5
1970,NA,-0.1
1969,NA,0.2
1968,NA,0.4
1967,NA,0.1
1966,NA,0.6
1965,NA,0.6
1964,NA,0.1
1963,NA,0.1
1962,NA,0.3
1961,NA,0.3
1960,NA,0.3
1959,NA,-0.1
1958,NA,0.2
1957,NA,0.1
1956,NA,0.5
1955,NA,0.9
1954,NA,0.5
1953,NA,0.5
1952,NA,0.3
1951,NA,0.5
1950,NA,-0.1
1949,NA,-0.5
1948,NA,-0.3
1947,NA,-0.2
1946,NA,-0.3
1945,NA,0
1944,NA,-0.2
1943,NA,-0.4
1942,NA,-0.1
1941,NA,0.1
1940,NA,0.7
1939,NA,0.6
1938,NA,0.6
1937,NA,0.6
1936,NA,0.5
1935,NA,0.8
1934,NA,0.9
1933,NA,0.7
1932,NA,0.7
1931,NA,1.3
1930,NA,1.3
1929,NA,1.2
1928,NA,1.7
1927,NA,1.6
1926,NA,0.7
1925,NA,0.1
1924,NA,-0.1
1923,NA,0.2
1922,NA,0
1921,NA,-0.6
1920,NA,-0.7
1919,NA,-0.3
1918,NA,-0.8
1917,NA,-0.8
1916,NA,0.5
1915,NA,1
1914,NA,0.1
1913,NA,-0.2
1912,NA,0.2
1911,NA,0.4
1910,NA,0.1
1909,NA,0.4
1908,NA,0.4
1907,NA,0.3
1906,NA,-0.2
1905,NA,-0.4
1904,NA,-0.2
1903,NA,0.8
1902,NA,0.7
1901,NA,0.6
1900,NA,0.6
1899,NA,0.5
1898,NA,-0.2
1897,NA,-0.5
1896,NA,0.1
1895,NA,0.5
1894,NA,0.3
1893,NA,0.7
1892,NA,1.1
1891,NA,1.1
1890,NA,0.7
1889,NA,0.2
1888,NA,-0.1
1887,NA,-0.3
1886,NA,-0.2
1885,NA,0
1884,NA,-0.2
1883,NA,-0.1
1882,NA,0.1
1881,NA,0.4
1880,NA,0.7
1879,NA,0.7
1878,NA,1.1
1877,NA,1.1
1876,NA,0.9
1875,NA,0.9
1874,NA,0.7
1873,NA,0.4
1872,NA,0.1
1871,NA,0.3
1870,NA,0.5
1869,NA,0.5
1868,NA,-0.2
1867,NA,-0.9
1866,NA,-0.6
1865,NA,-0.3
1864,NA,0
1863,NA,-0.1
1862,NA,-0.5
1861,NA,-0.6
1860,NA,0.1
1859,NA,0.2
1858,NA,0.4
1857,NA,0.2
1856,NA,0.2
1855,NA,0.1
1854,NA,-0.2
1853,NA,-0.1
1852,NA,0
1851,NA,0.6
1850,NA,0.6
1849,NA,0.1
1848,NA,-0.2
1847,NA,0
1846,NA,0.2
1845,NA,0.1
1844,NA,0.2
1843,NA,0.1
1842,NA,0
1841,NA,0.1
1840,NA,-0.1
1839,NA,-0.2
1838,NA,-0.3
1837,NA,0
1836,NA,-0.2
1835,NA,-1
1834,NA,-1.2
1833,NA,-0.9
1832,NA,-0.4
1831,NA,-0.3
1830,NA,0.2
1829,NA,-0.1
1828,NA,-0.2
1827,NA,0.5
1826,NA,0.8
1825,NA,0.3
1824,NA,0
1823,NA,-0.2
1822,NA,-0.2
1821,NA,-0.3
1820,NA,-0.7
1819,NA,-0.7
1818,NA,-0.8
1817,NA,-0.6
1816,NA,-0.8
1815,NA,-1.1
1814,NA,-0.9
1813,NA,-0.9
1812,NA,-0.5
1811,NA,0.2
1810,NA,-0.1
1809,NA,-0.2
1808,NA,-0.4
1807,NA,-0.2
1806,NA,0
1805,NA,0.7
1804,NA,0.7
1803,NA,0.6
1802,NA,0.3
1801,NA,-0.3
1800,NA,-0.8
1799,NA,-0.6
1798,NA,-0.3
1797,NA,-0.4
1796,NA,-0.4
1795,NA,-0.3
1794,NA,0.2
1793,NA,0.6
1792,NA,0.2
1791,NA,0.4
1790,NA,0.1
1789,NA,0.1
1788,NA,0.4
1787,NA,0.3
1786,NA,0.3
1785,NA,0.5
1784,NA,0.3
1783,NA,-0.1
1782,NA,0
1781,NA,0.4
1780,NA,-0.1
1779,NA,-0.5
1778,NA,-0.1
1777,NA,0
1776,NA,-0.1
1775,NA,0.4
1774,NA,0.7
1773,NA,0.9
1772,NA,1
1771,NA,0.5
1770,NA,0.5
1769,NA,0.6
1768,NA,0.4
1767,NA,-0.3
1766,NA,-0.4
1765,NA,-0.3
1764,NA,-0.2
1763,NA,0.2
1762,NA,0.5
1761,NA,-0.1
1760,NA,-0.6
1759,NA,-0.1
1758,NA,-0.3
1757,NA,0.1
1756,NA,-0.2
1755,NA,-0.1
1754,NA,0
1753,NA,-0.6
1752,NA,-0.1
1751,NA,-0.2
1750,NA,-0.1
1749,NA,-0.4
1748,NA,-0.6
1747,NA,-0.4
1746,NA,-0.2
1745,NA,-0.7
1744,NA,-0.9
1743,NA,-0.6
1742,NA,-0.3
1741,NA,0.1
1740,NA,0.2
1739,NA,0.2
1738,NA,0
1737,NA,0.3
1736,NA,0.2
1735,NA,0.1
1734,NA,-0.2
1733,NA,-0.2
1732,NA,0
1731,NA,0.6
1730,NA,0.5
1729,NA,0.6
1728,NA,0.3
1727,NA,0
1726,NA,-0.2
1725,NA,-0.2
1724,NA,-0.2
1723,NA,-0.4
1722,NA,-0.6
1721,NA,-0.8
1720,NA,-0.7
1719,NA,-0.5
1718,NA,-0.3
1717,NA,-0.3
1716,NA,-0.4
1715,NA,-0.2
1714,NA,0.1
1713,NA,0.5
1712,NA,0.3
1711,NA,0
1710,NA,-0.2
1709,NA,-0.2
1708,NA,-0.2
1707,NA,-0.5
1706,NA,-0.4
1705,NA,-0.3
1704,NA,-0.2
1703,NA,0.1
1702,NA,0.6
1701,NA,0.5
1700,NA,-0.2
1699,NA,-0.3
1698,NA,-0.3
1697,NA,-0.4
1696,NA,-0.6
1695,NA,-1.1
1694,NA,-1.2
1693,NA,-0.8
1692,NA,-0.5
1691,NA,-0.6
1690,NA,-0.3
1689,NA,-0.2
1688,NA,-0.1
1687,NA,-0.2
1686,NA,-0.2
1685,NA,0
1684,NA,-0.1
1683,NA,-0.2
1682,NA,-0.2
1681,NA,-0.2
1680,NA,-0.5
1679,NA,-0.4
1678,NA,-0.3
1677,NA,-0.7
1676,NA,-0.8
1675,NA,-0.6
1674,NA,-0.4
1673,NA,-0.3
1672,NA,-0.4
1671,NA,-0.5
1670,NA,-0.4
1669,NA,-0.2
1668,NA,0.1
1667,NA,0.1
1666,NA,0
1665,NA,-0.2
1664,NA,0.3
1663,NA,0.3
1662,NA,0.5
1661,NA,0.2
1660,NA,-0.1
1659,NA,-0.1
1658,NA,0.1
1657,NA,0.3
1656,NA,-0.1
1655,NA,-0.3
1654,NA,-0.3
1653,NA,-0.2
1652,NA,-0.3
1651,NA,-0.3
1650,NA,-0.8
1649,NA,-0.7
1648,NA,-0.4
1647,NA,-0.2
1646,NA,0
1645,NA,0.2
1644,NA,0
1643,NA,0.1
1642,NA,0.2
1641,NA,0
1640,NA,-0.4
1639,NA,-0.5
1638,NA,-0.5
1637,NA,-0.3
1636,NA,-0.3
1635,NA,-0.5
1634,NA,-0.7
1633,NA,-0.4
1632,NA,-0.2
1631,NA,0.1
1630,NA,0.2
1629,NA,0.3
1628,NA,0.2
1627,NA,0.3
1626,NA,0.3
1625,NA,0.1
1624,NA,-0.1
1623,NA,-0.1
1622,NA,-0.1
1621,NA,-0.4
1620,NA,0
1619,NA,0.4
1618,NA,0.4
1617,NA,0.4
1616,NA,0.5
1615,NA,0.8
1614,NA,0.5
1613,NA,0.3
1612,NA,0
1611,NA,-0.4
1610,NA,-0.6
1609,NA,-0.4
1608,NA,-0.1
1607,NA,-0.3
1606,NA,-0.4
1605,NA,0
1604,NA,0.2
1603,NA,0.2
1602,NA,-0.1
1601,NA,-0.3
1600,NA,0.1
1599,NA,0.3
1598,NA,-0.3
1597,NA,-0.6
1596,NA,-0.3
1595,NA,-0.1
1594,NA,0.1
1593,NA,0.2
1592,NA,0.3
1591,NA,0
1590,NA,-0.1
1589,NA,0
1588,NA,0
1587,NA,-0.1
1586,NA,0.1
1585,NA,0.3
1584,NA,0.5
1583,NA,0.2
1582,NA,0.2
1581,NA,0.1
1580,NA,0.2
1579,NA,-0.1
1578,NA,-0.1
1577,NA,-0.1
1576,NA,-0.1
1575,NA,-0.1
1574,NA,-0.1
1573,NA,0.1
1572,NA,0.4
1571,NA,0.3
1570,NA,0.1
1569,NA,0.1
1568,NA,-0.1
1567,NA,-0.2
1566,NA,-0.3
1565,NA,0.1
1564,NA,0.2
1563,NA,0.1
1562,NA,0.3
1561,NA,0.7
1560,NA,0.5
1559,NA,0.6
1558,NA,0.3
1557,NA,-0.1
1556,NA,0
1555,NA,0.1
1554,NA,-0.2
1553,NA,-0.5
1552,NA,-0.1
1551,NA,0
1550,NA,0.2
1549,NA,-0.1
1548,NA,-0.2
1547,NA,-0.1
1546,NA,-0.4
1545,NA,-0.7
1544,NA,-0.5
1543,NA,-0.1
1542,NA,0.1
1541,NA,0.4
1540,NA,0.1
1539,NA,-0.3
1538,NA,-0.3
1537,NA,-0.4
1536,NA,-0.1
1535,NA,0
1534,NA,0.1
1533,NA,0.2
1532,NA,-0.1
1531,NA,-0.3
1530,NA,-0.2
1529,NA,0.1
1528,NA,0.1
1527,NA,0.4
1526,NA,0.5
1525,NA,0.4
1524,NA,0.4
1523,NA,0.4
1522,NA,0
1521,NA,-0.2
1520,NA,-0.2
1519,NA,-0.5
1518,NA,-0.5
1517,NA,-0.2
1516,NA,0
1515,NA,0.3
1514,NA,0
1513,NA,-0.2
