year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1994,-35.9,0.47,0.14,137
1993,-37.3,0.94,0.27,137
1992,-37.3,1.4,0.41,137
1991,-36.3,1.85,0.55,137
1990,-35.9,2.29,0.69,137
1989,-35.4,2.72,0.82,137
1988,-34.5,3.14,0.96,137
1987,-34.5,3.55,1.1,137
1986,-35.7,3.95,1.24,137
1985,-33.4,4.36,1.37,137
1984,-37.6,4.75,1.51,137
1983,-36,5.14,1.65,137
1982,-35.5,5.52,1.79,137
1981,-36.6,5.89,1.92,137
1980,-37.4,6.26,2.06,137
1979,-36.5,6.62,2.2,137
1978,-34.4,6.97,2.34,137
1977,-34.3,7.33,2.47,137
1976,-33.4,7.67,2.61,137
1975,-33.9,8.02,2.75,137
1974,-35.5,8.35,2.89,137
1973,-37.4,8.69,3.02,137
1972,-33.7,9.03,3.16,137
1971,-35.3,9.35,3.3,137
1970,-35.8,9.68,3.44,137
1969,-35.1,9.98,3.57,137
1968,-37.1,10.25,3.71,137
1967,-37.4,10.57,3.85,137
1966,-34.1,10.88,3.99,137
1965,-35,11.19,4.12,137
1964,-35.9,11.5,4.26,137
1963,-35.9,11.8,4.4,137
1962,-34.5,12.11,4.54,137
1961,-34.6,12.41,4.67,137
1960,-35.1,12.7,4.81,137
1959,-37.3,13,4.95,137
1958,-37.1,13.29,5.09,137
1957,-35,13.58,5.22,137
1956,-34.3,13.87,5.36,137
1955,-33.5,14.16,5.5,137
1954,-35.4,14.44,5.63,137
1953,-34.3,14.73,5.77,137
1952,-33.7,15.01,5.91,137
1951,-34.5,15.29,6.05,137
1950,-34.4,15.56,6.18,137
1949,-36.1,15.84,6.32,137
1948,-35.4,16.11,6.46,137
1947,-36.4,16.39,6.6,137
1946,-37.4,16.66,6.73,137
1945,-37.4,16.93,6.87,137
1944,-37.1,17.19,7.01,137
1943,-34.8,17.46,7.15,137
1942,-35.6,17.72,7.28,137
1941,-36.1,17.99,7.42,137
1940,-34.4,18.25,7.56,137
1939,-38.7,18.51,7.7,137
1938,-38,18.77,7.83,137
1937,-35.4,19.03,7.97,137
1936,-35.8,19.28,8.11,137
1935,-34.6,19.54,8.25,137
1934,-33.6,19.79,8.38,137
1933,-35,20.05,8.52,137
1932,-34.5,20.3,8.66,137
1931,-34.6,20.55,8.8,137
1930,-35.2,20.8,8.93,137
1929,-33.4,21.05,9.07,137
1928,-31.6,21.3,9.21,137
1927,-33.9,21.54,9.35,137
1926,-34.3,21.79,9.48,137
1925,-34.1,22.03,9.62,137
1924,-36.2,22.28,9.76,137
1923,-34.6,22.52,9.9,137
1922,-35.9,22.76,10.03,137
1921,-36.5,23,10.17,137
1920,-35.7,23.24,10.31,138
1919,-35.2,23.48,10.45,137
1918,-35.5,23.72,10.58,137
1917,-36.2,23.95,10.72,138
1916,-33.4,24.19,10.86,137
1915,-33,24.42,10.99,137
1914,-36.2,24.66,11.13,138
1913,-36.7,24.89,11.27,137
1912,-34.6,25.12,11.41,152
1911,-33.5,25.38,11.56,152
1910,-35,25.64,11.71,152
1909,-34.1,25.89,11.86,152
1908,-34.7,26.14,12.01,152
1907,-35.7,26.4,12.17,152
1906,-34.7,26.65,12.32,152
1905,-35.3,26.9,12.47,152
1904,-34.4,27.15,12.62,152
1903,-33.4,27.4,12.77,152
1902,-33.4,27.64,12.92,152
1901,-34.8,27.89,13.08,152
1900,-35.8,28.14,13.23,152
1899,-35.5,28.38,13.38,152
1898,-35.7,28.63,13.53,152
1897,-36.1,28.87,13.68,152
1896,-34.8,29.12,13.83,152
1895,-33.9,29.36,13.99,152
1894,-35.4,29.6,14.14,152
1893,-35.1,29.84,14.29,152
1892,-35.6,30.08,14.44,152
