year (AD),depth (cm),dD (permil),dD (permil)
1879.090909,9.5,-141.81,-153.23
1497.272727,39.5,-140.98,-182.09
1115.454546,69.5,-139.34,-179.91
606.363636,109.5,-142.97,-195.27
358.181818,129,NA,-184.08
-150.909091,169,-152.8,-182.49
-666.363636,209.5,-136.59,-199.44
-1064.572864,229,-151.7,-179.49
-1607.286432,269,-148,-187.2
-2172.126437,310.5,NA,-187.22
-2459.770115,330,-152,-183.53
-3049.808429,370,-149.5,-186.33
-3632.471264,409.5,-129.85,-188.82
-3920.114943,429,-143.9,-171.54
-4510.153257,469,-136.6,-178.57
-5033.812261,504.5,-138.09,-187.11
-5255.076628,519.5,NA,-182.48
-5395.210728,529,-137.1,-167.35
-5550.095785,539.5,NA,-175.64
-5845.114943,559.5,-131.41,-176.36
-5985.249042,569,-139.8,-192.31
-6125.735294,579.5,-129.15,-176.48
-6251.470588,589,-152.2,-187.34
-6397.058824,600,-155.4,-203
-6463.235294,605,-159.5,-200.61
-6516.176471,609,-152.1,-196.1
-7087.5,619,-162.3,-182.34
-7512.5,629,-158,-191.22
-7937.5,639,-159.3,-188.12
-8319,649,-164.6,-186.82
-9150,659,-148.1,-190.54
-9816.66667,669,-138.5,-197.54
-10083.33333,673,-143.6,-197.93
-10683.33333,682,-131.6,-200.55
-11016.66667,687,-123.6,-197.01
