year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2]
2004,29.2,2004,NA
2003,29.4,2003,28.7
2002,27.1,2002,27.8
2001,26.9,2001,27.8
2000,28.3,2000,27
1999,27.1,1999,27
1998,28.7,1998,28.6
1997,27.6,1997,26.2
1996,28.2,1996,28.3
1995,28.5,1995,27.3
1994,29.3,1994,29
1993,29.1,1993,27.8
1992,28.4,1992,28.4
1991,28.6,1991,27.3
1990,27.8,1990,27.9
1989,27.2,1989,26.9
1988,28.6,1988,28.4
1987,28.9,1987,27.8
1986,28.3,1986,28.4
1985,28.4,1985,28.7
1984,25.4,1984,26
1983,27.8,1983,28.5
1982,26.9,1982,26.6
1981,28.1,1981,25.4
1980,27.4,1980,27.9
1979,25.7,1979,26.1
1978,28.1,1978,27.5
1977,27.9,1977,28
1976,25.4,1976,25.3
1975,28.3,1975,29
1974,25.8,1974,26.7
1973,27.7,1973,28.3
1972,29.1,1972,28.5
1971,27.7,1971,27.5
1970,27.6,1970,27.5
1969,30,1969,28.9
1968,29,1968,28.2
1967,30.4,1967,28.6
1966,28.5,1966,28.3
1965,28.9,1965,25.5
1964,28,1964,27.7
1963,27.3,1963,27.7
1962,26.7,1962,26.7
1961,28,1961,26.4
1960,24.9,1960,25.2
1959,26.1,1959,25.3
1958,25.9,1958,28
1957,27,1957,26.7
1956,27.4,1956,27.3
1955,28.5,1955,28.2
1954,28.6,1953,27.9
1952,29.5,1952,27
1951,26.4,1951,27.9
1950,26.2,1950,26.8
1949,26.4,1949,26.6
1948,28.3,1948,28.4
1947,27.4,1946,27.5
1945,27.6,1945,24.8
1944,27.9,1937,27.8
1936,25.8,1935,25
1934,25.7,1934,27.9
1933,25.6,1931,27.3
1930,28,1929,28.1
1928,26.5,1928,27.3
1927,29,1927,28.1
1926,26.8,1926,26.6
1925,28.4,1925,27.7
1924,29.2,1924,26.6
1923,28.5,1923,27.6
1922,29,1921,29
1920,28.7,1920,27.7
1919,26,1919,25.1
1918,25.8,1918,25.3
1917,27.3,1916,27.8
1915,28.4,1914,28.1
1913,27.5,1913,27.1
1912,26.3,1912,26.6
1911,27.2,1911,28
1910,28.1,1910,27.1
1909,28.1,1908,29.1
1907,29.5,1907,28.3
1906,28.9,1906,28.2
1905,26.8,1905,26.5
1904,27.9,1904,27.2
1903,27.7,1903,27.6
1902,25.1,1902,25.3
1901,31.4,1901,30.8
1900,28.3,1900,26.5
1899,28.4,1899,27.6
1898,29.4,1897,28.7
1896,27.3,1896,26.1
1895,26.1,1895,26.8
1894,25.5,1894,25.6
1893,27.4,1893,26.7
1892,26.5,1891,26.1
1890,29.2,1890,28
1889,26.9,1889,27
1888,27.5,1888,27.1
1887,29.4,1887,27.8
1886,26.8,1886,25.5
1885,27.2,1885,25.5
1884,27.6,1884,27.1
1883,28,1883,27.2
1882,24.5,1881,25.5
1879,27.3,1880,27.1
1878,27.4,1878,28.3
1877,27.1,1876,26.6
1875,27.2,1874,27.3
1873,25.9,1873,26.3
1872,28.4,1872,26.3
1871,26.5,1869,26.5
1868,26.9,1867,27.1
1866,27.7,1865,28.5
