year (AD),dD (permil)
2007,-159.865625
2006,-135.487857142857
2005,-147.520892857143
2004,-144.855524691358
2003,-148.698166666667
2002,-153.080166666667
2001,-135.984130434783
2000,-142.426153846154
1999,-137.438777777778
1998,-142.447777777778
1997,-144.956515151515
1996,-144.039946236559
1995,-140.248494623656
1994,-137.33524691358
1993,-142.365961538462
1992,-141.539431818182
1991,-142.811060606061
1990,-155.858611111111
1989,-126.691264367816
1988,-153.585166666667
1987,-147.43
1986,-162.881616161616
1985,-137.997552083333
1984,-148.180069444444
1983,-141.727013888889
1982,-151.244382716049
1981,-142.9228
1980,-161.969682539683
1979,-149.575747126437
1978,-145.497962962963
1977,-151.253
1976,-133.080714285714
1975,-154.684
1974,-143.231111111111
1973,-134.471666666667
1972,-151.4425
1971,-141.2
1970,-156.603888888889
1969,-143.743571428571
1968,-161.345714285714
1967,-153.076428571429
1966,-147.135
1965,-153.062857142857
1964,-151.223571428571
1963,-147.31
1962,-151.499285714286
1961,-149.325
1960,-156.1825
1959,-154.568333333333
1958,-159.57875
1957,-148.359166666667
1956,-141.136666666667
1955,-140.846666666667
1954,-140.055625
1953,-155.138125
1952,-143.348125
1951,-161.393333333333
1950,-134.687142857143
1949,-158.952857142857
1948,-164.762142857143
1947,-161.866666666667
1946,-146.989
1945,-152.445714285714
1944,-152.702857142857
1943,-146.215
1942,-137.818
1941,-155.57375
1940,-163.58625
1939,-158.703333333333
1938,-160.011
1937,-151.483
1936,-140.977857142857
1935,-132.056666666667
1934,-146.155833333333
1933,-145.525
1932,-157.200714285714
1931,-150.889166666667
1930,-150.86
1929,-163.2675
1928,-145.41
1927,-164.538
1926,-162.595833333333
1925,-158.625833333333
1924,-146.027142857143
1923,-154.863333333333
1922,-161.438
1921,-147.93
1920,-152.104
1919,-153.2775
1918,-154.015
1917,-157.955
1916,-149.370714285714
1915,-144.45
1914,-152.09
1913,-142.692
1912,-157.074
1911,-159.648333333333
1910,-147.420833333333
1909,-141.378
1908,-147.656666666667
1907,-152.618
1906,-156.485
1905,-154.611
1904,-142.052
1903,-154.319166666667
1902,-138.866
1901,-162.444
1900,-154.46625
1899,-164.70375
1898,-145.23125
1897,-141.25
1896,-155.73
1895,-150.76
1894,-148.18875
1893,-134.618
1892,-144.452
1891,-136.794
1890,-135.213
1889,-138.52
1888,-140.711
1887,-144.842
1886,-147.145
1885,-145.06
1884,-148.595
1883,-153.254
1882,-154.345
1881,-160.0575
1880,-141.112
1879,-151.56
1878,-158.19
1877,-157.2475
1876,-145.28
1875,-144.608
1874,-143.008
1873,-164.512
1872,-137.828
1871,-158.51
1870,-145.226
1869,-139.161666666667
1868,-147.616
1867,-162.092
1866,-156.045
1865,-157.625
1864,-154.2085
1863,-150.792
1862,-145.76
1861,-136.561666666667
1860,-146.806
1859,-146.286
1858,-154.936
1857,-143.16
1856,-145.732
1855,-133.122
1854,-145.0325
1853,-155.5875
1852,-149.23
1851,-144.86
1850,-151.4125
1849,-150.216666666667
1848,-153.642
1847,-149.0225
1846,-155.218
1845,-161.356
1844,-166.4525
1843,-145.45875
1842,-161.63
1841,-132.2025
1840,-148.246666666667
1839,-152.794
1838,-149.41125
1837,-136.7
1836,-139.86375
1835,-144.01875
1834,-149.88
1833,-144.848666666667
1832,-145.215555555556
1831,-156.118
1830,-137.194
1829,-145.785833333333
1828,-148.779666666667
1827,-160.775
1826,-152.725
1825,-148.3925
1824,-145.9025
1823,-155.41
1822,-145.1
1821,-148.43
1820,-134.2175
1819,-138.74
1818,-138.278
1817,-148.5125
1816,-158.2025
1815,-156.41
1814,-139.608
1813,-147.9425
1812,-143.838
1811,-148.39
1810,-153.6925
1809,-148.7875
1808,-145.34
1807,-144.985
1806,-149.576666666667
1805,-151.513333333333
1804,-163.6175
1803,-146.94
1802,-144.24125
1801,-151.2075
1800,-142.916666666667
1799,-153.3625
1798,-147.246666666667
1797,-156.7125
1796,-164.123333333333
1795,-136.535
1794,-146.018333333333
1793,-142.51
1792,-141.103333333333
1791,-165.225
1790,-148.38875
1789,-149.683333333333
1788,-143.825
1787,-147.205
1786,-153.595833333333
1785,-143.316666666667
1784,-151.168125
1783,-145.261666666667
1782,-150.549166666667
1781,-158.157222222222
1780,-142.8
1779,-146.12875
1778,-145.8325
1777,-152.674166666667
1776,-151.641666666667
1775,-147.726666666667
1774,-149.467777777778
1773,-142.116388888889
1772,-132.971666666667
1771,-144.865555555556
1770,-142.872222222222
1769,-149.125555555556
1768,-145.815
1767,-155.655555555556
1766,-141.071111111111
1765,-130.136111111111
1764,-147.824444444444
1763,-129.015555555556
1762,-139.01
1761,-142.692222222222
1760,-153.14
1759,-179.546666666667
1758,-152.7175
1757,-145.843333333333
1756,-147.713333333333
1755,-154.324444444444
1754,-129.977777777778
1753,-123.642222222222
1752,-157.228888888889
1751,-161.565
1750,-148.293333333333
1749,-151.494444444444
1748,-140.681111111111
1747,-146.97111111111099
1746,-160.786666666667
1745,-139.682222222222
1744,-146.95
1743,-141.446666666667
1742,-152.511666666667
1741,-152.604444444444
1740,-149.320555555556
1739,-157.535
1738,-139.4775
1737,-147.138333333333
1736,-151.846666666667
1735,-144.641666666667
1734,-151.41
1733,-150.533333333333
1732,-155.406666666667
1731,-145.724444444444
1730,-149.46
1729,-166.313333333333
1728,-155.531666666667
1727,-141.596666666667
1726,-143.521666666667
1725,-153.995
1724,-162.321666666667
1723,-153.214444444444
1722,-140.923333333333
1721,-147.795
1720,-160.076666666667
1719,-163.128333333333
1718,-142.333333333333
1717,-147.388333333333
1716,-150.368888888889
1715,-143.598333333333
1714,-138.395555555556
1713,-156.17
1712,-154.95
1711,-154.314444444444
1710,-159.08666666666701
1709,-157.13
1708,-138.386666666667
1707,-154.938333333333
1706,-151.95
1705,-152.938333333333
1704,-150.685555555556
1703,-149.66
1702,-138.675555555556
1701,-140.718333333333
1700,-143.268888888889
1699,-148.325
1698,-153.364444444444
1697,-145.286666666667
1696,-150.751666666667
1695,-149.75
1694,-156.856666666667
1693,-165.754444444444
1692,-158.09
1691,-158.123333333333
1690,-151.33666666666701
1689,-147.953333333333
1688,-169.842222222222
1687,-162.181666666667
1686,-154.2
1685,-155.301111111111
1684,-148.256666666667
1683,-161.796666666667
1682,-151.595555555556
1681,-155.180833333333
1680,-170.313333333333
1679,-140.198888888889
1678,-153.136666666667
1677,-145.751666666667
1676,-148.36
1675,-145.3425
1674,-140.72
1673,-156.365
1672,-150.798333333333
1671,-132.5125
1670,-135.025
1669,-151.983333333333
1668,-154.63
1667,-143.425
1666,-147.8375
1665,-148.855
1664,-154.375
1663,-146.5975
1662,-144.4525
1661,-148.14
1660,-148.1025
1659,-146.2275
1658,-154.4625
1657,-140.3
1656,-156.0725
1655,-151.99
1654,-158.4125
1653,-165.27
1652,-150.721666666667
1651,-136.965
1650,-175.8925
1649,-155.3675
1648,-151.0625
1647,-146.153333333333
1646,-140.685
1645,-160.935
1644,-147.835
1643,-160.105
1642,-167.57
1641,-151.32
1640,-168.145
1639,-146.565
1638,-153.125
1637,-151.625
1636,-140.32
1635,-158.33666666666701
1634,-144.355
1633,-163.12
1632,-142.125
1631,-139.7
1630,-140.025
1629,-132.985
1628,-157.085
1627,-153.073333333333
1626,-156.965
1625,-152.54
1624,-154.39
1623,-142.05
1622,-146.7
1621,-123.435
1620,-147.64
1619,-151.41
1618,-144.16
1617,-140.386666666667
1616,-138.21
1615,-158.265
1614,-142.59
1613,-157.355
1612,-141.92
1611,-151.445
1610,-151.945
1609,-155.745
1608,-155.375
1607,-145.315
1606,-161.265
1605,-147.635
1604,-149.845
1603,-140.155
1602,-152.855
1601,-138.895
1600,-140.98
1599,-141.09
1598,-138.3375
1597,-148.48
1596,-152.5
1595,-152.1
1594,-138.8375
1593,-133.355
1592,-124.91
1591,-143.225
1590,-156.8875
1589,-160.91
1588,-147.505
1587,-147.32
1586,-159.71
1585,-170.075
1584,-156.495
1583,-144.925
1582,-162.905
1581,-174.69
1580,-148.955
1579,-156.35
1578,-170.19
1577,-164.83
1576,-144.84
1575,-155.27
1574,-150.42
1573,-136.315
1572,-137.61
1571,-155.04
1570,-143.855
1569,-162.18
1568,-156.05
1567,-145.39
1566,-131.32
1565,-137.34
1564,-139.05
1563,-152.735
1562,-140.645
1561,-148.94
1560,-157.995
1559,-167.85
1558,-173.005
1557,-156.51
1556,-156.35
1555,-147.605
1554,-146.12
1553,-168.335
1552,-174.905
1551,-158.75
1550,-147.58
1549,-144.065
1548,-148.575
1547,-153.43
1546,-154.085
1545,-148.3
1544,-165.815
1543,-154.31
1542,-150.225
1541,-159.76
1540,-153.765
1539,-155.095
1538,-147.14
1537,-148.135
1536,-153.99
1535,-140.69
1534,-153.135
1533,-140.46
1532,-145.175
1531,-159.22
1530,-158.25
1529,-156.17
1528,-164.02
1527,-157.38
1526,-154.335
1525,-150.92
1524,-142.915
1523,-153.37
1522,-144.69
1521,-147.585
1520,-152.37
1519,-155.085
1518,-163.1
1517,-178.15
1516,-149.55
1515,-142.99
1514,-152.56
1513,-155.03
1512,-158.1
1511,-163.535
1510,-144.75
1509,-147.97
1508,-149.175
1507,-137.29
1506,-147.76
1505,-160.49
1504,-147.25
1503,-142.515
1502,-139.35
1501,-160.465
1500,-164.96
1499,-162.48
1498,-157.635
1497,-145.37
1496,-160.935
1495,-152.52
1494,-159.845
1493,-142.4
1492,-154.365
1491,-150.13
1490,-153.29
1489,-155.87
1488,-145.15
1487,-139.28
1486,-140.8
1485,-150.48
1484,-149.25
1483,-155.575
1482,-167.88
1481,-168.56
1480,-159.35
1479,-136.115
1478,-140.69
1477,-154.22
1476,-160.01
1475,-140.07
1474,-154.05
1473,-147.135
1472,-135.08
1471,-159.495
1470,-170.87
1469,-143.02
1468,-125.75
1467,-146.69
1466,-153.645
1465,-146.89
1464,-147.355
1463,-139.81
1462,-148.695
1461,-150.78
1460,-147.685
1459,-146.74
1458,-160.47
1457,-162.6
1456,-154.865
1455,-152.52
1454,-157.19
1453,-158.425
1452,-174.05
1451,-151.92
1450,-156.15
1449,-157.74
1448,-152.2
1447,-155.945
1446,-159.44
1445,-151.17
1444,-150.105
1443,-141.44
1442,-146.775
1441,-142.42
1440,-137.86
1439,-151.86
1438,-138.06
1437,-157.73
1436,-164.95
1435,-158.45
1434,-154.99
1433,-159.79
1432,-163.51
1431,-153.72
1430,-151.72
1429,-148.13
1428,-150.395
1427,-177.49
1426,-180.05
1425,-165.75
1424,-140.6
1423,-164.29
1422,-182.62
1421,-146.93
1420,-153.115
1419,-127.68
1418,-146.43
1417,-149.09
1416,-150.31
1415,-152.37
1414,-164.51
1413,-151.31
1412,-161.325
1411,-166.3
1410,-170.655
1409,-165.24
1408,-139.27
1407,-151.08
1406,-140.83
1405,-137.21
1404,-146.69
1403,-149.59
1402,-147.95
1401,-155.11
1400,-145.47
1399,-149.315
1398,-140.91
1397,-151
1396,-162.905
1395,-150.6
1394,-150.625
1393,-153.4
1392,-165.13
1391,-146.08
1390,-148.21
1389,-148.13
1388,-164.02
1387,-160.93
1386,-146.57
1385,-150.2
1384,-164.99
1383,-149.55
1382,-165.805
1381,-171.96
1380,-155.09
1379,-157.375
1378,-148.07
1377,-157.13
1376,-154.04
1375,-152.19
1374,-158.34
1373,-151.33
1372,-167.39
1371,-153.705
1370,-165.94
1369,-161.36
1368,-158.48
1367,-156.38
1366,-138.45
1365,-140
1364,-145.08
1363,-171.63
1362,-156.585
1361,-155.89
1360,-158.3
1359,-147.975
1358,-146.58
1357,-149.94
1356,-150.045
1355,-154.88
1354,-158.44
1353,-146.19
1352,-170.18
1351,-144.71
1350,-152.31
1349,-139.3
1348,-151.96
1347,-157.455
1346,-142.88
1345,-142.69
1344,-140.415
1343,-143.88
1342,-150.68
1341,-156.155
1340,-154.65
1339,-144.5
1338,-159.795
1337,-153.53
1336,-146.11
1335,-138.565
1334,-143.18
1333,-144.05
1332,-153.805
1331,-161.35
1330,-165.53
1329,-173.71
1328,-151.295
1327,-155.91
1326,-147.54
1325,-159.295
1324,-136.04
1323,-149.87
1322,-153.19
1321,-125.12
1320,-146.16
1319,-155.305
1318,-155.07
1317,-128.48
1316,-131.09
1315,-151.93
1314,-151.81
1313,-146.44
1312,-157.87
1311,-141.04
1310,-171.56
1309,-160.645
1308,-156.35
1307,-142.425
1306,-150.96
1305,-149.49
1304,-165.24
1303,-151.56
1302,-155.81
1301,-148.75
1300,-162.675
1299,-159.52
1298,-144.17
1297,-147.985
1296,-166.92
1295,-132.45
1294,-138.92
1293,-138.835
1292,-139.24
1291,-159.75
1290,-156.78
1289,-147.46
1288,-155.69
1287,-158.92
1286,-156.07
1285,-155.55
1284,-152.03
1283,-161.66
1282,-170.18
1281,-153.16
1280,-154.29
1279,-142.37
1278,-130.31
1277,-155.46
1276,-147.42
1275,-138.64
1274,-137.23
1273,-147.74
1272,-158.68
1271,-155.64
1270,-153.48
1269,-153.03
1268,-145.91
1267,-150.7
1266,-151.82
1265,-161.77
1264,-140.92
1263,-163.02
1262,-148.83
1261,-154.52
1260,-149.69
1259,-154.92
1258,-162.6
1257,-150.2
1256,-147.4
1255,-143.5
1254,-142.3
1253,-144.6
1252,-135.8
1251,-137.1
1250,-152.9
1249,-147.2
1248,-160.6
1247,-163.6
1246,-155.3
1245,-147.6
1244,-151.5
1243,-154
1242,-142.8
1241,-147.1
1240,-148.7
1239,-152.9
1238,-146.9
1237,-157.5
1236,-153
1235,-162.2
1234,-148.8
1233,-162.3
1232,-142.6
1231,-156.8
1230,-153.2
1229,-147.5
1228,-155.8
1227,-167
1226,-153.3
1225,-155.1
1224,-147.8
1223,-141.9
1222,-153.5
1221,-147.5
1220,-153.3
1219,-164.9
1218,-163.6
1217,-151
1216,-152.9
1215,-144.9
1214,-149.1
1213,-154.9
1212,-147
1211,-144.5
1210,-156.9
1209,-155.2
1208,-147.3
1207,-144.9
1206,-166.1
1205,-153.6
1204,-149
1203,-153.9
1202,-169.3
1201,-160.1
1200,-142.9
1199,-149.6
1198,-154.4
1197,-148.6
1196,-162.3
1195,-154.1
1194,-154.9
1193,-153.8
1192,-157.4
1191,-161.5
1190,-168.7
1189,-153.6
1188,-152.8
1187,-152.5
1186,-151.6
1185,-144
1184,-149.1
1183,-157.4
1182,-165.4
1181,-157.1
1180,-153.5
1179,-156.6
1178,-149.1
1177,-149.3
1176,-156.1
1175,-157.9
1174,-145.5
1173,-151.4
1172,-151.3
1171,-150.4
1170,-146.7
1169,-157.6
1168,-154
1167,-146.1
1166,-152.1
1165,-148.9
1164,-155.2
1163,-147.6
1162,-150.9
1161,-156.8
1160,-153
1159,-160.8
1158,-162.2
1157,-147.1
1156,-163.3
1155,-154.4
1154,-159.9
1153,-153.6
1152,-147
1151,-148.8
1150,-168.5
1149,-154.2
1148,-150.3
1147,-140.4
1146,-166.9
1145,-148.7
1144,-151.7
1143,-152.5
1142,-147.8
1141,-147.5
1140,-133.7
1139,-147.5
1138,-143.1
1137,-151.9
1136,-148.8
1135,-160
1134,-155.3
1133,-159.2
