year (AD),d18O (permil),Sr_Ca (mmol/mol)
1999.21,-4.083,8.868
1999.13,-4.0817,8.8253
1999.04,-4.0803,8.7827
1998.96,-4.079,8.74
1998.88,-4.2497,8.7303
1998.79,-4.4203,8.7207
1998.71,-4.591,8.711
1998.63,-4.806,8.7485
1998.54,-4.603,8.748
1998.46,-4.3835,8.7605
1998.38,-4.3487,8.778
1998.29,-4.4473,8.7808
1998.21,-4.324,8.785
1998.13,-4.4054,8.7645
1998.04,-4.4742,8.7457
1997.96,-4.527,8.729
1997.88,-4.4603,8.7393
1997.79,-4.4676,8.73
1997.71,-4.569,8.696
1997.63,-4.494,8.7082
1997.54,-4.4104,8.7324
1997.46,-4.316,8.772
1997.38,-4,8.8181
1997.29,-3.8132,8.8354
1997.21,-3.791,8.816
1997.13,-3.9038,8.8231
1997.04,-4.0312,8.8142
1996.96,-4.177,8.785
1996.88,-4.3052,8.7946
1996.79,-4.4036,8.7908
1996.71,-4.464,8.77
1996.63,-4.2964,8.7793
1996.54,-4.2792,8.7752
1996.46,-4.102,8.825
1996.38,-3.9668,8.838
1996.29,-3.7404,8.8649
1996.21,-3.827,8.879
1996.13,-3.8667,8.8675
1996.04,-3.9464,8.8631
1995.96,-4.077,8.868
1995.88,-4.2552,8.8392
1995.79,-4.3559,8.8169
1995.71,-4.358,8.803
1995.63,-4.3856,8.8101
1995.54,-4.3643,8.8134
1995.46,-4.281,8.812
1995.38,-4.2586,8.8646
1995.29,-4.1617,8.8897
1995.21,-3.97,8.88
1995.13,-3.9604,8.8729
1995.04,-4.0681,8.8653
1994.96,-4.325,8.857
1994.88,-4.3468,8.875
1994.79,-4.3773,8.856
1994.71,-4.419,8.79
1994.63,-4.3504,8.8099
1994.54,-4.2704,8.8259
1994.46,-4.176,8.837
1994.38,-3.9965,8.8665
1994.29,-3.9168,8.8946
1994.21,-3.964,8.921
1994.13,-3.9473,8.9132
1994.04,-3.9307,8.9053
1993.96,-4.0735,8.8829
1993.88,-4.223,8.8598
1993.79,-4.2863,8.834
1993.71,-4.342,8.808
1993.63,-4.3953,8.8772
1993.54,-4.4353,8.863
1993.46,-4.44,8.847
1993.38,-4.3197,8.8657
1993.29,-4.0747,8.9095
1993.21,-3.953,8.922
1993.13,-3.8897,8.902
1993.04,-4.099,8.8567
1992.96,-4.3215,8.8465
1992.88,-4.423,8.8503
1992.79,-4.3858,8.8358
1992.71,-4.3,8.83
1992.63,-4.3108,8.8383
1992.54,-4.147,8.8433
1992.46,-3.98,8.849
1992.38,-3.8683,8.8527
1992.29,-3.8307,8.8562
1992.21,-3.919,8.877
1992.13,-3.9587,8.851
1992.04,-3.9984,8.825
1991.96,-4.1737,8.8061
1991.88,-4.3545,8.7875
1991.79,-4.3556,8.7822
1991.71,-4.341,8.778
1991.63,-4.2295,8.7857
1991.54,-4.1389,8.8025
1991.46,-4.075,8.831
1991.38,-3.9769,8.8521
1991.29,-3.9076,8.8722
1991.21,-3.875,8.891
1991.13,-3.9275,8.8668
1991.04,-4.09,8.8167
1990.96,-4.2545,8.7865
1990.88,-4.3703,8.787
1990.79,-4.405,8.7975
1990.71,-4.305,8.77
