year (AD),depth (cm),dD (permil),dD (permil),dD (permil)
1989,10,-94.018,-94.018,-82.171
1962,27,NA,NA,-106.236
1927,47,-107.408,-107.408,-112.4
1881,69,NA,NA,-112.388
1814,97,-97.628,-97.628,-106.807
1777,111,NA,NA,-115.514
1738,125,-122.33,-122.33,NA
1689,141,NA,NA,-95.777
1624,161,-96.029,-96.029,-70.641
1593,170,NA,NA,-89.292
1562,179,-119.419,-119.419,-110.078
1504,195,NA,NA,-109.781
1466,205,NA,NA,-97.441
1443,211,-122.578,-122.578,-129.641
1321,241,-107.594,-107.594,-130.615
1252,257,NA,NA,-100.617
1191,271,-121.584,-121.584,-125.932
1118,287,NA,NA,-124.465
1052,301,-113.957,-113.957,-109.43
975,317,NA,NA,-108.016
905,331,-105.838,-105.838,-80.897
751,361,-108.548,-108.548,-108.952
624,385,NA,NA,-109.13
536,401,-114.824,-114.824,-109.932
424,421,-117.082,-117.082,-103.121
252,451,-109.496,-109.496,-100.864
99,477,NA,NA,-103.958
