year (ad),d18O Liriodendron (permil),d18O Quercus rubra (permil)
1950,28.74,30.42
1951,29.61,30.54
1952,29.6,30.76
1953,29.18,30.47
1954,30.06,31.83
1955,28.5,30.24
1956,29.74,30.69
1957,29.45,30
1958,27.91,28.84
1959,28.85,29.75
1960,27.96,29.72
1961,28.83,29.62
1962,30.51,30.82
1963,28.86,29.75
1964,28.63,29.77
1965,28.5,29.56
1966,28.58,30.2
1967,28.62,29.87
1968,28.27,29.66
1969,28.29,29.95
1970,27.9,29.94
1971,27.91,29.38
1972,28.61,29.84
1973,28.39,29.43
1974,27.3,29.8
1975,28.38,29.94
1976,28.98,29.58
1977,29.37,31.53
1978,27.91,29.95
1979,28.32,29.87
1980,29.44,30.9
1981,28.14,29.72
1982,27.63,29.11
1983,28.97,30.43
1984,27.8,29.39
1985,28.07,29.41
1986,29.36,31.33
1987,29.04,30.34
1988,27.75,30.99
1989,28.18,29.03
1990,28.24,30.58
1991,27.8,29.22
1992,26.91,28.94
1993,28.46,30.09
1994,27.54,28.73
1995,28.04,30.1
1996,28.1,29.55
1997,29.28,29.7
1998,28.98,29.91
1999,29.58,30.1
2000,29.17,31.1
2001,27.63,29.37
2002,29.54,30.47
2003,27.58,28.82
2004,27.88,29.15
2005,27.89,28.65
2006,28.94,31.35
2007,29.57,31.17
2008,29.08,31.81
2009,28.47,30.46
2010,27.88,29.31
2011,29.71,30.6
2012,28.85,31.53
2013,28.05,28.75
2014,28.24,29.47
2015,29.13,30.09
