age (yr bp) [1-1],year (AD) [1-1],d2H C24 (per mil) [1-1],d2H C26 (per mil) [1-1],d2H C28 (per mil) [1-1],Core name (unitless) [1-1],MidpointDepth (cm) [1-1],stdev C24 (per mil) [1-1],n C24 (unitless) [1-1],stdev C26 (per mil) [1-1],n C26 (unitless) [1-1],stdev C28 (per mil) [1-1],n C28 (unitless) [1-1],Thickness (cm) [1-1],year (AD) [1-2],d2HC24 (per mil) [1-2],d2HC26 (unitless) [1-2],d2HC28 (per mil) [1-2],CoreName (unitless) [1-2],MidpointDepth (cm) [1-2],stdevC24 (per mil) [1-2],nC24 (unitless) [1-2],stdevC26 (per mil) [1-2],nC26 (unitless) [1-2],stdevC28 (per mil) [1-2],nC28 (unitless) [1-2],Thickness (cm) [1-2]
-1.239475,1951.239475,-217.04,-206.2,-196.6,10N32A,0.25,1.2,3,0.7,3,2,3,0.5,2001,-208.47,-196.4,-187.5,10N3SC,0.5,2.5,2,1.7,2,0.2,2,0.25
28.0749,1921.9251,-215.54,-203.9,-191.3,10N32A,0.75,2.9,5,2.4,2,1.5,5,0.5,1983,-201.9,-196.1,-187,10N3SC,1.375,1,2,1.2,2,0.5,2,0.25
92.45615,1857.54385,-212.31,NA,NA,10N32A,1.75,2.9,3,NA,NA,NA,NA,0.5,1875,-220.22,-206.9,-195.4,10N3SC,4.625,1.4,2,0.7,2,1.6,2,0.25
185.0081,1764.9919,-211.33,-195.7,-187.1,10N32A,3.25,3,10,2.5,2,2,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249.9509,1700.0491,-213.48,-192.6,-185.5,10N32A,4.25,0.5,2,1,3,1.5,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.82325,1640.17675,-213.78,-190.1,-180.6,10N32A,5.25,0.6,3,0.7,3,0.4,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465.704225,1484.295775,-206.97,-188.4,-180.7,10N32A,7.75,5.1,2,1.2,2,1.5,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597.709675,1352.290325,-196.07,-183.4,-188.8,10N32A,9.75,0,1,0,1,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721.182825,1228.817175,-223.18,-186.8,-177.9,10N32A,11.75,1.9,3,0.6,2,4.9,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806.371326,1143.628674,-215.17,-191.5,-184.6,10N32A,12.75,0,1,0.8,2,2,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928.917064,1021.082936,-215.6,-187.8,-180.2,10N32A,14.25,0.6,2,0.1,2,0.1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
