year (AD),depth (m),d18O (permil)
1842,0.004,-0.51
1834,0.015,-0.45
1826,0.025,-0.7
1818,0.036,-0.59
1810,0.046,-0.49
1802,0.056,-0.46
1794,0.067,-0.72
1786,0.077,-0.64
1778,0.087,-0.62
1770,0.098,-0.66
1762,0.108,-0.39
1754,0.118,-0.34
1746,0.129,-0.44
1738,0.139,-0.42
1730,0.149,-0.47
1722,0.159,-0.6
1714,0.17,-0.63
1706,0.18,-0.59
1698,0.19,-0.53
1690,0.2,-0.46
1682,0.211,-0.37
1674,0.221,-0.4
1666,0.231,-0.42
1658,0.241,-0.4
1650,0.251,-0.36
1642,0.261,-0.26
1634,0.271,-0.19
1626,0.281,-0.35
1618,0.292,-0.62
1610,0.302,-0.55
1602,0.312,-0.24
1594,0.322,-0.32
1586,0.332,-0.37
1578,0.342,-0.37
1570,0.352,-0.4
1562,0.362,-0.25
1554,0.372,-0.18
1546,0.382,-0.23
1538,0.392,-0.52
1530,0.402,-0.54
1522,0.412,-0.57
1514,0.422,-0.69
1506,0.431,-0.54
1498,0.441,-0.35
1490,0.451,-0.31
1482,0.461,-0.15
1474,0.471,-0.16
1466,0.481,-0.3
1458,0.491,-0.29
1450,0.5,-0.08
1442,0.51,-0.02
1434,0.52,-0.07
1426,0.53,-0.03
1418,0.54,-0.17
1410,0.549,-0.29
1402,0.559,-0.36
1394,0.569,-0.29
1386,0.579,-0.14
1378,0.588,-0.14
1370,0.598,-0.07
1362,0.608,-0.1
1354,0.617,0
1346,0.627,0.08
1338,0.637,0.13
1330,0.646,0.02
1322,0.656,0.05
1314,0.666,-0.07
1306,0.675,-0.21
1298,0.685,-0.26
1290,0.695,-0.2
1282,0.704,-0.7
1274,0.714,-0.39
1266,0.723,-0.32
1258,0.733,-0.35
1250,0.742,-0.53
1242,0.752,-0.5
1234,0.761,-0.37
1226,0.771,-0.27
1218,0.78,-0.24
1210,0.79,-0.28
1202,0.798,-0.15
1194,0.806,0.01
1186,0.818,-0.3
1178,0.828,-0.24
1170,0.837,-0.11
1162,0.847,-0.3
1154,0.856,-0.38
1146,0.865,-0.19
1138,0.875,-0.04
1130,0.884,-0.11
1122,0.894,-0.41
1114,0.903,-0.72
1106,0.914,-0.51
1098,0.935,-0.46
1090,0.957,-0.61
1082,0.98,-0.67
1074,1.003,-0.73
1066,1.025,-0.86
1058,1.048,-0.81
1050,1.07,-1.07
1042,1.092,-0.67
1034,1.114,-0.81
1026,1.135,-0.87
1018,1.159,-1.01
1010,1.181,-0.76
1002,1.203,-0.57
994,1.225,-0.77
986,1.247,-0.69
978,1.269,-0.74
970,1.291,-0.62
962,1.312,-0.76
954,1.334,-0.73
946,1.356,-0.71
938,1.377,-0.64
930,1.399,-0.38
922,1.421,-0.1
914,1.442,-0.08
906,1.463,-0.04
898,1.485,-0.16
890,1.506,-0.35
882,1.527,-0.29
874,1.549,-0.5
866,1.57,-0.34
858,1.591,-0.67
850,1.612,-0.47
842,1.633,-0.52
834,1.654,-0.42
826,1.675,-0.21
818,1.696,-0.51
810,1.717,-0.45
802,1.737,-0.39
794,1.758,-0.35
786,1.779,-0.45
778,1.8,-0.35
770,1.82,-0.03
762,1.841,-0.18
754,1.861,-0.16
746,1.882,-0.37
738,1.902,-0.11
730,1.923,-0.05
722,1.943,-0.18
714,1.963,0.01
706,1.984,-0.05
698,2.004,0.09
690,2.024,0.05
682,2.044,0.12
674,2.064,-0.11
666,2.084,-0.41
658,2.104,-0.13
650,2.124,-0.35
642,2.144,-0.05
634,2.164,0.04
626,2.184,0.15
618,2.204,-0.3
610,2.223,-0.25
602,2.243,-0.03
594,2.263,-0.39
586,2.282,-0.22
578,2.302,-0.29
570,2.322,-0.63
562,2.341,-0.55
554,2.361,-0.67
546,2.38,-0.38
538,2.4,-0.65
530,2.419,-0.23
522,2.438,-0.49
514,2.458,-0.47
506,2.477,-0.52
498,2.496,-0.63
490,2.515,-0.53
482,2.535,-0.6
474,2.554,-0.3
466,2.573,-0.14
458,2.589,-0.27
450,2.616,-0.29
442,2.63,-0.44
434,2.649,-0.3
426,2.668,-0.29
418,2.687,-0.48
410,2.705,-0.39
402,2.724,-0.35
394,2.743,-0.39
386,2.762,-0.2
378,2.78,-0.29
370,2.799,-0.68
362,2.818,-0.7
354,2.836,-0.48
346,2.855,-0.18
338,2.874,-0.9
330,2.892,-0.49
322,2.911,-0.49
314,2.929,-0.85
306,2.947,-0.78
298,2.966,-0.59
290,2.984,-0.54
282,3.002,-0.65
274,3.021,-0.65
266,3.039,-0.28
258,3.057,-0.24
250,3.075,-0.31
242,3.094,-0.29
234,3.112,-0.48
226,3.13,-0.48
218,3.148,-0.51
210,3.166,-0.6
202,3.184,-0.49
194,3.202,-0.7
186,3.22,-0.34
178,3.238,-0.21
170,3.256,-0.55
162,3.274,-0.56
154,3.291,-0.68
146,3.309,-0.62
138,3.327,-0.67
130,3.345,-0.15
122,3.363,-0.16
114,3.38,-0.33
106,3.398,-0.17
98,3.416,-0.23
90,3.433,-0.19
82,3.451,-0.27
74,3.468,-0.11
66,3.486,0
58,3.503,-0.05
50,3.521,-0.16
42,3.538,-0.04
34,3.556,-0.35
26,3.573,-0.4
18,3.59,-0.4
10,3.608,-0.23
2,3.625,-0.45
-6,3.642,-0.76
-14,3.66,-0.48
-22,3.677,-0.84
-30,3.694,-0.61
-38,3.711,-0.7
-46,3.728,-0.6
-54,3.745,-0.4
-62,3.763,0.06
-70,3.78,-0.23
-78,3.797,-0.23
-86,3.814,-0.28
-94,3.831,-0.67
-102,3.848,-0.77
-110,3.865,-0.97
-118,3.882,-0.57
-126,3.899,-0.89
-134,3.915,-0.39
-142,3.932,-0.41
-150,3.949,-0.54
-158,3.966,-0.63
-166,3.983,-0.6
-174,3.999,-0.65
-182,4.016,-0.35
-190,4.033,-0.39
-198,4.05,-0.47
-206,4.066,-0.37
-214,4.083,-0.38
-222,4.099,-0.33
-230,4.116,-0.27
-238,4.133,-0.49
-246,4.149,-0.41
-254,4.166,-0.21
-262,4.182,-0.37
-270,4.199,-0.48
-278,4.215,-0.77
-286,4.231,-1.04
-294,4.248,-0.48
-302,4.264,-0.67
-310,4.281,-0.58
-318,4.297,-0.56
-326,4.313,-0.77
-334,4.33,-0.63
-342,4.346,-0.75
-350,4.362,-0.74
-358,4.378,-0.5
-366,4.395,-0.52
-374,4.411,-0.7
-382,4.427,-0.29
-390,4.443,-0.25
-398,4.459,-0.57
-406,4.475,-0.4
-414,4.491,-0.75
-422,4.507,-0.69
-430,4.523,-0.66
-438,4.539,-1.05
-446,4.555,-1.31
-454,4.571,-0.68
-462,4.587,-0.97
-470,4.603,-0.68
-478,4.619,-0.67
-486,4.635,-0.72
-494,4.651,-0.77
-502,4.667,-0.89
-510,4.683,-0.48
-518,4.698,-0.85
-526,4.714,-0.88
-534,4.73,-1.32
-542,4.746,-1.69
-550,4.761,-1.45
-558,4.777,-1.63
-566,4.793,-0.81
-574,4.808,-0.53
-582,4.824,-0.71
-590,4.84,-0.55
-598,4.855,-0.56
-606,4.871,-0.79
-614,4.887,-0.71
-622,4.902,-0.8
-630,4.918,-0.49
-638,4.933,-0.54
-646,4.949,-0.64
-654,4.964,-0.77
-662,4.98,-0.43
-670,4.995,-0.76
-678,5.01,-0.61
-686,5.026,-0.68
-694,5.041,-0.2
-702,5.057,-0.28
-710,5.072,-0.51
-718,5.087,-0.75
-726,5.102,-0.58
-734,5.118,-0.91
-742,5.133,-0.64
-750,5.148,-0.71
-758,5.164,-1.11
-766,5.179,-1.05
-774,5.194,-1.52
-782,5.209,-1.61
-790,5.224,-1.51
-798,5.239,-1.31
-806,5.255,-0.93
-814,5.27,-0.89
-822,5.285,-0.71
-830,5.3,-0.71
-838,5.315,-0.76
-846,5.33,-0.41
