year (AD),depth (cm),d18O (permil),d13C (permil)
2002,0,-7.96,-12.36
2001,0.08,-7.95,-12.76
2000,0.17,-7.86,-12.21
1999,0.25,-7.92,-12.42
1998,0.33,-8.11,-12.57
1997,0.42,-7.95,-12.55
1996,0.5,-7.87,-12.62
1995,0.58,-8.08,-12.4
1994,0.67,-7.92,-12.34
1993,0.75,-7.84,-12.26
1992,0.83,-7.91,-12.48
1991,0.92,-7.9,-12.36
1990,1,-7.89,-12.38
1989,1.06,-7.48,-10.78
1988,1.11,-7.37,-10.99
1987,1.17,-7.43,-10.81
1986,1.22,-7.45,-10.99
1985,1.28,-7.44,-11.13
1984,1.33,-7.39,-11.08
1983,1.39,-7.46,-11.11
1982,1.44,-7.76,-11.71
1981,1.5,-7.85,-11.99
1980,1.56,-7.95,-12.07
1979,1.61,-8.07,-12.19
1978,1.67,-8.11,-12.27
1977,1.72,-8.3,-12.45
1976,1.78,-8.36,-12.6
1975,1.83,-8.52,-12.63
1974,1.89,-8.42,-12.32
1973,1.94,-8.23,-12.3
1972,2,-8.25,-12.4
1971,2.06,-8.47,-12.63
1970,2.11,-8.48,-12.5
1969,2.17,-8.46,-12.64
1968,2.22,-8.39,-12.59
1967,2.28,-8.35,-12.58
1966,2.33,-8.23,-12.68
1965,2.39,-8.23,-12.45
1964,2.44,-8.26,-12.31
1963,2.5,-8.31,-12.48
1962,2.56,-8.15,-12.24
1961,2.61,-8.11,-12.02
1960,2.67,-8.19,-11.88
1959,2.72,-8.44,-12.02
1958,2.78,-8,-11.55
1957,2.83,-8.14,-11.8
1956,2.89,-8.24,-11.88
1955,2.94,-8.08,-11.79
1954,3,-8.29,-11.93
1953,3.05,-8.21,-11.09
1952,3.11,-8.26,-11.82
1951,3.16,-7.98,-11.8
1950,3.21,-7.91,-11.85
1949,3.26,-8.24,-12.27
1948,3.32,-8.16,-12.18
1947,3.37,-8.21,-12.32
1946,3.42,-8.05,-12.16
1945,3.47,-8.14,-12.13
1944,3.53,-8.19,-12.16
1943,3.58,-8.14,-12.17
1942,3.63,-8.06,-12.05
1941,3.68,-8.01,-12.08
1940,3.74,-8.2,-12.29
1939,3.79,-8.09,-12.18
1938,3.84,-8.21,-12.19
1937,3.89,-8.39,-12.17
1936,3.95,-8.53,-12.23
1935,4,-8.53,-12.33
1934,4.06,-8.59,-11.96
1933,4.13,-8.6,-12.18
1932,4.19,-8.82,-12.37
1931,4.25,-8.78,-12.22
1930,4.31,-8.84,-12.22
1929,4.38,-8.79,-12.15
1928,4.44,-9.02,-12.67
1927,4.5,-8.89,-12.54
1926,4.56,-9.06,-12.91
1925,4.63,-9.01,-12.72
1924,4.69,-8.82,-12.68
1923,4.75,-9.26,-12.72
1922,4.81,-8.8,-12.9
1921,4.88,-8.84,-12.69
1920,4.94,-8.9,-12.56
1919,5,-8.96,-12.48
1918,5.05,-8.77,-12.19
1917,5.1,-8.54,-11.8
1916,5.15,-9.05,-12.41
1915,5.2,-8.98,-12.1
1914,5.25,-8.92,-11.93
1913,5.3,-8.75,-11.59
1912,5.35,-8.67,-11.39
1911,5.4,-8.57,-11.14
1910,5.45,-8.64,-11.52
1909,5.5,-8.46,-11.61
1908,5.55,-8.51,-11.59
1907,5.6,-8.66,-11.85
1906,5.65,-8.71,-11.87
1905,5.7,-8.52,-11.68
1904,5.75,-8.55,-11.82
1903,5.8,-8.39,-11.43
1902,5.85,-8.12,-10.98
1900,5.9,-7.89,-10.77
1898,5.95,-8.13,-10.89
1896,6,-8.25,-11.23
1894,6.05,-8.26,-11.27
1893,6.1,-8.28,-11.43
1891,6.14,-8.13,-11.59
1889,6.19,-8.31,-11.73
1887,6.24,-8.2,-11.22
1885,6.29,-8.25,-11.13
1883,6.33,-8.28,-11.22
1882,6.38,-8.19,-10.88
1880,6.43,-8.27,-11.03
1878,6.48,-8.67,-10.73
1876,6.52,-8.31,-11.13
1874,6.57,-8.13,-11.07
1873,6.62,-8.26,-10.97
1871,6.67,-8.43,-11.03
1869,6.71,-8.59,-11.21
1867,6.76,-8.67,-11.53
1865,6.81,-8.57,-11.36
1863,6.86,-8.64,-10.9
1862,6.9,-8.22,-10.54
1860,6.95,-8.38,-10.6
1858,7,-8.64,-11.54
1854,7.1,-8.45,-11.15
1847,7.3,-8.39,-10.99
