year (AD),dD (permil)
2009,-426.2962084
2008,-431.4118314
2007,-437.7516371
2006,-443.329111
2005,-435.6018916
2004,-434.7832954
2003,-402.974526
2002,-418.0696589
2001,-424.1322949
2000,-430.4853274
1999,-420.4028244
1998,-412.8407105
1997,-420.3330389
1996,-421.4969792
1995,-405.8879336
1994,-415.4459741
1993,-426.4233008
1992,-411.7694844
1991,-413.2743518
1990,-427.8091904
1989,-432.4553725
1988,-430.6933042
1987,-435.0317335
1986,-426.5381979
1985,-429.605693
1984,-441.9768041
1983,-439.2644364
1982,-423.413766
1981,-419.0349511
1980,-432.5442711
1979,-412.6451222
1978,-423.5983866
