year (AD),year (AD),year (AD),d18O (permil)
1990,1990,1981,23.82
1980,1980,1971,24.05
1970,1970,1961,23.59
1960,1960,1951,23.89
1950,1950,1941,23.25
1940,1940,1931,23.2
1930,1930,1921,24.46
1920,1920,1911,24.67
1910,1910,1901,23.99
1900,1900,1891,24.29
1890,1890,1881,24.86
1880,1880,1871,25.62
1870,1870,1861,24.67
1860,1860,1851,25.15
1850,1850,1841,25.27
1840,1840,1831,25.47
1830,1830,1821,25.07
1820,1820,1811,24.5
1810,1810,1801,25
1800,1800,1791,25.33
1790,1790,1781,25.79
1780,1780,1771,24.06
1770,1770,1761,24.55
1760,1760,1751,24.65
1750,1750,1741,24.82
1740,1740,1731,24.77
1730,1730,1721,24.31
1720,1720,1711,23.57
1710,1710,1701,24.04
1700,1700,1691,23.98
1690,1690,1681,22.98
1680,1680,1671,23.81
1670,1670,1661,23.54
1660,1660,1651,24.11
1650,1650,1641,24.03
1640,1640,1631,24.13
1630,1630,1621,24.27
1620,1620,1611,24.03
1610,1610,1601,23.46
1600,1600,1591,23.42
1590,1590,1581,23.63
1580,1580,1571,23.9
1570,1570,1561,24.5
1560,1560,1551,24.83
1550,1550,1541,24
1540,1540,1531,25.01
1530,1530,1521,24.48
1520,1520,1511,24.23
1510,1510,1501,24.45
1500,1500,1491,24.4
1490,1490,1481,23.97
1480,1480,1471,23.38
1470,1470,1461,23.87
1460,1460,1451,22.63
1450,1450,1441,23.33
1440,1440,1431,22.96
1430,1430,1421,23.92
1420,1420,1411,23.8
1410,1410,1401,23.64
1400,1400,1391,23.77
1390,1390,1381,24.12
1380,1380,1371,24.28
1370,1370,1361,24.12
1360,1360,1351,24.77
1350,1350,1341,24.34
1340,1340,1331,24.74
1330,1330,1321,24.82
1320,1320,1311,25.17
1310,1310,1301,24.54
1300,1300,1291,24.52
1290,1290,1281,25.07
1280,1280,1271,25.36
1270,1270,1261,25.16
1260,1260,1251,25.03
1250,1250,1241,24.17
1240,1240,1231,24.62
1230,1230,1221,24.19
1220,1220,1211,24.57
1210,1210,1201,25.21
1200,1200,1191,24.75
1190,1190,1181,24.86
1180,1180,1171,24.34
1170,1170,1161,25.32
1160,1160,1151,24.87
1150,1150,1141,24.83
1140,1140,1131,24.53
1130,1130,1121,24.66
1120,1120,1111,24.65
1110,1110,1101,24.44
1100,1100,1091,23.53
1090,1090,1081,23.71
1080,1080,1071,23.98
1070,1070,1061,24.88
1060,1060,1051,24.24
1050,1050,1041,23.38
1040,1040,1031,23.28
1030,1030,1021,23.73
1020,1020,1011,23.8
1010,1010,1001,24.58
1000,1000,991,23.48
990,990,981,23.19
980,980,971,24.39
970,970,961,23.26
960,960,951,23.5
