year (AD),dD (permil)
1987,-306.74
1984,-314.35
1981,-315.12
1978,-320.83
1975,-313.81
1972,-318.16
1969,-301.58
1965,-321.32
1962,-297.9
1958,-322.57
1955,-306.55
1951,-328.35
1948,-309.09
1944,-311.39
1940,-308.6
1936,-308.73
1933,-314.73
1929,-309.29
1925,-311.48
1921,-308.88
1917,-317.13
1913,-312.73
1909,-300.75
1905,-308.29
1901,-302.65
1897,-302.71
1893,-301.7
1889,-320.2
1885,-316.41
1881,-325.66
1877,-315.54
1873,-297.52
1868,-314.15
1864,-319.29
1860,-319.38
1856,-314.61
1851,-325.29
1847,-328.15
1843,-328.6
1838,-312.35
1834,-317.39
1829,-298.04
1825,-303.21
1820,-328.57
1816,-323.98
1811,-320.51
1807,-324.35
1802,-315.71
1797,-316.44
1793,-327.2
1788,-325.2
1783,-308.73
1779,-308.75
1774,-329.12
1769,-320.43
1764,-320.92
1760,-315.55
1755,-304.41
1750,-307.19
1745,-316.05
1740,-315.66
1735,-308.09
1730,-305.48
1725,-324.7
1720,-312.59
1715,-311.68
1710,-309.15
1705,-310.45
1700,-325.13
1695,-316.73
1690,-315
1685,-318.91
1680,-320.42
1675,-315.6
1670,-316.63
1665,-312.94
1660,-321.11
1654,-314.44
1649,-317.42
1644,-321.73
1639,-315.74
1633,-309.86
1628,-325.14
1623,-324.11
1618,-324.68
1612,-308.48
1607,-321.86
1602,-313.24
1596,-316.5
1591,-313.75
1586,-307.42
1580,-310.37
1575,-316.4
1570,-306.06
1564,-315.84
1559,-309.41
1553,-317.93
1548,-311.41
1542,-321.38
1537,-301.15
1532,-320.76
1526,-319.23
1521,-302.35
1515,-326.78
1510,-320.92
1504,-315.68
1499,-322.2
1493,-313.77
1487,-310.02
1482,-318.63
1476,-320.83
1471,-311.51
1465,-315.96
1460,-311.24
1454,-320.46
1448,-318.22
1443,-323.71
1437,-316.5
1432,-321.5
1426,-319.73
1420,-310.78
1415,-310.26
1409,-312.03
1403,-307.65
1398,-310.91
1392,-304.08
1386,-310.78
1381,-309.06
1375,-321.87
1369,-320.56
1363,-305.48
1358,-310.51
1352,-320.11
1346,-303.31
1341,-306.96
1335,-314.82
1329,-324.9
1323,-303.81
1318,-309.32
1312,-302.69
1306,-301.78
1300,-321.92
1295,-307.26
1289,-317.71
1283,-310.75
1277,-314.64
1271,-322.57
1266,-301.41
1260,-317.72
1254,-309.99
