year (AD) [1-1],d18O (permil) [1-1],d13C (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],year (AD) [3-1],d13C (permil) [3-1]
1990,-4.165,-2.29,1990,-2.69,1989,-0.4855
1989,-4.34,-2.0975,1989,-2.8634,1988,-0.0797
1988,-4.1175,-1.99,1988,-2.6136,1987,-0.7932
1987,-4.2375,-2.0325,1987,-3.1404,1986,-0.4468
1986,-4.4175,-1.7675,1986,-2.7658,1985,-0.4645
1985,-4.775,-2.9525,1985,-2.7281,1984,-0.542
1984,-4.2025,-2.805,1984,-2.7897,1983,-0.4044
1983,-3.6625,-1.0375,1983,-2.7708,1982,-0.3009
1982,-3.64,-0.89,1982,-2.8447,1981,-0.0946
1981,-3.905,-1.165,1981,-2.98,1980,0.0367
1980,-4.3825,-2.2375,1980,-2.9254,1979,-0.014
1979,-4.3225,-2.275,1979,-3.0441,1978,-0.1357
1978,-4.6725,-2.175,1978,-2.8227,1977,-0.3528
1977,-4.04,-1.9225,1977,-3.1602,1976,-0.4289
1976,-4.3225,-1.62,1976,-3.5327,1975,-0.4834
1975,-4.7375,-2.735,1975,-3.3967,1974,-0.5898
1974,-4.625,-2.825,1974,-3.3526,1973,-0.315
1973,-4.27,-1.6575,1973,-3.3359,1972,-0.3269
1972,-4.04,-1.9475,1972,-3.3899,1971,-0.68
1971,-3.7525,-1.245,1971,-3.4539,1970,-0.6594
1970,-4.17,-1.54,1970,-3.7483,1969,-0.5884
1969,-4.55,-2.2625,1969,-3.8451,1968,-0.3468
1968,-3.9075,-1.05,1968,-3.5141,1967,-0.5567
1967,-4.1575,-2.1225,1967,-3.8403,1966,-0.8694
1966,-3.7625,-1.01,1966,-4.0008,1965,-0.7252
1965,-4.3925,-2.1425,1965,-4.1157,1964,-0.3721
1964,-3.9125,-1.185,1964,-3.8351,1963,-0.2655
1963,-3.6725,-0.995,1963,-3.9726,1962,-0.5722
1962,-4.0225,-1.81,1962,-3.6811,1961,-1.1144
1961,-4.1525,-1.7175,1961,-3.5102,1960,-0.6786
1960,-3.7775,-0.8425,1960,-3.4092,1959,-1.1352
1959,-3.4,-0.44,1959,-3.5449,1958,-0.9119
1958,-3.8875,-1.09,1958,-3.6542,1957,-0.854
1957,-4.14,-1.8125,1957,-3.5679,1956,-0.6659
1956,-4.3525,-2.2525,1956,-3.2387,1955,-0.6996
1955,-4.215,-1.96,1955,-3.3948,1954,-0.4537
1954,-4.115,-1.9725,1954,-3.7145,1953,-0.5224
1953,-4.0425,-1.6175,1953,-3.4612,1952,-0.5787
1952,-4.11,-1.33,1952,-3.5454,1951,-0.6925
1951,-3.9525,-1.135,1951,-3.8674,1950,-0.553
1950,-3.8,-1.4325,1950,-3.8294,1949,-0.2726
1949,-3.6525,-0.9975,1949,-3.4925,1948,-0.8502
1948,-3.865,-1.39,1948,-3.9492,1947,-0.6264
1947,-3.865,-1.51,1947,-4.1113,1946,-0.4684
1946,-3.7275,-1.42,1946,-3.7768,1945,-0.1126
1945,-3.5375,-1.185,1945,-3.5541,1944,-0.8262
1944,-3.4,-0.6425,1944,-4.3245,1943,-0.9633
1943,-3.245,-0.395,1943,-4.1972,1942,-0.344
1942,-3.54,-0.9575,1942,-3.7436,1941,-0.0715
1941,-3.67,-1.2475,1941,-3.3937,1940,-0.3101
1940,-3.52,-0.8,1940,-3.6783,1939,-0.37
1939,-3.4825,-0.735,1939,-3.8027,1938,-0.5545
1938,-3.7125,-1.3675,1938,-3.6401,1937,-0.6487
1937,-3.8725,-1.2375,1937,-3.7858,1936,-0.6969
1936,-3.9775,-1.795,1936,-3.4142,1935,-0.6681
1935,-4.3525,-2.0525,1935,-3.0658,1934,-0.1911
1934,-4.185,-1.7225,1934,-4.1729,1933,-0.8512
1933,-3.89,-1.3025,1933,-4.4304,1932,-0.7735
1932,-3.6075,-0.395,1932,-3.7296,NA,NA
1931,-4.04,-1.3,NA,NA,NA,NA
1930,-4.0075,-1.375,NA,NA,NA,NA
1929,-3.865,-1.3575,NA,NA,NA,NA
1928,-3.865,-1.195,NA,NA,NA,NA
1927,-4.0675,-1.995,NA,NA,NA,NA
