year (AD),depth (cm),dD (permil)
1998,NA,-106.1
1997,NA,-95
1996,NA,-124.2
1995,NA,-127.1
1994,NA,-93.7
1993,NA,-117.7
1992,NA,-119
1991,NA,-131.3
1990,NA,-102.1
1989,NA,-125.6
1988,NA,-93
1987,NA,-102.2
1986,NA,-122.9
1985,NA,-103.4
1984,NA,-129.1
1983,NA,-127.3
1982,NA,-114.9
1981,NA,-137.5
1980,NA,-133.2
1979,NA,-113.9
1978,NA,-115.9
1977,NA,-107.8
1976,NA,-124.2
1975,NA,-132.5
1974,NA,-139.2
1973,NA,-150.3
1972,NA,-131.7
1971,NA,-136.8
1970,NA,-120.3
1969,NA,-123.2
1968,NA,-141.8
1967,NA,-118
1966,NA,-103.2
1965,NA,-96.6
1964,NA,-122.3
1963,NA,-127
1962,NA,-118.7
1961,NA,-116.8
1960,NA,-127.9
1959,NA,-121.8
1958,NA,-129.4
1957,NA,-126.8
1956,NA,-123.2
1955,NA,-97.4
1954,NA,-113.7
1953,NA,-120.8
1952,NA,-136.7
1951,NA,-132.2
1950,NA,-139.6
1949,NA,-122
1948,NA,-108.3
1947,NA,-118.8
1946,NA,-123.2
1945,NA,-132.4
1944,NA,-100.7
1943,NA,-119.5
1942,NA,-116.1
1941,NA,-90.6
1940,NA,-112.1
1939,NA,-118.5
1938,NA,-116.6
1937,NA,-104.6
1936,NA,-118.6
1935,NA,-104.6
1934,NA,-137.7
1933,NA,-151
1932,NA,-133.7
1931,NA,-151.3
1930,NA,-128.8
1929,NA,-128.2
1928,NA,-113
1927,NA,-120.1
1926,NA,-116.7
1925,NA,-117.9
1924,NA,-114.2
1923,NA,-128.4
1922,NA,-135.7
1921,NA,-141.2
1920,NA,-125.9
1919,NA,-134.4
1918,NA,-106.5
1917,NA,-98.3
1916,NA,-116.4
1915,NA,-119.7
1914,NA,-121.5
1913,NA,-141.1
1912,NA,-144
1911,NA,-139.7
1910,NA,-109.9
1909,NA,-103.5
1908,NA,-115.2
1907,NA,-95.7
1906,NA,-114.5
1905,NA,-129.7
1904,NA,-134.3
1903,NA,-139.6
1902,NA,-130.4
1901,NA,-122.4
1900,NA,-116
1899,NA,-115.4
1898,NA,-142.5
1897,NA,-123
1896,NA,-113.1
1895,NA,-117.1
1894,NA,-133.8
1893,NA,-132.1
1892,NA,-151.6
1891,NA,-148.6
1890,NA,-122.8
1889,NA,-130.8
1888,NA,-122.7
1887,NA,-133.6
1886,NA,-128.2
1885,NA,-113.5
1884,NA,-105.4
1883,NA,-110.6
1882,NA,-134.3
1881,NA,-124.5
1880,NA,-134.5
1879,NA,-117.9
1878,NA,-116.3
1877,NA,-127.6
1876,NA,-138.3
1875,NA,-149.2
1874,NA,-137.7
1873,NA,-136.7
1872,NA,-117.3
1871,NA,-106.5
1870,NA,-119.4
1869,NA,-122.1
1868,NA,-116.6
1867,NA,-119.5
1866,NA,-117.5
1865,NA,-118.5
1864,NA,-125
1863,NA,-117.7
1862,NA,-140.4
1861,NA,-137.3
1860,NA,-126.4
1859,NA,-122.4
1858,NA,-111.7
1857,NA,-106.7
1856,NA,-111.4
1855,NA,-117.4
1854,NA,-133.4
1853,NA,-117.5
1852,NA,-149.4
1851,NA,-132.5
1850,NA,-139.8
1849,NA,-129.5
1848,NA,-125.4
1847,NA,-121
1846,NA,-143.2
1845,NA,-128.9
1844,NA,-111.8
1843,NA,-139.3
1842,NA,-131.8
1841,NA,-141.1
1840,NA,-147.4
1839,NA,-117.6
1838,NA,-91.6
1837,NA,-111.8
1836,NA,-129.1
1835,NA,-136.9
1834,NA,-126.6
1833,NA,-117.1
1832,NA,-131.4
1831,NA,-128.7
1830,NA,-127.2
1829,NA,-135.4
1828,NA,-123.5
1827,NA,-123.5
1826,NA,-128.8
1825,NA,-139.7
1824,NA,-153.1
1823,NA,-149.3
1822,NA,-130.3
1821,NA,-107.5
1820,NA,-109.8
1819,NA,-129.4
1818,NA,-139.8
1817,NA,-123.2
1816,NA,-130.6
1815,NA,-153.9
1814,NA,-138.1
1813,NA,-122.4
1812,NA,-117.9
1811,NA,-129.3
1810,NA,-122.9
1809,NA,-123.6
1808,NA,-120.9
1807,NA,-136.6
1806,NA,-142.7
1805,NA,-145.2
1804,NA,-124.3
1803,NA,-117.5
1802,NA,-128.4
1801,NA,-128
1800,NA,-136.7
1799,NA,-142.3
1798,NA,-137.1
1797,NA,-134.6
1796,NA,-135.3
1795,NA,-123.2
1794,NA,-136.8
1793,NA,-130.1
1792,NA,-107.1
1791,NA,-122.3
1790,NA,-126.8
1789,NA,-131.1
1788,NA,-127.4
1787,NA,-143.8
1786,NA,-130.8
1785,NA,-135.9
1784,NA,-133.4
1783,NA,-140.2
1782,NA,-131.9
1781,NA,-127.7
1780,NA,-137.9
1779,NA,-135.3
1778,NA,-130.1
1777,NA,-128.7
1776,NA,-128.2
1775,NA,-138.6
1774,NA,-137.8
1773,NA,-137.6
1772,NA,-127.7
1771,NA,-127
