year (AD),depth (cm),d18O (permil),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1953,3.64,-37,91
1952,3.74,-37.5,91
1951,3.83,-38.1,91
1950,3.92,-38.2,91
1949,4.01,-37.7,91
1948,4.1,-37.4,91
1947,4.19,-37.4,91
1946,4.28,-38,91
1945,4.37,-36.6,91
1944,4.46,-35.2,91
1943,4.55,-35,91
1942,4.65,-34.5,91
1941,4.74,-34.3,91
1940,4.83,-34.3,91
1939,4.92,-32.7,91
1938,5.01,-32.3,91
1937,5.1,-32.7,91
1936,5.19,-33.5,91
1935,5.28,-34.3,91
1934,5.37,-34.7,91
1933,5.47,-34.8,91
1932,5.56,-35.1,91
1931,5.65,-33.9,91
1930,5.74,-33.7,91
1929,5.83,-33.5,91
1928,5.92,-33.8,91
1927,6.01,-35,91
1926,6.1,-36,91
1925,6.19,-34.7,91
1924,6.29,-34.2,91
1923,6.38,-34.2,91
1922,6.47,-33.1,91
1921,6.56,-34.7,91
1920,6.65,-37.2,91
1919,6.74,-36.7,91
1918,6.83,-35.3,91
1917,6.92,-34.4,91
1916,7.01,-34.7,91
1915,7.11,-35,91
1914,7.2,-35.6,91
1913,7.29,-34.9,91
1912,7.38,-34.3,98
1911,7.48,-36.3,98
1910,7.57,-35.7,98
1909,7.67,-33.8,98
1908,7.77,-34.6,98
1907,7.87,-37,98
1906,7.97,-38,98
1905,8.06,-37.6,98
1904,8.16,-35.4,98
1903,8.26,-32.9,98
1902,8.36,-33.2,98
1901,8.45,-35.2,98
1900,8.55,-36.6,98
1899,8.65,-36.9,98
1898,8.75,-36.9,98
1897,8.85,-37.2,98
1896,8.94,-37.6,98
1895,9.04,-36.8,98
1894,9.14,-35.6,98
1893,9.24,-35.7,98
1892,9.33,-36.1,98
1891,9.43,-36.4,98
1890,9.53,-37.4,98
1889,9.63,-37.8,98
1888,9.73,-37.4,98
1887,9.82,-37.1,98
1886,9.92,-37.4,98
1885,10.02,-37.6,98
1884,10.12,-37.4,98
1883,10.21,-36.6,98
1882,10.31,-35.6,98
1881,10.41,-35.3,98
1880,10.51,-36.8,98
1879,10.61,-36.8,98
1878,10.7,-35,98
1877,10.8,-33.9,98
1876,10.9,-34,98
1875,11,-33.8,98
1874,11.09,-33.9,98
1873,11.19,-34.2,98
1872,11.29,-35.2,98
1871,11.39,-36.1,98
1870,11.49,-36.7,98
1869,11.58,-35.9,98
1868,11.68,-33.7,98
1867,11.78,-34.5,98
1866,11.88,-35.8,98
1865,11.97,-36,98
1864,12.07,-37.2,98
1863,12.17,-36.2,98
1862,12.27,-35,98
1861,12.37,-34,98
1860,12.46,-34.3,98
1859,12.56,-35,98
1858,12.66,-35.1,98
1857,12.76,-35.3,98
1856,12.85,-36,98
1855,12.95,-35.3,98
1854,13.05,-33.5,98
1853,13.15,-32.3,98
1852,13.25,-33.6,98
1851,13.34,-34.8,98
1850,13.44,-35.9,98
1849,13.54,-36.7,98
1848,13.64,-35.8,98
1847,13.73,-34.2,98
1846,13.83,-33.6,98
1845,13.93,-34,98
1844,14.03,-33.6,98
1843,14.13,-33.5,98
1842,14.22,-33.3,98
1841,14.32,-33,98
1840,14.42,-34.8,98
1839,14.52,-36.9,98
1838,14.61,-37.8,98
1837,14.71,-37.4,98
1836,14.81,-37.1,98
1835,14.91,-37.2,98
1834,15.01,-37.6,98
1833,15.1,-36.9,98
1832,15.2,-34.7,98
1831,15.3,-33,98
1830,15.4,-33.7,98
1829,15.49,-35.1,98
1828,15.59,-35,98
1827,15.69,-33,98
1826,15.79,-31.8,98
1825,15.89,-33.9,98
1824,15.98,-36.7,98
1823,16.08,-37.7,98
1822,16.18,-36.8,98
1821,16.28,-36.4,98
1820,16.37,-37.9,98
1819,16.47,-37.6,98
1818,16.57,-35.5,98
1817,16.67,-35.1,98
1816,16.77,-36.7,96
1815,16.86,-37.6,96
1814,16.96,-37.1,96
1813,17.05,-37.2,96
1812,17.15,-37.2,96
1811,17.25,-36.5,96
1810,17.34,-35.8,96
1809,17.44,-35.2,96
1808,17.54,-34.6,96
1807,17.63,-34.4,96
1806,17.73,-34.3,96
1805,17.82,-34.1,96
1804,17.92,-34.5,96
1803,18.02,-34.6,96
1802,18.11,-34.6,96
1801,18.21,-35.6,96
1800,18.31,-36.2,96
1799,18.4,-35.3,96
1798,18.5,-34.3,96
1797,18.59,-35,96
1796,18.69,-36.7,96
1795,18.79,-37.1,96
1794,18.88,-36,96
1793,18.98,-34.7,96
1792,19.08,-33.3,96
1791,19.17,-33.7,96
1790,19.27,-35.1,96
1789,19.36,-35.9,96
1788,19.46,-36.1,96
1787,19.56,-35.9,96
1786,19.65,-35.2,96
1785,19.75,-35.3,96
1784,19.84,-36.5,96
1783,19.94,-36.7,95
1782,20.04,-36.3,95
1781,20.13,-35.7,95
1780,20.22,-35,95
1779,20.32,-34,95
1778,20.41,-34.1,95
1777,20.51,-35.5,95
1776,20.6,-37.8,95
1775,20.7,-38.3,95
1774,20.79,-36.7,95
1773,20.89,-35.3,95
1772,20.98,-34.7,95
1771,21.08,-34.6,95
1770,21.17,-35.4,95
1769,21.27,-36.3,95
1768,21.36,-37.1,95
1767,21.45,-37.8,95
1766,21.55,-38.3,95
1765,21.64,-38.7,95
1764,21.74,-38.2,95
1763,21.83,-36.7,95
1762,21.93,-36,95
1761,22.02,-36.7,95
1760,22.12,-37.2,95
1759,22.21,-36.7,95
1758,22.31,-36.2,95
1757,22.4,-35.8,95
1756,22.5,-35.6,95
1755,22.59,-35.7,95
1754,22.68,-36.2,95
1753,22.78,-36.5,95
1752,22.87,-36.5,95
1751,22.97,-36.6,95
1750,23.06,-37.4,95
1749,23.16,-38.3,95
1748,23.25,-38.4,95
1747,23.35,-38,95
1746,23.44,-37.4,95
1745,23.54,-37.5,95
1744,23.63,-37.5,95
1743,23.73,-36.4,95
1742,23.82,-35,95
1741,23.91,-34.6,95
1740,24.01,-34.7,95
1739,24.1,-35.5,99
1738,24.2,-36.2,99
1737,24.3,-36.3,99
1736,24.4,-36.6,99
1735,24.5,-36.4,99
1734,24.6,-35.6,99
1733,24.7,-34.9,99
1732,24.79,-34.1,99
1731,24.89,-33.9,99
1730,24.99,-34.6,99
1729,25.09,-35,99
1728,25.19,-34.8,99
1727,25.29,-35.4,99
1726,25.39,-36.4,99
1725,25.49,-36.7,99
1724,25.58,-36.6,99
1723,25.68,-36.1,99
1722,25.78,-35.4,99
1721,25.88,-34.7,99
1720,25.98,-35,99
1719,26.08,-35.6,99
1718,26.18,-35.7,99
1717,26.27,-35.7,99
1716,26.37,-35.8,99
1715,26.47,-35.3,99
1714,26.57,-35.5,99
1713,26.67,-35.5,99
1712,26.77,-35.7,99
1711,26.87,-36.3,99
1710,26.96,-36.5,99
1709,27.06,-35.9,99
1708,27.16,-35.1,99
1707,27.26,-34.3,99
1706,27.36,-34.5,99
1705,27.46,-35.8,99
1704,27.56,-36.2,99
1703,27.66,-35.4,99
1702,27.75,-34.4,99
1701,27.85,-34.9,99
1700,27.95,-36.5,99
1699,28.05,-36.9,99
1698,28.15,-35.4,99
1697,28.25,-34.4,99
1696,28.35,-34.6,99
1695,28.44,-35.3,99
1694,28.54,-35.9,95
1693,28.64,-35.8,95
1692,28.73,-35.3,95
1691,28.83,-35.5,95
1690,28.92,-35.7,95
1689,29.02,-35.3,95
1688,29.11,-34.4,95
1687,29.21,-33.8,95
1686,29.3,-34.1,95
1685,29.4,-34.9,95
1684,29.49,-35.4,95
1683,29.59,-36.6,95
1682,29.68,-38.1,95
1681,29.78,-37.1,95
1680,29.87,-36.2,95
1679,29.97,-36.1,95
1678,30.06,-35.9,95
1677,30.16,-35.7,95
1676,30.25,-35.7,95
1675,30.35,-35.7,95
1674,30.44,-35.4,95
1673,30.54,-35.1,95
1672,30.63,-35.2,95
1671,30.72,-35.7,95
1670,30.82,-36.4,95
1669,30.91,-36.7,95
1668,31.01,-36.1,95
1667,31.1,-35.3,95
1666,31.2,-35.4,96
1665,31.29,-35.9,96
1664,31.39,-35.6,96
1663,31.49,-35.1,96
1662,31.58,-34.7,96
1661,31.68,-35,96
1660,31.77,-35.2,96
1659,31.87,-35.9,96
1658,31.96,-36.4,96
1657,32.06,-36.4,96
1656,32.16,-36.7,96
1655,32.25,-36.3,96
1654,32.35,-35.3,96
1653,32.44,-34.3,96
1652,32.54,-34.4,96
1651,32.63,-35,96
1650,32.73,-35.6,96
1649,32.83,-35.7,96
1648,32.92,-35.6,96
1647,33.02,-35.4,96
1646,33.11,-35,96
1645,33.21,-34.6,96
1644,33.3,-34.7,96
1643,33.4,-35.3,96
1642,33.49,-35.8,96
1641,33.59,-35.8,96
1640,33.69,-36.1,90
1639,33.78,-36.1,90
1638,33.87,-35.5,90
1637,33.96,-35.3,90
1636,34.05,-35.2,90
1635,34.14,-35.1,90
1634,34.23,-35.3,90
1633,34.32,-35.8,90
1632,34.41,-35.7,90
1631,34.5,-34.8,90
1630,34.59,-34.5,90
1629,34.68,-34.2,90
1628,34.77,-33.7,90
1627,34.86,-33.4,90
1626,34.95,-33.2,90
1625,35.04,-33.9,90
1624,35.13,-36,90
1623,35.22,-37.8,90
1622,35.31,-38.5,90
1621,35.4,-37.8,90
1620,35.49,-36,90
1619,35.58,-35.1,90
1618,35.67,-34.8,90
1617,35.76,-34.4,90
1616,35.85,-34,90
1615,35.94,-33.6,90
1614,36.03,-33.2,90
1613,36.12,-33.6,90
1612,36.21,-35,90
1611,36.3,-35.7,90
1610,36.39,-35.2,90
1609,36.48,-34.5,90
1608,36.57,-34,90
1607,36.66,-34,90
1606,36.75,-34.2,90
1605,36.84,-34.8,90
1604,36.93,-34.9,90
1603,37.02,-35.1,90
1602,37.11,-35.9,90
1601,37.2,-36.2,90
1600,37.29,-35.3,90
1599,37.38,-34.5,90
1598,37.47,-34.8,90
1597,37.56,-35.3,90
1596,37.65,-35.2,90
1595,37.74,-35.2,90
1594,37.83,-34.9,90
1593,37.92,-34.8,90
1592,38.01,-34.8,90
1591,38.1,-34.2,90
1590,38.19,-35.4,90
1589,38.28,-37.3,90
1588,38.37,-38,90
1587,38.46,-37.2,90
1586,38.55,-36.5,90
1585,38.64,-36.5,90
1584,38.73,-36.1,90
1583,38.82,-35.3,90
1582,38.91,-35,90
1581,39,-34.9,90
1580,39.09,-34.5,90
1579,39.18,-34.1,90
1578,39.27,-34.5,90
1577,39.36,-36.5,90
1576,39.46,-38.5,90
1575,39.55,-39,90
1574,39.64,-38.4,90
1573,39.73,-37.2,90
1572,39.82,-36,90
1571,39.91,-34.8,90
1570,40,-34.3,90
1569,40.09,-34.3,90
1568,40.18,-34.7,90
1567,40.27,-35,90
1566,40.36,-35.3,90
1565,40.45,-34.7,90
1564,40.54,-33.8,90
1563,40.63,-33.2,90
1562,40.72,-32.6,90
1561,40.81,-33,90
1560,40.9,-34.9,90
1559,40.99,-35.7,90
1558,41.08,-35.7,90
1557,41.17,-35.2,90
1556,41.26,-35.4,90
1555,41.35,-35.6,90
1554,41.44,-36.2,90
1553,41.53,-36.5,90
1552,41.62,-36.5,90
1551,41.71,-35.7,90
1550,41.8,-35.2,90
1549,41.89,-35.2,90
1548,41.98,-35.8,90
1547,42.07,-35.9,90
1546,42.16,-34.3,90
1545,42.25,-32.9,90
1544,42.34,-32.5,90
1543,42.43,-33.2,90
1542,42.52,-34.6,90
1541,42.61,-36.3,90
1540,42.7,-36.7,90
1539,42.79,-36.4,90
1538,42.88,-35.5,90
1537,42.97,-35.3,90
1536,43.06,-36.3,90
1535,43.15,-36.2,90
1534,43.24,-33.9,90
1533,43.33,-33.4,90
1532,43.42,-36.4,90
1531,43.51,-36.5,90
1530,43.6,-36.3,90
1529,43.69,-35.8,90
1528,43.78,-34.9,90
1527,43.87,-34.2,90
1526,43.96,-33.6,90
1525,44.05,-32.8,90
1524,44.14,-33.4,90
1523,44.23,-34,90
1522,44.32,-34.3,90
1521,44.41,-34,90
1520,44.5,-33.6,90
1519,44.59,-33.9,90
1518,44.68,-34.2,90
1517,44.77,-34.8,90
1516,44.86,-35,90
1515,44.95,-34.6,90
1514,45.04,-34.6,90
1513,45.13,-35.2,90
1512,45.22,-35.7,90
1511,45.31,-37.7,90
1510,45.4,-37.6,90
1509,45.49,-37,90
1508,45.58,-36.4,90
1507,45.67,-35.2,90
1506,45.77,-34.4,90
1505,45.86,-34.8,90
1504,45.95,-36.1,90
1503,46.04,-36.4,90
1502,46.13,-35.7,90
1501,46.22,-34.9,90
1500,46.31,-34.8,90
1499,46.4,-35.2,90
1498,46.49,-35.6,90
1497,46.58,-36.3,90
1496,46.67,-36.4,90
1495,46.76,-36.7,90
1494,46.85,-37,90
1493,46.94,-36.2,90
1492,47.03,-35.4,90
1491,47.12,-35.5,90
1490,47.21,-35.5,90
1489,47.3,-35.2,90
1488,47.39,-35,90
1487,47.48,-34.7,90
