year (AD),depth (cm),d13C (permil)
2006,0,-3.63
2001.6,0.05,-3.81
1997.2,0.1,-3.86
1992.8,0.15,-3.77
1988.4,0.2,-4.15
1984,0.25,-4.43
1979.6,0.3,-4.37
1975.2,0.35,-3.91
1970.8,0.4,-4.47
1966.4,0.45,-3.69
1962,0.5,-3.81
1957.6,0.55,-3.84
1953.2,0.6,-3.96
1948.8,0.65,-3.81
1944.4,0.7,-3.78
1940,0.75,-3.59
1935,0.8,-3.61
1930,0.85,-3.54
1925,0.9,-3.37
1920,0.95,-3.49
1915,1,-3.41
1910,1.05,-3.15
1905,1.1,-3.15
1900,1.15,-3.49
1895,1.2,-3.61
1890,1.25,-3.85
1885,1.3,-4.21
1880,1.35,-3.97
1875,1.4,-3.91
1870,1.45,-3.87
1865,1.5,-3.33
1860,1.55,-3.4
1855,1.6,-3.64
1850,1.65,-3.52
1845,1.7,-3.44
1840,1.75,-3.71
1835,1.8,-3.87
1830,1.85,-3.88
1825,1.9,-3.36
1820,1.95,-2.71
1815,2,-2.5
1810,2.05,-2.79
1805,2.1,-2.86
1800,2.15,-2.54
1795,2.2,-2.36
1790,2.25,-2.88
1785,2.3,-3.19
1779.7,2.35,-2.19
1774.5,2.4,-2.61
1769.2,2.45,-2.74
1764,2.5,-2.29
1758.7,2.55,-2.17
1753.4,2.6,-1.9
1748.2,2.65,-2.03
1742.9,2.7,-1.6
1737.7,2.75,-2.05
1732.4,2.8,-2.47
1727.1,2.85,-3.06
1721.9,2.9,-3.51
1716.6,2.95,-3.13
1711.4,3,-3.42
1706.1,3.05,-3.51
1700.9,3.1,-3.69
1695.6,3.15,-3.5
1690.3,3.2,-3.57
1685.1,3.25,-3.36
1679.8,3.3,-3.25
1674.6,3.35,-3.55
1669.3,3.4,-4.18
1664,3.45,-4.68
1658.8,3.5,-4.38
1653.5,3.55,-4.58
1648.3,3.6,-4.04
1643,3.65,-4.25
1636.9,3.7,-3.71
1630.9,3.75,-3.86
1624.8,3.8,-3.66
1618.8,3.85,-3.87
1612.7,3.9,-3.8
1606.6,3.95,-4.56
1600.6,4,-4.3
1594.5,4.05,-3.9
1588.5,4.1,-4.19
1582.4,4.15,-4.28
1576.3,4.2,-4.05
1570.3,4.25,-4.24
1564.2,4.3,-4.78
1558.2,4.35,-4.68
1552.1,4.4,-3.93
1546,4.45,-3.98
1540,4.5,-4.33
1533.9,4.55,-4.28
1527.9,4.6,-4.21
1521.8,4.65,-3.93
1515.7,4.7,-3.92
1509.7,4.75,-4.05
1503.6,4.8,-4.37
1497.6,4.85,-4.8
1491.5,4.9,-4.6
1485.4,4.95,-4.51
1479.4,5,-4.3
1473.3,5.05,-4.77
1467.3,5.1,-4.95
1461.2,5.15,-5.01
1455.1,5.2,-4.63
1449.1,5.25,-4.55
1443,5.3,-4.59
1437,5.35,-4.88
1430.9,5.4,-4.72
1424.8,5.45,-4.22
1418.8,5.5,-4.12
1412.7,5.55,-4.33
1406.7,5.6,-4.02
1400.6,5.65,-4.54
1394.5,5.7,-4.61
1388.5,5.75,-4.54
1382.4,5.8,-4.77
1376.3,5.85,-4.51
1370.3,5.9,-4.08
1364.2,5.95,-4.03
1358.2,6,-4.19
1352.1,6.05,-4.21
1346,6.1,-4.33
1340,6.15,-4.3
1333.9,6.2,-4.69
1327.9,6.25,-4.18
1321.8,6.3,-4.62
1315.7,6.35,-4.28
1309.7,6.4,-4.16
1303.6,6.45,-4.49
1297.6,6.5,-4.26
1291.5,6.55,-4.01
1285.4,6.6,-4.37
1279.4,6.65,-4.27
1273.3,6.7,-4.21
1267.3,6.75,-4.36
1261.2,6.8,-4.39
1255.1,6.85,-4.16
1249.1,6.9,-3.93
1243,6.95,-3.97
1237,7,-3.98
1230.9,7.05,-4.41
1224.8,7.1,-4.16
1218.8,7.15,-3.63
1212.7,7.2,-4.76
1206.7,7.25,-4.89
1200.6,7.3,-4.68
1194.5,7.35,-4.84
1188.5,7.4,-4.94
1182.4,7.45,-4.87
1176.4,7.5,-4.56
1170.3,7.55,-4.39
1164.2,7.6,-4.38
1158.2,7.65,-4.52
1152.1,7.7,-4.63
1146.1,7.75,-4.75
1140,7.8,-4.73
1125.3,7.85,-4.48
1110.5,7.9,-4.06
1095.8,7.95,-4
1081,8,-4.54
1066.3,8.05,-4.79
1051.5,8.1,-4.7
1036.8,8.15,-4.6
1022,8.2,-4.64
1007.3,8.25,-4.54
992.5,8.3,-4.75
977.8,8.35,-4.78
963,8.4,-4.48
948.3,8.45,-4.47
933.5,8.5,-4.71
918.8,8.55,-4.69
904,8.6,-4.54
889.3,8.65,-4.66
874.5,8.7,-4.61
859.8,8.75,-4.49
845,8.8,-4.41
830.3,8.85,-4.27
815.5,8.9,-4.28
800.8,8.95,-4.3
786.1,9,-3.89
771.3,9.05,-3.83
756.6,9.1,-3.65
741.8,9.15,-4.09
727.1,9.2,-4.01
712.3,9.25,-3.92
697.6,9.3,-4.39
682.8,9.35,-4.28
668.1,9.4,-4.17
653.3,9.45,-4.68
638.6,9.5,-4.91
623.8,9.55,-4.25
609.1,9.6,-4.01
594.3,9.65,-3.82
579.6,9.7,-3.59
564.8,9.75,-3.89
550.1,9.8,-3.9
535.3,9.85,-3.93
520.6,9.9,-4.07
505.8,9.95,-4.1
491.1,10,-4.59
476.3,10.05,-4.61
461.6,10.1,-4.31
446.9,10.15,-4.52
432.1,10.2,-3.86
417.4,10.25,-4.23
402.6,10.3,-4.14
387.9,10.35,-4.6
373.1,10.4,-4.12
358.4,10.45,-4.22
343.6,10.5,-4.28
328.9,10.6,-3.92
314.1,10.65,-4.19
299.4,10.7,-3.79
284.6,10.75,-3.61
269.9,10.8,-4.13
255.1,10.85,-4.19
240.4,10.9,-4.27
225.6,10.95,-4.41
210.9,11,-4.42
196.1,11.05,-4.38
181.4,11.1,-4.2
166.6,11.15,-3.97
151.9,11.2,-4.16
137.1,11.25,-4.33
122.4,11.3,-4.09
107.7,11.35,-4.15
92.9,11.4,-4.33
78.2,11.45,-3.98
63.4,11.5,-3.99
48.7,11.55,-4.02
33.9,11.6,-3.56
19.2,11.65,-3.49
4.4,11.7,-3.82
-10.3,11.75,-4.36
-25.1,11.8,-4.82
-39.8,11.85,-4.93
-54.6,11.9,-4.93
-69.3,11.95,-4.43
-84.1,12,-4.24
-98.8,12.05,-4.77
-113.6,12.1,-4.43
-128.3,12.15,-4.26
-143.1,12.2,-4.39
-157.8,12.25,-4.53
-172.6,12.3,-4.54
-187.3,12.35,-4.26
-202.1,12.4,-4.71
-216.8,12.45,-4.42
-231.5,12.5,-4.57
-246.3,12.55,-4.83
-261,12.6,-4.53
-275.8,12.65,-4.25
-290.5,12.7,-3.93
-305.3,12.75,-4.08
-320,12.8,-4.11
-334.8,12.85,-4.16
-349.5,12.9,-4.26
-364.3,12.95,-4.47
-379,13,-4.33
-393.8,13.05,-4.51
-408.5,13.1,-4.75
-423.3,13.15,-4.84
-438,13.2,-4.92
-452.8,13.25,-4.17
-467.5,13.3,-4.04
-482.3,13.35,-4.11
-497,13.4,-3.85
-511.8,13.45,-3.79
-526.5,13.5,-3.77
-541.3,13.55,-3.64
-556,13.6,-3.64
-560,13.65,-3.75
-564,13.7,-4.05
-568,13.75,-4.55
-572,13.8,-4.05
-576,13.85,-4.33
-580,13.9,-4.56
-584,13.95,-4.86
-588,14,-5.28
