year (AD),depth (cm),d18O (permil),d13C (permil)
2000,NA,-5.25,NA
1700,NA,-5.3,NA
1650,NA,-5.05,NA
1550,NA,-5.42,NA
1450,NA,-5.62,NA
1370,NA,-5.75,NA
1320,NA,-5.51,NA
1290,NA,-5.49,NA
1264,NA,-5.43,NA
1235,NA,-5.44,NA
1210,NA,-5.29,NA
1180,NA,-5.3,NA
1150,NA,-5.32,NA
1090,NA,-5.07,NA
1020,NA,-5.2,NA
870,NA,-5.48,NA
720,NA,-5.5,NA
650,NA,-5.55,NA
520,NA,-5.48,NA
390,NA,-5.37,NA
260,NA,-5.33,NA
0,NA,-5.31,NA
-240,NA,-5.36,NA
-360,NA,-5.42,NA
-480,NA,-5.39,NA
-600,NA,-5.6,NA
-760,NA,-5.56,NA
-930,NA,-5.51,NA
-1100,NA,-5.62,NA
-1200,NA,-5.41,NA
-1300,NA,-5.45,NA
-1400,NA,-5.4,NA
-1500,NA,-5.33,NA
-1540,NA,-5.49,NA
-1580,NA,-5.39,NA
-1620,NA,-5.28,NA
-1660,NA,-5.26,NA
-1720,NA,-5.51,NA
-1780,NA,-5.55,NA
-1800,NA,-5.52,NA
-1820,NA,-5.37,NA
-1860,NA,-5.4,NA
-1880,NA,-5.24,NA
-1900,NA,-5.23,NA
-1920,NA,-5.35,NA
-1940,NA,-5.31,NA
-1960,NA,-5.37,NA
-1980,NA,-5.25,NA
-2015,NA,-5.34,NA
-2030,NA,-5.36,NA
-2045,NA,-5.36,NA
-2060,NA,-5.47,NA
-2075,NA,-5.49,NA
-2100,NA,-5.42,NA
-2115,NA,-5.52,NA
-2130,NA,-5.42,NA
-2145,NA,-5.33,NA
-2160,NA,-5.31,NA
-2175,NA,-5.2,NA
-2190,NA,-5.39,NA
-2200,NA,-5.39,NA
-2235,NA,-5.52,NA
-2250,NA,-5.52,NA
-2265,NA,-5.5,NA
-2280,NA,-5.5,NA
-2295,NA,-5.52,NA
-2310,NA,-5.51,NA
-2320,NA,-5.54,NA
-2350,NA,-5.66,NA
-2380,NA,-5.82,NA
-2410,NA,-5.79,NA
-2440,NA,-5.6,NA
-2470,NA,-5.63,NA
-2500,NA,-5.5,NA
-2530,NA,-5.58,NA
-2560,NA,-5.78,NA
-2590,NA,-5.84,NA
-2620,NA,-5.98,NA
-2650,NA,-6.12,NA
-2700,NA,-6,NA
-2740,NA,-6.04,NA
-2775,NA,-6.02,NA
-2800,NA,-5.81,NA
-2810,NA,-5.8,NA
-2830,NA,-5.88,NA
-2840,NA,-5.74,NA
-2850,NA,-5.9,NA
-2870,NA,-5.89,NA
-2880,NA,-5.87,NA
-2890,NA,-5.83,NA
-2900,NA,-5.5,NA
-2910,NA,-5.19,NA
-2925,NA,-5.25,NA
-2940,NA,-5.36,NA
-2955,NA,-5.35,NA
-2970,NA,-5.77,NA
-2985,NA,-5.5,NA
-3000,NA,-5.5,NA
-3015,NA,-5.54,NA
-3045,NA,-5.87,NA
-3060,NA,-5.96,NA
-3078,NA,-5.6,NA
