year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1],year (AD) [3-1],depth (cm) [3-1],d18O (permil) [3-1]
1950,NA,NA,-6285740376,NA,-1285773703,191461799,NA,-609
1938205997,NA,NA,-7279652596,NA,-1325600744,5126126041,NA,-674
1926411993,NA,-7190409245,-687783432,NA,-1365427786,8114792042,NA,-637
191461799,NA,NA,-6096801758,NA,-1405254827,-9107553301,NA,-691
1902823986,NA,NA,-715484333,NA,-1445081869,-1405254827,NA,-657
1891029983,NA,NA,-6816579819,NA,-1484908911,-2191834521,NA,NA
1879235979,NA,-7386305534,-652082634,NA,-1524735952,-3477019863,NA,-564
1867441976,NA,NA,-7413187981,NA,-1564562994,-4227488453,NA,-566
1855647972,NA,-686807221,-7812870502,NA,-1604390036,-500116241,NA,-553
1843853969,NA,NA,-7284444809,NA,-1644217077,-6678355665,NA,-449
1832059965,NA,-674275937,-6983068466,NA,-1684044119,-7868293125,NA,-494
1820265962,NA,NA,-7021183014,NA,-1723871161,-842052239,NA,-531
1808471958,NA,-6623061965,-6704771519,NA,-1763698202,-842052239,NA,NA
1796677955,NA,NA,-6644311428,NA,-180314162,-9873904855,NA,-559
1784883952,NA,-7266840615,-7032197952,NA,-1847563669,-1007452151,NA,-537
1773089948,NA,NA,-6843139648,NA,-1886764091,-1065777679,NA,-629
1761295945,NA,-6740441969,-6780193806,NA,-192577001,-1140512223,NA,NA
1749501941,NA,NA,-6591481686,NA,-1971553887,-1140512223,NA,-604
1737707938,NA,-705922308,-6928017139,NA,-2008554242,NA,NA,NA
1725913934,NA,NA,-6780910969,NA,-2044078188,NA,NA,NA
1714119931,NA,-6657153065,-7002017975,NA,-208524355,NA,NA,NA
1702325927,NA,NA,-680319643,NA,-2116730377,NA,NA,NA
1690531924,NA,-7082603117,-6784199715,NA,-2155407431,NA,NA,NA
1685125062,NA,NA,-6993120193,NA,-2187752058,NA,NA,NA
1678245322,NA,-6913584832,-6571280479,NA,-2219873219,NA,NA,NA
1673000058,NA,NA,-6451495647,NA,-2258533326,NA,NA,NA
166802654,NA,-625734815,-6386181831,NA,-2290910793,NA,NA,NA
1662431212,NA,-7722039899,-691092968,NA,-2322994277,NA,NA,NA
1658341808,NA,-7016667626,-6823342323,NA,-2361465979,NA,NA,NA
