year (AD),depth (cm),dD (permil)
2000.2,12,-153.654
1995.5,17,-153.996
1990.8,22,-154.1285
1986,27,-155.179
1980.8,32.5,-149.389
1976.4,37,-151.12
1972.4,41.2,-152.577
1966.7,47,-151.128
1961.8,52,-152.213
1956.7,57,-153.53
1951.6,62,-152.223
1946.6,66.8,-151.944
1941.1,72,-148.904
1935,77.5,-148.757
1928.4,83.3,-152.811
1923.5,87.5,-149.823
1916.8,93,-153.891
1910.6,98,-148.974
1905.4,102,-150.233
1902.8,104,-140.701
1899.5,106.5,-139.647
1892.1,112,-144.563
1888.6,114.5,-144.674
1885.1,117,-149.703
1878.2,121.8,-143.548
1874.2,124.5,-144.027
1871.2,126.5,-138.1
1863.1,131.8,-142.489
1855,137,-144.748
1851,139.5,-137.077
1847.2,141.8,-140.785
1843.6,144,-141.817
1838.6,147,-144.51
1833.5,150,-148.891
1828.7,152.8,-150.702
1822.5,156.3,-150.356
1813.2,161.5,-148.798
1808.6,164,-145.58
1804,166.5,-143.415
1798.3,169.5,-132.262
1794.5,171.5,-136.381
1790.6,173.5,-135.13
1784.9,176.4,-143.794
1774.6,181.6,-142.889
1762.7,187.4,-143.609
1752.1,192.4,-140.353
1741.4,197.4,-144.098
1730.4,202.4,-145.703
1707.8,212.4,-146.373
1696.2,217.4,-140.563
1684.3,222.4,-138.073
1672.3,227.4,-141.593
1660.2,232.4,-139.657
1647.8,237.4,-137.487
1638.8,241,-142.022
1626.2,246,-141.743
1614.2,250.7,-133.419
1588.8,272.3,-139.638
1575.6,277.3,-140.269
1562.3,282.3,-141.523
1549,287.3,-141.392
1535.5,292.3,-143.662
1523,296.9,-139.517
1508.2,302.3,-140.697
1498,306,-138.604
1480.7,312.3,-137.933
1466.8,317.3,-139.303
1452.8,322.3,-139.191
1445.3,325,-132.63
1438.9,327.3,-145.999
1431.3,330,-134.783
1424.8,332.3,-136.245
1416.6,335.25,-134.844
1410.8,337.3,-139.032
1403.2,340,-136.057
1396.8,342.3,-137.647
1392.4,343.85,-136.875
1387.5,345.6,-134.468
1380.5,348.1,-132.889
1372.7,350.9,-136.302
1365.1,353.6,-137.642
1358.7,355.9,-138.343
1351.2,358.6,-142.374
1344.8,360.9,-136.333
1337.3,363.6,-136.882
1330.4,366.1,-140.029
1313.1,372.4,-144.14
1303.1,376.1,-141.533
1296.3,378.6,-132.632
1290.1,380.9,-133.94
1276.1,386.1,-133.221
1263.2,390.9,-135.932
1249.3,396.1,-141.166
1236.6,400.9,-136.57
1229.4,403.6,-132.439
1222.7,406.1,-142.712
1210,410.9,-138.398
1196.1,416.1,-139.452
1183.3,420.9,-135.036
1169.4,426.1,-135.76
1156.5,430.9,-136.515
1143.3,435.8,-134.404
1129.7,440.8,-135.811
1116.1,445.8,-133.997
1102.3,450.8,-133.779
1089.9,455.3,-131.071
1086.3,456.6,-133.366
1073.3,461.3,-135.886
1067.7,463.3,-130.256
1056.6,467.3,-131.793
1053,468.6,-129.318
1046.8,470.8,-131.575
1039,473.6,-132.687
1032.8,475.8,-130.836
1024.9,478.6,-130.6335
1018.7,480.8,-132.58
1010.8,483.6,-136.437
1004.6,485.8,-129.367
996.7,488.6,-131.637
990.5,490.8,-128.759
982.5,493.6,-133.545
974.9,496.3,-130.032
959.8,501.6,-130.29
954.2,503.55,-137.191
930.1,540.3,-135.72
924.4,542.3,-138.464
917.8,544.6,-136.171
910.1,547.3,-134.389
904.4,549.3,-134.672
895.8,552.3,-131.754
889.2,554.6,-136.372
881.5,557.3,-128.294
875.7,559.3,-137.354
867.9,562.05,-133.43
857.8,565.55,-132.632
851.9,567.6,-135.454
