year (AD),depth (cm),dD (permil)
1871,27.43718593,-206.3
1647,105.8,-201.5
1551,154.8,-207
1363,527.2,-204.6
1058,879.9,-209
956,983.2,-205.7
828,1156.9,-202.7
659,1311.3,-201.2
548,1412.5,-200.7
-268,1710.8,-204.4
-830,2159.1,-204
-1079,2301.5,-203.5
-1778,2622,-200.4
-1959,2701,-202.8
-2163,2868.6,-196.5
-2348,3015.6,-208.7
-2548,3148,-202.8
-3381,3740.7,-206.6
-3536,3865,-208
-3776,4028,-210.2
-4334,4190.5,-211.8
-4568,4402.2,-214.4
-4775,4589.3,-218.1
-5021,4811.7,-212.9
-5097,4880,-212.3
-5391,5080,-219.4
-5825,5401.6,-222.1
-6027,5557.6,-215.8
-6666,5867.1,-224.1
-7677,6288.1,-225.5
-8123,6474.1,-220.5
-8607,6650.3,-211
-8672,6669.9,-210.7
-9592,6949.6,-206.6
-9930,7502.2,-195.2
-10332,7174.3,-195.6
-10654,7272,-188.3
-10815,7320.9,-188.4
-11040,7389.3,-186.4
