year (AD),depth (cm),dD (permil),dD (),stdev C24 (permil),stdev C26 (permil),stdev C28 (permil),average C26 C28 (permil),stdev weighted average (permil),dD ()
1982,2,-180,-175,2,4,6,-178,7,-164
1953,5,-187,-175,1,2,2,-181,3,-177
1878,13,-192,-191,3,1,1,-192,1,-168
1747,21,-190,-184,6,4,5,-187,6,-171
1701,29,-194,-192,2,3,5,-193,5,-185
1671,37,-189,-187,3,6,3,-188,6,-172
1631,45,-185,-189,0,2,2,-187,3,-175
1595,53,-186,-184,4,2,4,-185,4,-169
1541,61,-190,-186,2,6,4,-188,7,-179
1507,70,-187,-185,7,4,3,-186,5,-167
1472,77,-191,-189,1,2,2,-190,3,-175
1440,85,-187,-180,4,5,4,-184,7,-171
1395,93,-188,-186,1,1,3,-187,4,-181
1395,93,-188,-185,4,6,2,-187,6,-170
1351,101,-189,-184,5,2,3,-187,3,-168
1311,109,-183,-183,2,2,3,-183,4,-177
1311,109,-186,-184,0,3,2,-185,4,-175
1291,117,-186,-178,3,4,1,-182,4,-171
1291,117,NA,-183,3,2,NA,-183,2,-173
1251,125,-181,-184,0,3,6,-182,7,-180
1251,125,-184,-185,NA,3,3,-184,4,NA
1221,133,NA,-191,0,1,NA,-191,1,-179
1190,141,-185,-177,2,2,1,-181,2,-170
1179,145,-181,-180,3,1,5,-180,5,-168
1156,149,-182,-180,1,1,4,-181,4,-178
1123,157,-184,-179,7,2,4,-182,4,-173
1077,165,-188,-190,1,1,0,-189,1,-182
1036,173,-190,-181,2,0,2,-185,2,-173
977,181,-187,-185,0,1,0,-186,1,-177
947,189,-180,-181,3,2,3,-181,4,-169
934,197,-193,-195,NA,NA,NA,-194,NA,-187
921,205,-181,-180,3,2,4,-181,4,-164
883,213,-181,-179,1,2,4,-180,4,-175
836,222,-178,-177,1,1,3,-177,3,-166
784,229,-184,-183,3,2,1,-183,2,-181
737,237,-182,-179,4,5,1,-180,5,-171
699,245,NA,-182,NA,NA,NA,-182,NA,-180
671,253,-182,-176,2,2,1,-179,2,-165
654,261,-186,-188,1,5,5,-187,7,-182
636,263,-183,-181,1,2,1,-182,2,-172
607,271,-186,-186,0,0,1,-186,1,-174
609,268,-182,-173,2,3,1,-177,3,-166
586,277,-185,-182,4,6,2,-183,6,-170
551,285,-189,-192,4,0,1,-191,1,-178
521,293,-187,-188,2,0,3,-188,3,-172
486,301,-187,-189,1,4,1,-188,4,-183
450,309,-181,-181,3,5,1,-181,5,-170
432,317,-184,-190,1,1,3,-187,3,-177
392,325,-186,NA,3,NA,0,-186,0,-162
362,333,-189,-191,1,6,4,-190,7,-180
328,349,-189,-191,0,2,1,-190,2,-183
275,357,-189,-187,1,1,4,-188,4,-167
244,367,-185,-186,3,1,0,-185,1,-179
228,373,-192,-187,0,1,1,-190,2,-171
221,376,-190,-193,0,0,0,-191,1,-180
216,381,-189,-192,2,1,1,-191,2,-180
193,389,-194,-192,3,4,4,-193,5,-175
186,391,-191,-189,2,0,2,-190,2,-171
170,397,-192,-188,2,6,2,-190,6,-180
149,399,-191,-193,0,2,1,-192,2,-179
121,405,-188,-182,2,2,3,-185,4,-172
116,409,-190,-182,3,3,1,-186,3,-173
98,417,-187,-190,0,2,1,-189,2,-183
52,425,-191,-184,3,3,7,-188,7,-164
12,433,-187,-185,4,3,5,-186,6,-182
-13,441,-188,-177,3,4,2,-182,4,-167
-59,449,-189,-187,0,1,1,-188,2,-179
-83,457,-188,-174,2,3,6,-181,6,-166
-134,465,-186,-180,2,5,3,-183,6,-181
-187,473,-189,-183,0,1,1,-186,2,-176
-262,489,-188,-177,2,1,1,-182,2,-173
-274,493,-193,-187,2,1,6,-190,6,-183
-284,497,-189,-178,NA,5,4,-183,6,NA
-296,505,-187,-181,3,1,5,-184,5,-169
-329,510,-181,-179,5,4,4,-180,6,-168
-351,513,-191,-186,2,2,NA,-189,2,-178
-382,518,-190,-191,5,3,2,-191,3,-174
-395,521,-181,-180,1,3,2,-181,4,-171
-412,525,-183,NA,NA,NA,5,-183,5,NA
-445,529,-182,-181,2,1,3,-181,3,-173
-468,533,-186,-184,4,1,0,-185,1,-173
-485,541,-191,-195,3,1,1,-193,2,-180
-499,545,-193,-196,2,3,4,-195,5,-187
-523,549,NA,-188,1,0,NA,-188,0,-167
-586,557,-191,-191,2,2,3,-191,4,-181
-632,565,-185,-179,3,1,3,-182,3,-171
-656,573,-188,-183,1,2,2,-185,3,-177
-733,581,-180,-172,2,1,3,-176,3,-170
-771,589,-185,-180,2,4,3,-182,5,-175
-821,597,-182,-176,1,2,2,-179,3,-173
-834,599,-185,-181,7,6,4,-183,8,-176
-859,605,-182,-178,0,2,3,-180,4,-176
-869,607,-185,NA,NA,NA,2,-185,2,NA
-901,613,-180,-173,1,2,2,-177,3,-171
-905,615,-181,-178,1,0,1,-180,1,-167
-928,621,-187,-188,2,3,0,-188,3,-182
-933,623,-188,-189,1,1,0,-189,1,-177
-956,629,-183,-182,1,3,2,-183,4,-169
-966,631,-180,-173,1,4,2,-176,4,-164
-995,637,-183,-184,0,3,2,-183,4,-178
-1005,639,-189,-188,4,4,3,-188,5,-177
-1009,640,-186,-178,4,2,3,-182,4,-169
-1029,645,-182,-177,2,0,3,-179,3,-166
-1082,653,-188,-191,2,3,3,-189,4,-183
-1245,668,-173,NA,NA,NA,2,-173,2,NA
-1275,671,-180,-181,0,0,0,-180,1,-172
-1344,679,-176,-172,2,3,0,-174,3,-165
-1426,687,-179,-181,NA,5,2,-180,5,NA
-1509,695,-179,NA,3,NA,3,-179,3,-155
-1542,703,-170,-171,2,0,1,-170,1,-171
-1596,709,-171,NA,NA,NA,3,-171,3,NA
-1674,719,-176,-167,2,5,3,-171,6,-172
-1725,727,-175,-171,2,2,1,-173,2,-165
-1777,735,-174,-171,2,3,3,-172,4,-167
-1824,743,-186,-184,3,1,2,-185,2,-169
-1865,751,-179,-181,2,2,2,-180,3,-172
-1893,759,-186,-182,3,6,1,-184,6,-167
-1907,763,-174,NA,NA,NA,1,-174,1,NA
-1929,767,-173,-174,0,5,4,-174,7,-173
-1977,771,-182,-180,3,3,1,-181,3,-169
-2058,779,-177,NA,NA,NA,2,-177,2,NA
-2080,787,-180,-178,2,3,2,-179,4,-165
-2103,795,-179,-178,2,2,2,-179,3,-167
-2148,804,-174,-170,2,3,3,-172,4,-160
-2199,819,-186,-182,3,3,0,-184,3,-170
