year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1]
1993.042,-4.827,1993.042,-4.875
1992.792,-4.786,1992.792,-4.981
1992.542,-4.693,1992.542,-5.166
1992.292,-4.852,1992.292,-5.06
1992.042,-4.991,1992.042,-4.942
1991.792,-4.904,1991.792,-4.919
1991.542,-4.855,1991.542,-4.994
1991.292,-4.862,1991.292,-5.058
1991.042,-4.856,1991.042,-4.915
1990.792,-4.947,1990.792,-5.007
1990.542,-5.005,1990.542,-5.03
1990.292,-5.298,1990.292,-5.162
1990.042,-5.196,1990.042,-5.132
1989.792,-5.298,1989.792,-5.168
1989.542,-5.106,1989.542,-5.269
1989.292,-5.375,1989.292,-5.403
1989.042,-5.169,1989.042,-5.138
1988.792,-5.083,1988.792,-5.185
1988.542,-4.996,1988.542,-5.242
1988.292,-5.027,1988.292,-5.384
1988.042,-4.846,1988.042,-5.129
1987.792,-4.646,1987.792,-4.879
1987.542,-4.589,1987.542,-4.8
1987.292,-4.972,1987.292,-4.985
1987.042,-4.917,1987.042,-4.922
1986.792,-4.795,1986.792,-4.941
1986.542,-4.759,1986.542,-5.046
1986.292,-5.301,1986.292,-5.19
1986.042,-5.12,1986.042,-5.21
1985.792,-5.086,1985.792,-5.191
1985.542,-5.103,1985.542,-5.087
1985.292,-5.244,1985.292,-5.195
1985.042,-5.186,1985.042,-4.902
1984.792,-5.059,1984.792,-4.969
1984.542,-4.971,1984.542,-4.771
1984.292,-5.356,1984.292,-5.057
1984.042,-5.206,1984.042,-5.009
1983.792,-4.885,1983.792,-4.846
1983.542,-4.756,1983.542,-4.83
1983.292,-4.959,1983.292,-5.092
1983.042,-4.812,1983.042,-4.759
1982.792,-4.667,1982.792,-4.679
1982.542,-4.494,1982.542,-4.803
1982.292,-5.117,1982.292,-5.23
1982.042,-5.189,1982.042,-5.122
1981.792,-5.133,1981.792,-5.114
1981.542,-5.081,1981.542,-4.99
1981.292,-5.165,1981.292,-5.134
1981.042,-5.049,1981.042,-5.066
1980.792,-4.883,1980.792,-5.035
1980.542,-4.839,1980.542,-5.014
1980.292,-5.103,1980.292,-5.201
1980.042,-5.083,1980.042,-4.989
1979.792,-4.96,1979.792,-4.853
1979.542,-4.921,1979.542,-4.881
1979.292,-5.204,1979.292,-5.087
1979.042,-5.082,1979.042,-4.907
1978.792,-5.133,1978.792,-4.997
1978.542,-5.026,1978.542,-4.994
1978.292,-5.334,1978.292,-5.214
1978.042,-5.129,1978.042,-5.059
1977.792,-4.889,1977.792,-4.987
1977.542,-4.855,1977.542,-4.98
1977.292,-5.214,1977.292,-5.137
1977.042,-5.003,1977.042,-4.973
1976.792,-4.842,1976.792,-4.886
1976.542,-4.864,1976.542,-4.837
1976.292,-5.038,1976.292,-5.042
1976.042,-4.878,1976.042,-5.023
1975.792,-5.027,1975.792,-5.04
1975.542,-5.181,1975.542,-5.032
1975.292,-5.515,1975.292,-5.397
1975.042,-5.334,1975.042,-5.067
1974.792,-5.06,1974.792,-4.982
1974.542,-4.958,1974.542,-4.96
1974.292,-5.268,1974.292,-5.232
1974.042,-5.228,1974.042,-5.112
1973.792,-5.136,1973.792,-5.094
1973.542,-5.123,1973.542,-5.044
1973.292,-5.304,1973.292,-5.23
1973.042,-5.072,1973.042,-4.921
1972.792,-4.748,1972.792,-4.784
1972.542,-4.785,1972.542,-4.831
1972.292,-5.234,1972.292,-5.145
1972.042,-5.164,1972.042,-5
1971.792,-5.053,1971.792,-5.049
1971.542,-5.03,1971.542,-5.123
1971.292,-5.188,1971.292,-5.484
1971.042,-4.931,1971.042,-5.177
1970.792,-4.99,1970.792,-5.168
1970.542,-5.142,1970.542,-5.035
1970.292,-5.216,1970.292,-5.332
1970.042,-5.09,1970.042,-5.038
1969.792,-4.865,1969.792,-4.934
1969.542,-4.894,1969.542,-4.918
1969.292,-5.041,1969.292,-5.082
1969.042,-5.037,1969.042,-4.928
1968.792,-5.064,1968.792,-4.921
1968.542,-5.11,1968.542,-4.858
1968.292,-5.291,1968.292,-5.143
1968.042,-5.198,1968.042,-4.985
1967.792,-5.242,1967.792,-4.995
1967.542,-5.297,1967.542,-4.952
1967.292,-5.492,1967.292,-5.014
1967.042,-5.382,1967.042,-4.9
1966.792,-5.087,1966.792,-4.678
1966.542,-5.009,1966.542,-4.695
1966.292,-5.282,1966.292,-4.864
1966.042,-4.831,1966.042,-4.757
1965.792,-4.524,1965.792,-4.515
1965.542,-4.556,1965.542,-4.534
1965.292,-5.071,1965.292,-4.807
1965.042,-4.995,1965.042,-4.799
1964.792,-4.958,1964.792,-4.965
1964.542,-4.991,1964.542,-4.862
1964.292,-5.08,1964.292,-5.041
1964.042,-4.942,1964.042,-4.727
1963.792,-4.908,1963.792,-4.733
1963.542,-4.848,1963.542,-4.714
1963.292,-4.993,1963.292,-4.802
1963.042,-4.964,1963.042,-4.927
1962.792,-5.031,1962.792,-5.018
1962.542,-5.02,1962.542,-4.89
1962.292,-5.245,1962.292,-4.974
1962.042,-5.157,1962.042,-5.015
1961.792,-5.041,1961.792,-4.945
1961.542,-5.19,1961.542,-4.994
1961.292,-5.39,1961.292,-5.293
1961.042,-5.244,1961.042,-5.106
1960.792,-5.072,1960.792,-5.065
1960.542,-5.082,1960.542,-5.012
1960.292,-5.362,1960.292,-5.39
1960.042,-5.148,1960.042,-4.954
