year (AD),d18O (permil)
1973.62,-5.36
1973.54,-5.33
1973.46,-5.07
1973.37,-5.05
1973.29,-5.04
1973.21,-5.01
1973.12,-4.97
1973.04,-5.05
1972.96,-5.09
1972.87,-5.17
1972.79,-5.23
1972.71,-5.21
1972.62,-5.21
1972.54,-5.32
1972.46,-5.25
1972.37,-5.11
1972.29,-5.03
1972.21,-5.01
1972.12,-5
1972.04,-5.02
1971.96,-5.1
1971.87,-5.12
1971.79,-5.17
1971.71,-5.34
1971.62,-5.22
1971.54,-5.19
1971.46,-5.21
1971.37,-5.15
1971.29,-5.14
1971.21,-5.1
1971.12,-5.11
1971.04,-5.19
1970.96,-5.23
1970.87,-5.2
1970.79,-5.25
1970.71,-5.26
1970.62,-5.17
1970.54,-5.08
1970.46,-5.1
1970.37,-5.11
1970.29,-5.18
1970.21,-5.25
1970.12,-5.04
1970.04,-5.09
1969.96,-5.12
1969.87,-5.18
1969.79,-5.15
1969.71,-5.24
1969.62,-5.11
1969.54,-5.04
1969.46,-4.93
1969.37,-5.14
1969.29,-5.02
1969.21,-5
1969.12,-4.92
1969.04,-4.97
1968.96,-5.06
1968.87,-5.15
1968.79,-5.16
1968.71,-5.17
1968.62,-5.2
1968.54,-5.23
1968.46,-5.05
1968.37,-5.01
1968.29,-4.96
1968.21,-4.91
1968.12,-4.86
1968.04,-5.08
1967.96,-5.16
1967.87,-5.12
1967.79,-5.26
1967.71,-5.26
1967.62,-5.38
1967.54,-5.22
1967.46,-5.15
1967.37,-5.05
1967.29,-5.02
1967.21,-5
1967.12,-5.07
1967.04,-5.14
1966.96,-5.11
1966.87,-5.08
1966.79,-5.3
1966.71,-5.19
1966.62,-5.15
1966.54,-5.02
1966.46,-4.99
1966.37,-5.01
1966.29,-5.02
1966.21,-4.88
1966.12,-4.76
1966.04,-4.97
1965.96,-4.98
1965.87,-5.12
1965.79,-5.15
1965.71,-5.16
1965.62,-5.11
1965.54,-5.07
1965.46,-5.07
1965.37,-4.98
1965.29,-4.89
1965.21,-4.98
1965.12,-4.92
1965.04,-4.98
1964.96,-5.07
1964.87,-5.1
1964.79,-5.34
1964.71,-5.26
1964.62,-5.2
1964.54,-5.12
1964.46,-5.1
1964.37,-5.02
1964.29,-5.03
1964.21,-4.98
1964.12,-4.93
1964.04,-5.06
1963.96,-5.18
1963.87,-5.36
1963.79,-5.28
1963.71,-5.05
1963.62,-5.01
1963.54,-5
1963.46,-5.21
1963.37,-5.2
1963.29,-5.05
1963.21,-5.08
1963.12,-5
1963.04,-5.09
1962.96,-5.12
1962.87,-5.28
1962.79,-5.2
1962.71,-5.21
1962.62,-5.12
1962.54,-5.26
1962.46,-5.19
1962.37,-5.19
1962.29,-5.11
1962.21,-5.13
1962.12,-5.11
1962.04,-5.08
1961.96,-5.23
1961.87,-5.27
1961.79,-5.21
1961.71,-5.32
1961.62,-5.35
1961.54,-5.44
1961.46,-5.21
1961.37,-5.18
1961.29,-5.21
