year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1949,-34.91,17.73,8,174
1948,-34.64,18.04,8.18,174
1947,-33.8,18.35,8.35,174
1946,-36.62,18.66,8.53,174
1945,-36.89,18.96,8.7,174
1944,-34.82,19.27,8.87,174
1943,-36.16,19.57,9.05,174
1942,-35.25,19.87,9.22,174
1941,-34.23,20.17,9.4,174
1940,-32.18,20.47,9.57,174
1939,-31.74,20.77,9.74,174
1938,-36.22,21.07,9.92,174
1937,-37.06,21.36,10.09,174
1936,-34.99,21.66,10.27,174
1935,-33.98,21.95,10.44,174
1934,-30.77,22.24,10.61,174
1933,-32.98,22.53,10.79,174
1932,-35.95,22.82,10.96,174
1931,-33.53,23.11,11.14,174
1930,-33.09,23.4,11.31,174
1929,-33.33,23.69,11.48,174
1928,-31.71,23.97,11.66,174
1927,-33.16,24.26,11.83,174
1926,-35.42,24.54,12.01,174
1925,-36.89,24.82,12.18,174
1924,-37.19,25.11,12.35,174
1923,-35.4,25.39,12.53,174
1922,-34.27,25.67,12.7,174
1921,-35.19,25.95,12.88,174
1920,-36.45,26.23,13.05,174
1919,-33.77,26.5,13.22,174
1918,-34,26.78,13.4,174
1917,-35.18,27.06,13.57,174
1916,-34.08,27.33,13.75,174
1915,-33.82,27.6,13.92,174
1914,-32.27,27.88,14.09,174
1913,-34.86,28.15,14.27,174
1912,-35.8,28.42,14.44,182
1911,-33.43,28.71,14.62,182
1910,-35.65,28.99,14.8,182
1909,-34.31,29.27,14.99,182
1908,-32.68,29.55,15.17,182
1907,-32.63,29.83,15.35,182
1906,-35.34,30.11,15.53,182
1905,-36.62,30.39,15.71,182
1904,-35.54,30.67,15.9,182
1903,-34.29,30.95,16.08,182
1902,-33.29,31.23,16.26,182
1901,-34.01,31.5,16.44,182
1900,-32.82,31.78,16.62,182
1899,-33.66,32.05,16.81,182
1898,-36.18,32.33,16.99,182
1897,-35.19,32.6,17.17,182
1896,-32.85,32.87,17.35,182
1895,-32.6,33.15,17.53,182
1894,-33.92,33.42,17.72,182
1893,-33.27,33.69,17.9,182
1892,-30.77,33.96,18.08,182
1891,-31.89,34.23,18.26,182
1890,-34.3,34.5,18.44,182
1889,-35.19,34.77,18.63,182
1888,-36.49,35.03,18.81,182
1887,-35.49,35.3,18.99,182
1886,-35.21,35.57,19.17,182
1885,-34.42,35.83,19.35,182
1884,-36.52,36.1,19.54,182
1883,-34.73,36.37,19.72,182
1882,-33.45,36.63,19.9,182
1881,-32.99,36.89,20.08,182
1880,-31.16,37.16,20.26,182
1879,-32.73,37.42,20.44,182
1878,-33.14,37.68,20.63,182
1877,-32.23,37.95,20.81,182
1876,-32.06,38.21,20.99,182
1875,-32.91,38.47,21.17,182
1874,-34.11,38.73,21.35,182
1873,-36.18,38.99,21.54,182
1872,-36.04,39.25,21.72,182
1871,-34.67,39.51,21.9,182
1870,-32.97,39.77,22.08,182
1869,-34.23,40.02,22.26,182
1868,-35.56,40.28,22.45,182
1867,-36.54,40.54,22.63,182
1866,-36.15,40.8,22.81,182
1865,-34.08,41.05,22.99,182
1864,-34.38,41.31,23.17,182
1863,-34.43,41.56,23.36,182
1862,-33.91,41.82,23.54,182
1861,-36.72,42.07,23.72,182
1860,-34.77,42.33,23.9,182
1859,-33.97,42.58,24.08,182
1858,-35.37,42.84,24.27,182
1857,-34.82,43.09,24.45,182
1856,-34.08,43.34,24.63,182
1855,-33.63,43.59,24.81,182
1854,-34.72,43.85,24.99,182
1853,-36.06,44.1,25.18,182
1852,-35.56,44.35,25.36,182
1851,-33.6,44.6,25.54,182
1850,-33.2,44.85,25.72,182
1849,-32.22,45.1,25.9,182
1848,-33.55,45.35,26.09,182
1847,-34.64,45.6,26.27,182
1846,-34.74,45.85,26.45,182
1845,-38.16,46.1,26.63,182
1844,-35.87,46.34,26.81,182
1843,-34.98,46.59,26.99,182
1842,-35.64,46.84,27.18,182
1841,-35.65,47.09,27.36,182
1840,-33.67,47.33,27.54,182
1839,-33.29,47.58,27.72,182
1838,-33.43,47.83,27.9,182
1837,-34.81,48.07,28.09,182
1836,-35.5,48.32,28.27,182
1835,-33.33,48.56,28.45,182
1834,-36.41,48.81,28.63,182
1833,-38.05,49.05,28.81,182
1832,-38.06,49.3,29,182
1831,-36.93,49.54,29.18,182
1830,-36.49,49.78,29.36,182
1829,-35.04,50.03,29.54,182
1828,-33.73,50.27,29.72,182
1827,-33.75,50.51,29.91,182
1826,-33.69,50.76,30.09,182
1825,-32.74,51,30.27,182
1824,-33.61,51.24,30.45,182
1823,-34.28,51.48,30.63,182
1822,-35.2,51.72,30.82,182
1821,-35.69,51.96,31,182
1820,-35.13,52.2,31.18,182
1819,-34.89,52.44,31.36,182
1818,-35.3,52.68,31.54,182
1817,-36.13,52.92,31.73,182
1816,-36.1,53.16,31.91,187
1815,-36.44,53.41,32.09,187
1814,-35.94,53.65,32.28,187
1813,-35.51,53.9,32.47,187
1812,-34.78,54.14,32.65,187
1811,-33.69,54.39,32.84,187
1810,-36.56,54.63,33.03,187
1809,-35.6,54.88,33.22,187
1808,-35.12,55.12,33.4,187
1807,-34.1,55.36,33.59,187
1806,-33.35,55.61,33.78,187
1805,-32.9,55.85,33.96,187
1804,-32.04,56.09,34.15,187
1803,-33.71,56.33,34.34,187
1802,-33.8,56.58,34.52,187
1801,-33.9,56.82,34.71,187
1800,-35.6,57.06,34.9,187
1799,-37.42,57.3,35.08,187
1798,-36.25,57.54,35.27,187
1797,-35.26,57.78,35.46,187
1796,-34.37,58.02,35.64,187
1795,-36.09,58.26,35.83,187
1794,-35.83,58.5,36.02,187
1793,-34.29,58.74,36.21,187
1792,-35.69,58.98,36.39,187
1791,-35.81,59.22,36.58,187
1790,-35.9,59.46,36.77,187
1789,-33.97,59.7,36.95,187
1788,-33.37,59.94,37.14,187
1787,-34.76,60.18,37.33,187
1786,-34.93,60.42,37.51,187
1785,-34.05,60.65,37.7,187
1784,-33.43,60.89,37.89,187
1783,-34.95,61.13,38.07,187
1782,-35.44,61.37,38.26,187
1781,-34.22,61.6,38.45,187
1780,-36.09,61.84,38.63,187
1779,-37.44,62.08,38.82,187
1778,-35.65,62.31,39.01,187
1777,-34.66,62.55,39.2,187
1776,-34.57,62.78,39.38,187
1775,-34.51,63.02,39.57,187
1774,-35.07,63.25,39.76,187
1773,-34.18,63.49,39.94,187
1772,-33.08,63.72,40.13,187
1771,-34.72,63.97,40.32,187
1770,-33.65,64.19,40.5,187
1769,-32.13,64.43,40.69,187
1768,-33.58,64.66,40.88,187
1767,-34.72,64.9,41.06,187
1766,-36.06,65.13,41.25,187
1765,-36.57,65.36,41.44,187
1764,-33.09,65.6,41.62,187
1763,-33.92,65.83,41.81,187
1762,-36.42,66.06,42,187
