year (AD),depth (m),d18O (permil)
-3700,NA,-26.55
-3720,NA,-26.62
-3740,NA,-26.59
-3760,NA,-26.21
-3780,NA,-25.91
-3800,NA,-25.78
-3820,NA,-26.55
-3840,NA,-26.7
-3860,NA,-26.99
-3880,NA,-26.77
-3900,NA,-26.56
-3920,NA,-26.22
-3940,NA,-26.3
-3960,NA,-26.41
-3980,NA,-26.63
-4000,NA,-27.2
-4020,NA,-27.38
-4040,NA,-26.34
-4060,NA,-26.33
-4080,NA,-26.29
-4100,NA,-26.82
-4120,NA,-27.26
-4140,NA,-26.42
-4160,NA,-26.27
-4180,NA,-27.12
-4200,NA,-27.1
-4220,NA,-27.03
-4240,NA,-26.59
-4260,NA,-26.13
-4280,NA,-26.34
-4300,NA,-26.44
-4320,NA,-26.72
-4340,NA,-26.74
-4360,NA,-26.3
-4380,NA,-25.99
-4400,NA,-26.14
-4420,NA,-26.15
-4440,NA,-26.49
-4460,NA,-26.65
-4480,NA,-26.05
-4500,NA,-26.04
-4520,NA,-26.16
-4540,NA,-26.23
-4560,NA,-26.51
-4580,NA,-26.87
-4600,NA,-26.72
-4620,NA,-26.16
-4640,NA,-26.25
-4660,NA,-26.93
-4680,NA,-26.81
-4700,NA,-25.96
-4720,NA,-26.57
-4740,NA,-26.01
-4760,NA,-26.56
-4780,NA,-26.69
-4800,NA,-26.19
-4820,NA,-25.85
-4840,NA,-26.08
-4860,NA,-26.13
-4880,NA,-26.22
-4900,NA,-26.09
-4920,NA,-26.13
-4940,NA,-26.11
-4960,NA,-25.94
-4980,NA,-26.55
-5000,NA,-27.2
-5020,NA,-27.13
-5040,NA,-26.77
-5060,NA,-26.61
-5080,NA,-26.65
-5100,NA,-25.47
-5120,NA,-26.69
-5140,NA,-26.89
-5160,NA,-26.89
-5180,NA,-26.68
-5200,NA,-25.32
-5220,NA,-27.02
-5240,NA,-27.02
-5260,NA,-26.25
-5280,NA,-26.19
-5300,NA,-26.3
-5320,NA,-26.12
-5340,NA,-25.86
-5360,NA,-25.96
-5380,NA,-26.91
-5400,NA,-26.9
-5420,NA,-25.84
-5440,NA,-26.16
-5460,NA,-26.63
-5480,NA,-27.39
-5500,NA,-26.3
-5520,NA,-26.03
-5540,NA,-25.86
-5560,NA,-26.53
-5580,NA,-26.38
-5600,NA,-26.19
-5620,NA,-26.47
-5640,NA,-26.64
-5660,NA,-26.59
-5680,NA,-26.28
-5700,NA,-27.06
-5720,NA,-26.72
-5740,NA,-26.34
-5760,NA,-25.56
-5780,NA,-25.55
-5800,NA,-26.04
-5820,NA,-26.18
-5840,NA,-25.61
-5860,NA,-25.1
-5880,NA,-25.64
-5900,NA,-26
-5920,NA,-26.08
-5940,NA,-25.89
-5960,NA,-25.06
-5980,NA,-25.71
-6000,NA,-25.76
-6020,NA,-26.03
-6040,NA,-26.09
-6060,NA,-26.17
-6080,NA,-26.31
-6100,NA,-26.23
-6120,NA,-26.42
-6140,NA,-26.45
-6160,NA,-27.07
-6180,NA,-27.12
-6200,NA,-26.37
-6220,NA,-26.67
-6240,NA,-26.05
-6260,NA,-26.03
-6280,NA,-25.91
-6300,NA,-25.81
-6320,NA,-25.72
-6340,NA,-25.59
-6360,NA,-25.89
-6380,NA,-25.89
-6400,NA,-26.01
-6420,NA,-25.68
-6440,NA,-25.24
-6460,NA,-25.4
-6480,NA,-25.94
-6500,NA,-25.79
-6520,NA,-25.57
-6540,NA,-25.95
-6560,NA,-25.39
-6580,NA,-26.23
-6600,NA,-25.32
-6620,NA,-26.09
-6640,NA,-25.71
-6660,NA,-26.31
-6680,NA,-26.51
-6700,NA,-26.16
-6720,NA,-27.12
-6740,NA,-26.56
-6760,NA,-25.58
-6780,NA,-25.51
-6800,NA,-25.61
-6820,NA,-26.34
-6840,NA,-25.21
-6860,NA,-27.1
-6880,NA,-26.35
-6900,NA,-26.68
-6920,NA,-26.3
-6940,NA,-25.45
-6960,NA,-25.72
-6980,NA,-26.1
-7000,NA,-26.42
-7020,NA,-26.38
-7040,NA,-27.03
-7060,NA,-26.99
-7080,NA,-26.95
-7100,NA,-25.95
-7120,NA,-25.78
-7140,NA,-25.75
-7160,NA,-25.76
-7180,NA,-25.94
-7200,NA,-25.89
-7220,NA,-25.99
-7240,NA,-25.79
-7260,NA,-25.95
-7280,NA,-25.74
-7300,NA,-26.12
-7320,NA,-26.52
-7340,NA,-26.29
-7360,NA,-26.51
-7380,NA,-26.5
-7400,NA,-25.99
-7420,NA,-25.27
-7440,NA,-25.6
-7460,NA,-26.05
-7480,NA,-25.82
-7500,NA,-25.86
-7520,NA,-25.32
-7540,NA,-25.38
-7560,NA,-25.6
-7580,NA,-25.76
-7600,NA,-25.67
-7620,NA,-25.95
-7640,NA,-25.36
-7660,NA,-25.34
-7680,NA,-25.14
-7700,NA,-25.65
-7720,NA,-25.86
-7740,NA,-25.74
-7760,NA,-25.43
-7780,NA,-25.34
-7800,NA,-25.89
-7820,NA,-25.38
-7840,NA,-25.85
-7860,NA,-26.41
-7880,NA,-27.39
-7900,NA,-26.68
-7920,NA,-26.5
-7940,NA,-25.7
-7960,NA,-24.96
-7980,NA,-24.74
-8000,NA,-24.41
-8020,NA,-24.71
-8040,NA,-25.15
-8060,NA,-25.35
-8080,NA,-25.52
-8100,NA,-26.48
-8120,NA,-25.86
-8140,NA,-25.6
-8160,NA,-25.72
-8180,NA,-25.89
-8200,NA,-25.56
-8220,NA,-25.55
-8240,NA,-25.73
-8260,NA,-26.04
-8280,NA,-26.34
-8300,NA,-26.32
-8320,NA,-26.22
-8340,NA,-25.32
-8360,NA,-25.66
-8380,NA,-25.3
-8400,NA,-25.81
-8420,NA,-25.61
-8440,NA,-25.56
-8460,NA,-25.67
-8480,NA,-25.39
-8500,NA,-24.99
-8520,NA,-25.36
-8540,NA,-26
-8560,NA,-25.54
-8580,NA,-25.64
-8600,NA,-25.68
-8620,NA,-25.66
-8640,NA,-25.75
-8660,NA,-25.93
-8680,NA,-25.97
-8700,NA,-26.31
-8720,NA,-26.1
-8740,NA,-25.92
-8760,NA,-26.1
-8780,NA,-26.22
-8800,NA,-26.03
-8820,NA,-25.97
-8840,NA,-26.61
-8860,NA,-26.59
-8880,NA,-26.71
-8900,NA,-27.01
-8920,NA,-27.51
-8940,NA,-27.11
-8960,NA,-26.87
-8980,NA,-26.74
-9000,NA,-26.7
-9020,NA,-26.4
-9040,NA,-26.58
-9060,NA,-26.68
-9080,NA,-26.75
-9100,NA,-26.68
-9120,NA,-26.71
-9140,NA,-26.74
-9160,NA,-26.76
-9180,NA,-26.92
-9200,NA,-27.01
-9220,NA,-27.08
-9240,NA,-26.88
-9260,NA,-26.84
-9280,NA,-26.89
-9300,NA,-27.13
-9320,NA,-27.17
-9340,NA,-27.03
-9360,NA,-27.03
-9380,NA,-27.83
-9400,NA,-28.11
-9420,NA,-27.92
-9440,NA,-27.77
-9460,NA,-27.6
-9480,NA,-27.45
-9500,NA,-27.29
-9520,NA,-27.09
-9540,NA,-27.19
-9560,NA,-27.48
-9580,NA,-27.29
-9600,NA,-27.5
-9620,NA,-28.07
-9640,NA,-27.68
-9660,NA,-27.82
-9680,NA,-28.53
-9700,NA,-31.08
