year (AD),depth (cm),deuteriumExcess (permil)
1997,NA,28.96116
1996,NA,-0.43646
1995,NA,11.06178
1994,NA,33.09648
1993,NA,9.4654
1992,NA,25.62952
1991,NA,9.884032
1990,NA,11.55207
1989,NA,10.3754
1988,NA,10.15894133
1987,NA,9.48594
1986,NA,9.112252
1985,NA,8.716154286
1984,NA,11.091888
1983,NA,10.92643429
1982,NA,10.80942
1981,NA,11.51464444
1980,NA,7.409693333
1979,NA,8.494457143
1978,NA,7.19076
1977,NA,7.948266667
1976,NA,9.205845
1975,NA,8.12256
1974,NA,10.13772
1973,NA,8.12024
1971,NA,8.87136
1970,NA,7.85824
1969,NA,7.21352
1968,NA,8.84144
1967,NA,8.92312
1966,NA,10.56316
1965,NA,10.869952
1964,NA,10.14318667
1963,NA,8.954511429
1962,NA,10.8264
1961,NA,11.81078667
1960,NA,11.125536
1959,NA,11.48542571
1958,NA,12.1919
1957,NA,12.0512
1956,NA,12.880485
1955,NA,13.316872
1954,NA,13.066625
1953,NA,12.950552
1952,NA,11.72052667
1951,NA,12.854985
1950,NA,12.09018571
1949,NA,9.015092
1948,NA,12.23644
1947,NA,12.628155
1946,NA,10.86420667
1945,NA,9.09212
1944,NA,9.93872
1943,NA,10.26650667
1942,NA,9.357270769
1941,NA,11.91882667
1940,NA,8.415137778
1939,NA,9.6310175
1938,NA,10.54652
1937,NA,9.21273
1936,NA,9.61966
1935,NA,8.96708
1934,NA,10.75624571
1933,NA,10.4399
1932,NA,9.14536
1931,NA,8.96298
1930,NA,10.2784
1929,NA,7.715866667
1928,NA,10.53784667
1927,NA,11.10327636
1926,NA,13.2441
1925,NA,7.034146667
1924,NA,6.60224
1923,NA,5.00002
1922,NA,8.0871
1921,NA,5.02802
1920,NA,9.57212
1919,NA,8.814946667
1918,NA,9.49568
1917,NA,7.542795
1916,NA,8.644644444
1915,NA,9.40435
1914,NA,7.301906667
1913,NA,7.9478
1912,NA,6.99864
1911,NA,8.605004444
1910,NA,7.864702857
1909,NA,9.759792
1908,NA,7.5626
1907,NA,7.79273
1906,NA,10.35072
1905,NA,11.43098
1904,NA,9.68922
1903,NA,9.152336
1902,NA,7.552773333
1901,NA,8.36472
1899,NA,9.19272
1898,NA,8.13204
1897,NA,7.43348
1896,NA,6.94808
1895,NA,5.27417
1894,NA,6.6268
1893,NA,5.231226667
1892,NA,2.72008
1891,NA,5.55832
1890,NA,5.060066667
1889,NA,6.099575
1888,NA,12.08824
1887,NA,11.69466667
1885,NA,8.18794
1884,NA,10.37396
1883,NA,9.08596
1882,NA,11.17866
1881,NA,9.291706667
1880,NA,11.24902
1879,NA,8.53848
1878,NA,1.94932
1877,NA,9.67196
1876,NA,5.203
1875,NA,8.566506667
1874,NA,7.79754
1873,NA,8.08336
1872,NA,9.15582
1871,NA,6.96108
1870,NA,6.111228571
1869,NA,11.0485
1868,NA,7.10615
1867,NA,10.25675
1866,NA,9.931826667
1865,NA,9.29176
1864,NA,9.64004
1863,NA,8.41356
1862,NA,9.047552
1861,NA,7.33583
1860,NA,4.98618
1859,NA,6.87603
1858,NA,5.944656
1857,NA,9.49752
1856,NA,10.71852
1855,NA,8.646348
1854,NA,11.22344
1853,NA,10.99236
1852,NA,9.42662
1851,NA,11.32128
1850,NA,10.173736
1849,NA,5.45316
1848,NA,10.05296
1847,NA,8.629168
1846,NA,8.6096
1845,NA,7.40216
1844,NA,9.12688
1843,NA,9.01932
1842,NA,7.10872
1841,NA,8.66876
1840,NA,5.31336
1839,NA,8.93551
1838,NA,7.403544
1837,NA,6.21376
1836,NA,10.50748
1835,NA,6.16512
1834,NA,6.6373
1833,NA,8.12198
1832,NA,6.11422
1830,NA,9.5462
1829,NA,7.99556
1828,NA,4.915813333
1827,NA,15.69644
1826,NA,6.20178
1825,NA,6.42588
1824,NA,6.6882
1823,NA,5.8915
1822,NA,7.9806
1821,NA,5.331053333
1820,NA,7.511933333
1819,NA,13.878
1818,NA,8.14556
1817,NA,7.70028
1816,NA,6.924508571
1815,NA,6.051853333
1813,NA,12.00554
1812,NA,7.1002
1811,NA,10.05494
1810,NA,12.16396
1809,NA,3.1122
1808,NA,9.1972
1807,NA,9.3676
1806,NA,8.16128
1804,NA,8.16732
1803,NA,8.96618
1802,NA,6.8388
1801,NA,2.57616
1799,NA,4.84692
1798,NA,3.60884
1797,NA,5.63696
1796,NA,7.98484
1795,NA,6.00448
1794,NA,-1.82296
1793,NA,9.25444
1791,NA,7.47364
1790,NA,9.0376
1789,NA,10.10404
1788,NA,7.65868
1787,NA,8.39672
