year (AD),depth (cm),dD (permil),dDUncertainty (permil)
2001.2,NA,-242.1,2.5
1991.1,NA,-239.3,1.1
1982.2,NA,-237.5,6.3
1977.2,NA,-237.3,0.2
1964.5,NA,-229.6,2.3
1957.1,NA,-233.2,4.8
1947.2,NA,-231.3,NA
1936,NA,-234.8,2.2
1923.6,NA,-227,NA
1910.4,NA,-230.7,NA
1896.6,NA,-228.6,NA
1888.7,NA,-223.9,3.4
1880.8,NA,-225.1,2.2
1865.1,NA,-239.3,2.2
1857.2,NA,-242.6,1.6
1849.3,NA,-258.3,2.6
1841.4,NA,-256.1,1.1
1833.5,NA,-259.7,2.8
1809.9,NA,-259.1,2.6
1786.2,NA,-271.2,1.9
1762,NA,-267.5,1.4
1735,NA,-264.2,0.3
1708.1,NA,-265.1,2
1681.1,NA,-268.5,1.5
1654.2,NA,-262.6,1.8
1636.2,NA,-262,0.9
1627.2,NA,-283.3,3.5
1591.2,NA,-272.6,2.1
1553.6,NA,-279.6,5.2
1516.9,NA,-268.6,1.9
1481.6,NA,-280.7,0.9
1460.1,NA,-270.3,0.4
1415.6,NA,-266.5,1.5
1368.4,NA,-277.7,1.4
1317.1,NA,-280.2,0.1
1228.4,NA,-283.6,0.5
1139.8,NA,-266.8,3.1
1051.1,NA,-254.7,1
967.1,NA,-249.5,1.7
925.9,NA,-255.6,2.8
884.8,NA,-257,4.3
843.6,NA,-245,3.9
801.6,NA,-230.9,1.7
752.3,NA,-214.5,8.3
653.9,NA,-262.8,3.7
377.4,NA,-245.3,2
272.4,NA,-239.8,5.1
167.5,NA,-243.4,1.8
52.0999999999999,NA,-255.1,1.9
-64.4000000000001,NA,-254.1,6
-179.8,NA,-250.2,2.8
-295.3,NA,-247.5,1.3
-416.4,NA,-246.8,5.3
-537.6,NA,-250.1,1.5
-658.8,NA,-248.1,3.5
-780,NA,-247.9,2.3
-841.4,NA,-252.6,2.2
-902.9,NA,-256.5,2.3
-964.3,NA,-254.5,2.2
-1025.8,NA,-253.4,0.6
-1112.8,NA,-256.6,1.3
-1156.3,NA,-258.1,2.9
-1339.8,NA,-258.9,0.2
-1523.4,NA,-268.8,3.6
-1706.9,NA,-263.3,6.6
-1890.5,NA,-261.2,4.3
-2002.4,NA,-229.1,3.1
-2114.4,NA,-253.1,1.8
-2226.3,NA,-240.4,6.6
-2597.4,NA,-224.8,3.5
-2856.6,NA,-240.6,0.7
-3115.8,NA,-228.2,6.2
-3911.9,NA,-285.7,2.7
-4180.3,NA,-264.5,4
-4448.8,NA,-263.8,2.8
-4686.5,NA,-285.7,1.8
-4924.3,NA,-262.8,2.6
-5162,NA,-222.9,2.6
-5399.8,NA,-240.3,4.2
-5635.6,NA,-262.4,5.4
-5871.4,NA,-265.9,1
-6712.8,NA,-260.1,3.8
-6897,NA,-259.4,4
-7044.4,NA,-272.6,4.7
-7153.7,NA,-259.3,3.8
