year (AD),depth (cm),d18O (permil),d18O (permil)
1930.19,0.5,2.01,NA
1890.57,1.5,1.94,NA
1850.95,2.5,2.43,NA
1811.33,3.5,2.36,NA
1771.71,4.5,2.16,NA
1732.1,5.5,2.16,NA
1692.48,6.5,1.93,NA
1652.86,7.5,2.28,NA
1613.24,8.5,1.9,NA
1573.62,9.5,2.18,NA
1534,10.5,2.14,NA
1497.41,11.5,2.19,NA
1460.82,12.5,2.22,NA
1424.23,13.5,2.09,NA
1387.64,14.5,2.03,NA
1351.05,15.5,2.13,NA
1314.45,16.5,2.19,NA
1277.86,17.5,2.12,NA
1241.27,18.5,2.31,NA
1204.68,19.5,1.83,NA
1168.09,20.5,1.71,NA
1131.5,21.5,2.24,NA
1094.91,22.5,2.15,NA
1058.32,23.5,2.21,NA
1021.73,24.5,2.02,NA
985.14,25.5,2.03,NA
948.55,26.5,2.27,NA
911.95,27.5,2.08,NA
875.36,28.5,2.21,NA
838.77,29.5,2.28,NA
802.18,30.5,2.31,NA
765.59,31.5,2.16,NA
729,32.5,1.92,NA
697.45,33.5,2.23,NA
665.91,34.5,2.13,NA
634.36,35.5,1.93,NA
602.82,36.5,2.09,NA
571.27,37.5,2.03,NA
539.73,38.5,2.19,NA
508.18,39.5,2.49,NA
476.64,40.5,2.14,NA
445.09,41.5,2.24,NA
413.55,42.5,1.93,NA
349.33,44.5,1.88,NA
316.67,45.5,2.03,NA
284,46.5,2.09,NA
251.33,47.5,2.2,NA
