year (AD),depth (cm),d18O (permil)
2004.5,1.2,-7.4642
1927.6,88.2,-7.7154
1923.9,92.2,-8.1198
1885.7,135,-5.7385
1802.4,228.6,-7.0799
1758.6,277.6,-7.6174
1599.7,464,-5.1085
1590.1,475.9,-7.4412
1587.7,478.7,-8.1066
1585.5,481.6,-7.5081
1584.8,482.4,-7.6131
1584.1,483.3,-7.7448
1584,483.6,-7.599
1571.4,499.2,-6.8109
1520.6,562.9,-7.3715
1515.8,569,-7.5442
1511.9,573.9,-8.2799
1510,576.5,-8.4279
1508.4,578.5,-8.41
1505.3,582.5,-7.9617000000000004
1499,590.5,-8.2103
1496.7,593.4,-7.7495
1342.9,762.6,-8.1872
1327.8,778.5,-8.5803
1202.2,910.3,-8.0734
1200,912.6,-7.678
