year (AD),dD (permil)
2006.897,-194.69
2006.791,-146.48
2006.686,-182.91
2006.58,-218.34
2006.474,-223.3
2006.369,-209.39
2006.263,-208.46
2006.158,-201.88
2006.052,-186.56
2005.963,-188.53
2005.889,-195.39
2005.816,-204.43
2005.742,-210.87
2005.669,-218.45
2005.595,-224.2
2005.522,-224.22
2005.449,-228.17
2005.375,-224.6
2005.302,-217.96
2005.228,-193.72
2005.155,-165.75
2005.081,-139.31
2005.008,-130.49
2004.952,-129.79
2004.91,-130.22
2004.868,-137.01
2004.827,-158.75
2004.785,-168.3
2004.743,-176.06
2004.701,-180.16
2004.66,-183.81
2004.618,-192.25
2004.576,-200.48
2004.535,-212.24
2004.493,-217.86
2004.451,-222.51
2004.409,-227.06
2004.368,-220.15
2004.326,-209.47
2004.284,-202.62
2004.242,-198.89
2004.201,-195.86
2004.159,-193.37
2004.117,-194.57
2004.076,-194.47
2004.034,-195.5
2003.987,-197.76
2003.92,-206.87
2003.852,-233.5
2003.785,-250.99
2003.717,-257.08
2003.649,-253.09
2003.582,-240.63
2003.514,-233.25
2003.447,-227.1
2003.379,-227.59
2003.21,-219.45
2003.167,-220.32
2003.125,-221.73
2003.082,-221.56
2003.04,-221.21
2002.998,-221.78
2002.97,-220.86
2002.941,-220.15
2002.912,-217.84
2002.883,-216.62
2002.855,-217.54
2002.826,-216.94
2002.797,-219.28
2002.768,-220.21
2002.74,-221.77
2002.711,-223.43
2002.682,-224.15
2002.654,-224.67
2002.625,-224.6
2002.596,-224.58
2002.567,-224.76
2002.539,-224.25
2002.51,-223.4
2002.481,-223.48
2002.452,-223.84
2002.424,-224.19
2002.395,-224.15
2002.366,-225.76
2002.338,-229.01
2002.309,-233.65
2002.28,-241.05
2002.251,-249.89
2002.223,-259.62
2002.194,-269.53
2002.165,-276.18
2002.136,-280.05
2002.108,-274.07
2002.079,-253.22
2002.05,-246.1
2002.022,-240.72
2001.984,-236.36
2001.92,-233.63
2001.857,-233.62
2001.793,-235.05
2001.73,-235.72
2001.671,-233.62
2001.613,-239.39
2001.555,-240.1
2001.496,-236.13
2001.438,-231.15
2001.38,-226.32
2001.322,-221.68
2001.263,-216.21
2001.205,-213.89
2001.147,-212.28
2001.088,-213.32
2001.03,-213.76
2000.98,-214.82
2000.939,-215.64
2000.899,-216.71
2000.858,-217.75
2000.817,-218.12
2000.776,-219.12
2000.735,-220.09
2000.695,-220.43
2000.654,-218.23
2000.613,-223.91
2000.572,-225.48
2000.531,-224.69
2000.491,-223.85
2000.45,-222.51
2000.409,-223.29
2000.368,-224.16
2000.327,-223.89
2000.287,-223.71
2000.246,-225.29
2000.205,-225.28
2000.164,-226.09
2000.123,-228.57
2000.083,-229.66
2000.042,-229.7
2000.001,-230.59
1999.958,-232.65
1999.915,-236.51
1999.872,-241.03
1999.829,-244.34
1999.786,-247.15
1999.743,-250.91
1999.7,-253.84
1999.657,-255.53
1999.614,-256.07
1999.571,-256.45
1999.529,-255.49
1999.486,-253.39
1999.443,-254.44
1999.4,-244.56
1999.357,-251.4
1999.314,-248.49
1999.271,-240.18
1999.085,-210.85
1999.039,-213.48
1998.993,-212.47
1998.951,-211.07
1998.909,-214.13
1998.867,-217.27
1998.825,-225.4
1998.783,-230.09
1998.741,-237.02
1998.699,-240.53
1998.658,-244.41
1998.616,-247.78
1998.574,-248.26
1998.532,-248.54
1998.49,-247.76
1998.448,-245.87
1998.406,-243.43
1998.364,-242.75
1998.322,-242.48
1998.28,-242.67
1998.238,-243.79
1998.196,-246.67
1998.154,-248.02
1998.112,-246.56
1998.07,-243.7
1998.028,-240.56
1997.984,-236.59
1997.935,-233.11
1997.886,-229.41
1997.837,-226.69
1997.788,-225.48
1997.739,-224.8
1997.69,-224.29
1997.641,-224.01
1997.592,-222.75
1997.543,-220.37
1997.494,-214.7
1997.445,-207.7
1997.396,-202.76
1997.347,-196.64
1997.298,-192.41
1997.249,-189.18
1997.2,-188.87
1997.151,-188.93
1997.102,-188.99
1997.053,-189.92
1997.004,-191.13
1996.93,-188.44
1996.893,-191.57
1996.856,-193.3
1996.819,-193.28
1996.783,-189.13
1996.746,-186.55
1996.709,-184.7
1996.672,-187.12
1996.599,-193.26
1996.562,-196.51
1996.525,-200.15
1996.488,-202.75
1996.451,-205.24
1996.414,-202.62
1996.378,-205.1
1996.341,-206.9
1996.304,-207.24
1996.267,-207.66
1996.23,-206.25
1996.194,-204.78
1996.157,-202.17
1996.12,-199.48
1996.083,-196.53
1996.046,-193.84
1996.009,-193.82
1995.974,-193.71
1995.939,-194.32
1995.904,-194.53
1995.868,-195.36
1995.833,-196.87
1995.798,-199.09
1995.763,-201.14
1995.728,-203.99
1995.693,-207.7
1995.658,-211.98
1995.622,-215.36
1995.587,-217.61
1995.552,-218.66
1995.517,-218.64
1995.482,-217.58
1995.447,-216.32
1995.412,-214.63
1995.376,-214.31
1995.341,-213.91
1995.306,-213.4
1995.271,-213.17
1995.236,-214.13
1995.201,-215.26
1995.166,-216.07
1995.13,-216.91
1995.095,-217.85
1995.06,-216.3
1995.025,-217.38
1994.992,-216.89
1994.966,-213.52
1994.92,-213
1994.874,-211.1
1994.827,-210.1
1994.781,-211.4
1994.735,-213.5
1994.689,-218.5
1994.643,-226.9
1994.597,-235.5
1994.551,-243.6
1994.505,-249.2
1994.459,-255.5
1994.413,-255.7
1994.367,-251.1
1994.321,-246.2
1994.275,-239.8
1994.229,-230.4
1994.183,-225
1994.137,-222.8
1994.091,-224.3
1994.045,-228.7
1993.998,-231.6
1993.94,-229
1993.882,-224.3
1993.824,-220.3
1993.766,-219.3
1993.708,-220.3
1993.65,-222.5
1993.592,-227.3
1993.534,-230.7
1993.476,-231.5
1993.418,-220.9
1993.359,-208
1993.201,-177.14
1993.167,-168.73
1993.133,-162.51
1993.1,-159.03
1993.066,-155.1
1993.032,-152.98
1992.999,-152.34
1992.962,-152.47
1992.925,-154.57
1992.888,-156.51
1992.851,-159.17
1992.815,-163.93
1992.778,-169.6
1992.741,-178.36
1992.704,-188.38
1992.667,-198.98
1992.631,-205.49
1992.594,-210.59
1992.557,-213.63
1992.52,-215.53
1992.483,-216.31
1992.446,-214.74
1992.41,-212.16
1992.373,-210.59
1992.336,-205.8
1992.299,-199.92
1992.262,-197.1
1992.226,-193.53
1992.189,-190.85
1992.152,-187.16
1992.115,-184.43
1992.078,-180.84
1992.041,-178.35
1992.005,-177.35
1991.948,-176.83
1991.889,-178.36
1991.829,-181.36
1991.77,-183.63
1991.71,-184.19
1991.651,-184.41
1991.591,-188.3
1991.532,-192.65
1991.472,-197.65
1991.413,-199.22
1991.353,-200.47
1991.294,-200.72
1991.234,-200.09
1991.175,-198.63
1991.115,-198.49
1991.056,-198.91
1990.997,-197.92
1990.937,-199.87
1990.878,-201.81
1990.818,-205.95
1990.759,-212.79
1990.699,-225.71
1990.64,-225.07
1990.58,-225.31
1990.521,-225.69
1990.461,-225.25
1990.402,-221.2
1990.342,-218.03
1990.283,-215.41
1990.223,-212.57
1990.164,-211.39
1990.104,-209.49
1990.045,-208.62
1989.992,-208.42
1989.962,-208.06
1989.931,-208.51
1989.9,-210.02
1989.869,-211.6
1989.838,-213.67
1989.807,-215.35
1989.776,-218.28
1989.745,-220.17
1989.714,-222.04
1989.683,-225.61
1989.652,-227.82
1989.621,-229.93
1989.59,-233.85
1989.559,-236.63
1989.529,-241.32
1989.498,-245.44
1989.467,-250.24
1989.436,-254.62
1989.405,-257.18
1989.374,-260.01
