depth (cm),year (AD),d18O (permil),d18O (permil),Mg_Ca (mmol/mol),temperature (degC),Mg_Ca_sd (mmol/mol),d18OUncertainty (permil)
0.5,1953,0.9527311135,-1.71,4.45,24.7280169,NA,NA
1.5,1919,1.305657036,-1.42,4.58,25.00489096,NA,0.33
2.5,1884,NA,NA,4.66,25.17139528,NA,NA
3.5,1850,1.043498928,-1.72,4.66,25.17139528,NA,NA
4.5,1815,1.25609328,-1.46,4.56,24.96281043,NA,0.16
5.5,1781,0.8529921403,-1.75,4.33,24.46516542,NA,0.13
6.5,1746,0.8554648943,-1.66,4.16,24.08004554,NA,0.14
7.5,1712,1.127814768,-1.53,4.44,24.70638498,NA,0.52
8.5,1677,1.16818342,-1.6,4.67,25.19200705,NA,NA
9.5,1643,0.9930871295,-1.63,4.37,24.55358337,NA,0.28
10.5,1608,1.019898011,-1.79,4.76,25.37555125,NA,0.04
11.5,1574,1.124659892,-1.62,4.62,25.08850352,NA,0.06
12.5,1539,0.9427106519,-1.64,4.29,24.37592687,NA,0.27
13.5,1505,1.158033238,-1.45,4.34,24.48734625,NA,0.25
14.5,1470,0.8012956607,-1.91,4.55,24.94170091,0.03,NA
15.5,1436,0.9311678219,-1.6,4.19,24.14913842,0.04,NA
16.5,1401,0.8080332375,-1.8,4.34,24.48734625,NA,0.06
17.5,1367,1.117414134,-1.56,4.48,24.79262219,NA,NA
18.5,1332,1.164099711,-1.59,4.64,25.13003873,NA,0.03
19.5,1298,1.257798698,-1.33,4.3,24.39831427,NA,0.06
20.5,1263,0.8781834201,-1.89,4.67,25.19200705,NA,0.05
21.5,1229,1.141295661,-1.57,4.55,24.94170091,NA,0.08
22.5,1194,0.8477986977,-1.74,4.3,24.39831427,NA,0.23
23.5,1160,1.137148291,-1.55,4.5,24.83545248,NA,0.47
24.5,1126,0.8819991584,-1.81,4.51,24.8567963,NA,0.33
25.5,1091,NA,-1.65,NA,NA,NA,0.06
26.5,1057,1.10299214,-1.5,4.33,24.46516542,NA,0.26
27.5,1022,0.8499246468,-1.89,4.61,25.06766845,NA,0.24
28.5,988,1.127948771,-1.52,4.42,24.66297459,NA,0.07
29.5,953,1.154659892,-1.59,4.62,25.08850352,NA,NA
30.5,919,1.021931063,-1.53,4.23,24.24049668,0.18,NA
31.5,884,1.136487486,-1.57,4.54,24.92054494,NA,0.03
32.5,850,0.895179119,-1.84,4.6,25.04678812,NA,0.04
33.5,815,0.948080679,-1.67,4.36,24.53155499,NA,NA
34.5,781,0.8877986977,-1.7,4.3,24.39831427,NA,0.33
35.5,746,1.11308713,-1.51,4.37,24.55358337,NA,0.3
36.5,712,0.9980380295,-1.64,4.4,24.61936733,NA,0.04
37.5,677,1.117522386,-1.66,4.69,25.2330985,NA,0.34
38.5,643,1.009924647,-1.73,4.61,25.06766845,0.34,NA
39.5,608,0.9880821367,-1.64,4.38,24.5755614,NA,0.3
40.5,574,1.077375047,-1.49,4.26,24.30845021,NA,0.08
41.5,539,0.7027106519,-1.88,4.29,24.37592687,0.19,NA
42.5,505,0.9325307474,-1.74,4.47,24.77113529,0.37,NA
43.5,470,0.8870911945,-1.67,4.24,24.26320126,NA,0.16
44.5,436,1.137939387,-1.46,4.32,24.4429333,NA,0.21
45.5,401,0.8667587181,-1.68,4.22,24.21773836,NA,0.11
46.5,367,1.123716423,-1.36,4.1,23.94035226,NA,0.1
47.5,332,0.971574102,-1.57,4.21,24.19492605,NA,0.33
48.5,298,0.93594604,-1.59,4.18,24.12616258,NA,0.34
49.5,263,1.252731114,-1.41,4.45,24.7280169,NA,NA
50.5,229,0.9704232636,-1.76,4.59,25.02586236,NA,0.54
51.5,194,1.020423264,-1.71,4.59,25.02586236,NA,0.23
52.5,160,1.172731114,-1.49,4.45,24.7280169,0.01,NA
53.5,126,0.9529990184,-1.69,4.41,24.64119568,0.23,0.39
54.5,91,1.185332385,-1.67,4.86,25.57546249,0.11,NA
55.5,57,1.01308713,-1.61,4.37,24.55358337,0.18,NA
