year (AD),depth (cm),temperature (degC),d18O (permil),d18O (permil),Mg_Ca (mmol/mol)
1950,0,25.35,0.9170833333,-1.53,4.398
1937.667,0.5,25.07872,1.215566667,-1.175,4.29028
1925.334,1,24.09505,0.3146354167,-1.871,3.926788
1913.001,1.5,24.41133,0.9465270833,-1.305,4.040174
1900.668,2,24.25175,1.16528125,-1.053,3.982561
1888.335,2.5,24.28197,1.236577083,-0.988,3.993409
1876.002,3,23.94941,0.98129375,-1.174,3.875654
1863.669,3.5,23.37666,0.9899708333,-1.046,3.680936
1851.336,4,23.81937,1.097202083,-1.031,3.83056
1839.003,4.5,23.99571,1.155939583,-1.009,3.891838
1826.67,5,23.93785,1.088885417,-1.064,3.871623
1814.337,5.5,23.90573,0.89819375,-1.248,3.860449
1802.004,6,23.07621,0.5223770833,-1.451,3.582734
1789.671,6.5,23.4416,1.0375,-1.012,3.702513
1777.338,7,23.6538,0.9247083333,-1.169,3.773904
1765.005,7.5,23.66252,1.224525,-0.871,3.776867
1752.672,8,24.35483,1.09975625,-1.14,4.019679
1740.339,8.5,22.81007,0.62693125,-1.291,3.497938
1728.006,9,23.66215,0.7034479167,-1.392,3.776741
1715.673,9.5,23.84961,0.6715020833,-1.463,3.841
1703.34,10,22.19555,0.80690625,-0.983,3.309731
1691.007,10.5,22.92163,0.7371729167,-1.204,3.533237
1678.674,11,23.01598,1.124829167,-0.836,3.563367
1666.341,11.5,NA,NA,-1.183,NA
1654.008,12,23.67885,1.313927083,-0.785,3.782419
1641.675,12.5,23.38893,1.115527083,-0.923,3.685002
1629.342,13,22.39776,0.5140333333,-1.318,3.370516
1617.009,13.5,NA,NA,-1.017,NA
1604.676,14,24.29568,0.8314333333,-1.396,3.998338
1592.343,14.5,23.36001,0.4765020833,-1.556,3.675425
1580.01,15,23.71412,1.066275,-1.04,3.794445
1567.677,15.5,24.66308,0.845975,-1.458,4.132759
1555.344,16,23.69684,1.016675,-1.086,3.788548
1543.011,16.5,24.34053,0.8117770833,-1.425,4.014509
1530.678,17,23.53215,0.5623645833,-1.506,3.732808
1518.345,17.5,23.54567,0.68118125,-1.39,3.737353
1506.012,18,23.55112,0.8553166667,-1.217,3.739188
1493.679,18.5,22.70754,0.3045708333,-1.592,3.46581
1481.346,19,24.11368,1.412516667,-0.777,3.933377
1469.013,19.5,25.19361,1.236502083,-1.178,4.334872
1456.68,20,24.07777,NA,NA,3.920686
1444.347,20.5,24.8625,1.572520833,-0.773,4.207602
1432.014,21,NA,NA,-1.473,NA
1419.681,21.5,NA,NA,NA,NA
1407.348,22,23.05337,1.15661875,-0.812,3.575379
1395.015,22.5,NA,NA,-0.952,NA
1382.682,23,24.56816,0.8212,-1.463,4.097602
1370.349,23.5,23.95477,0.8984104167,-1.258,3.877525
1358.016,24,24.50691,0.8614395833,-1.41,4.075076
1345.683,24.5,24.35182,0.6891291667,-1.55,4.01859
1333.35,25,24.04598,0.7774125,-1.398,3.909485
