Int Chron (years),d18O (per mil),Sr/Ca (mmol/mol)
0.8125,-3.945,9.118
0.9792,-3.9086,9.22
1.1458,-3.7371,9.2569
1.3125,-3.6664,9.2556
1.4792,-3.7636,9.2453
1.6458,-3.9821,9.2167
1.8125,-4.2736,9.165
1.9792,-4.1595,9.1965
2.1458,-3.9875,9.228
2.3125,-3.7412,9.2415
2.4792,-3.5438,9.252
2.6458,-3.6638,9.2215
2.8125,-3.83,9.1957
2.9792,-3.918,9.2416
3.1458,-3.79,9.292
3.3125,-3.4655,9.3989
3.4792,-3.3166,9.3454
3.6458,-3.4429,9.3175
3.8125,-4.0714,9.1956
3.9792,-4.017,9.1842
4.1458,-3.865,9.23
4.3125,-3.778,9.2577
4.4792,-3.7995,9.2007
4.6458,-3.8311,9.201
4.8125,-4.0963,9.1299
4.9792,-3.899,9.2022
5.1458,-3.59,9.2835
5.3125,-3.635,9.3459
5.4792,-3.6989,9.3126
5.6458,-3.7418,9.2272
5.8125,-3.7846,9.2084
5.9792,-3.636,9.2814
6.1458,-3.535,9.31
6.3125,-3.5054,9.3653
6.4792,-3.5196,9.3331
6.6458,-3.6454,9.3889
6.8125,-3.8463,9.2046
6.9792,-4.0782,9.232
7.1458,-3.7962,9.2393
7.3125,-3.6669,9.252
7.4792,-3.7919,9.2207
7.6458,-4.0763,9.2335
7.8125,-4.3187,9.1147
7.9792,-4.0527,9.1493
8.1458,-3.8787,9.2645
8.3125,-3.7475,9.2701
8.4792,-3.7161,9.174
8.6458,-3.8136,9.202
8.8125,-4.3793,9.0231
8.9792,-4.117,9.1978
9.1458,-3.8625,9.2025
9.3125,-3.8529,9.1915
9.4792,-3.8871000000000002,9.1272
9.6458,-3.9208,9.1276
9.8125,-3.9411,9.1191
9.9792,-3.752,9.2366
10.1458,-3.775,9.387
10.3125,-3.697,9.3394
10.4792,-3.7579,9.2901
10.6458,-3.7471,9.2637
10.8125,-3.6877,9.2286
10.9792,-3.6391,9.255
11.1458,-3.5904,9.295
11.3125,-3.56,9.2975
11.4792,-3.6013,9.3135
11.6458,-3.8725,9.202
11.8125,-3.9781,9.133
11.9792,-3.6365,9.201
12.1458,-3.605,9.2998
12.3125,-3.475,9.343
12.4792,-3.6138,9.3262
12.6458,-3.7688,9.278
12.8125,-3.7986,9.2787
12.9792,-3.6614,9.2701
13.1458,-3.6688,9.297
13.3125,-3.7629,9.2531
13.4792,-3.8871000000000002,9.184
13.6458,-4.0414,9.1813
13.8125,-4.1032,9.1036
13.9792,-3.955,9.1921
14.1458,-3.5875,9.2875
14.3125,-3.6448,9.3077
14.4792,-3.7443,9.306
14.6458,-3.7729,9.2603
14.8125,-3.825,9.2291
14.9792,-3.828,9.2656
15.1458,-3.66,9.286
15.3125,-3.6333,9.359
15.4792,-3.6686,NA
15.6458,-3.7657,NA
15.8125,-3.8945,9.1817
15.9792,-3.871,9.2213
16.1458,-3.655,9.2995
16.3125,-3.7415,9.3142
16.4792,-3.9077,9.2268
16.6458,-3.9137,9.1883
16.8125,-3.8237,9.1791
16.9792,-3.7337,9.2494
17.1458,-3.7284,9.2915
17.3125,-3.774,9.2901
17.4792,-3.8323,9.255
17.6458,-3.9395,9.2171
17.8125,-4.0466,9.1948
17.9792,-3.656,9.3149
18.1458,-3.395,9.219
18.3125,-3.418,9.2735
18.4792,-3.4395,9.2119
18.6458,-3.4738,9.2234
18.8125,-3.8038,9.1848
18.9792,-3.7017,9.3024
19.1458,-3.6387,9.3387
19.3125,-3.5843,9.3708
19.4792,-3.7557,9.3436
19.6458,-3.9135,9.3365
19.8125,-3.7572,9.3254
19.9792,-3.648,9.414
20.1458,-3.68,9.337
20.3125,-3.5668,9.3611
20.4792,-3.7807,9.3144
20.6458,-4.048,9.2301
20.8125,-4.0409,9.1789
20.9792,-3.8037,9.1903
21.1458,-3.8138,9.2755
21.3125,-3.7981,9.3084
21.4792,-3.8671,9.2166
21.6458,-3.9382,9.2039
21.8125,-3.8954,9.1516
21.9792,-3.995,9.2375
22.1458,-3.6775,9.3005
22.3125,-3.5644,9.3329
22.4792,-3.6846,9.2942
22.6458,-3.8223,9.2198
22.8125,-3.758,9.1947
22.9792,-3.7942,9.2572
23.1458,-3.64,9.2443
23.3125,-3.7746,9.2636
23.4792,-3.8368,9.2249
23.6458,-3.9739,9.2299
23.8125,-4.0705,9.0894
23.9792,-4.0935,9.1765
24.1458,-3.8312,9.2517
24.3125,-3.6755,9.3031
24.4792,-3.797,9.2725
24.6458,-3.9393,9.2467
24.8125,-4.0109,9.1752
24.9792,-4.0925,9.2205
25.1458,-3.7912,9.2768
25.3125,-3.5804,9.3403
25.4792,-3.5546,9.2981
25.6458,-3.534,9.3595
25.8125,-3.63,9.2755
25.9792,-3.5925,9.3675
26.1458,-3.4788,9.359
26.3125,-3.5857,9.3117
26.4792,-3.6543,9.2403
26.6458,-3.6755,9.2853
26.8125,-3.6682,9.2827
26.9792,-3.6609,9.3327
27.1458,-3.5462,9.326
27.3125,-3.6823,9.3188
27.4792,-3.8316,9.274
27.6458,-3.8873,9.2723
27.8125,-3.943,9.2311
27.9792,-3.86,9.2506
28.1458,-3.49,9.343
28.3125,-3.465,9.3916
28.4792,-3.5689,9.3248
28.6458,-3.6229,9.3327
28.8125,-3.9314,9.1819
28.9792,-3.872,9.2754
29.1458,-3.57,9.381
29.3125,-3.2757,9.3949
29.4792,-3.3671,9.3064
29.6458,-3.6486,9.2911
29.8125,-3.84,9.259
29.9792,-3.79,9.26
30.1458,-3.6013,9.2957
30.3125,-3.5543,9.2757
30.4792,-3.5643,9.2329
30.6458,-3.7929,9.2017
30.8125,-3.7455,9.1517
30.9792,-3.67,9.1754
31.1458,-3.6775,9.232
31.3125,-3.5039,9.3096
31.4792,-3.6607,9.2631
31.6458,-3.7236,9.2266
31.8125,-3.8359,9.1391
31.9792,-3.5305,9.2143
32.1458,-3.4075,9.208
32.3125,-3.41,9.2754
32.4792,-3.47,9.2623
32.6458,-3.59,9.2066
32.8125,-3.5278,9.162
32.9792,-3.4135,9.1773
33.1458,-3.4975,9.1722
33.3125,-3.551,9.2951
33.4792,-3.5535,9.2529
33.6458,-3.5561,9.2106
33.8125,-3.5586,9.1683
33.9792,-3.417,9.2514
34.1458,-3.3,9.3285
34.3125,-3.2214,9.3505
34.4792,-3.5882,9.2837
34.6458,-3.803,9.1994
34.8125,-3.87,9.1762
34.9792,-3.6652,9.2085
35.1458,-3.4653,9.263
35.3125,-3.3947,9.2621
35.4792,-3.5089,9.2266
35.6458,-3.6718,9.2437
35.8125,-3.8039,9.0966
35.9792,-3.5962,9.2199
36.1458,-3.135,9.263
36.3125,-3.1087,NA
36.4792,-3.405,9.2618
36.6458,-3.7225,9.231
36.8125,-3.7625,9.077
36.9792,-3.2705,9.1393
37.1458,-3.4975,9.1915
37.3125,-3.5971,9.2129
37.4792,-3.6429,9.2101
37.6458,-3.7171,9.2083
37.8125,-3.8086,9.2071
37.9792,-3.675,9.2442
38.1458,-3.315,9.1007
38.3125,-3.1961,9.203
38.4792,-3.4146,9.1519
38.6458,-3.4036,9.1688
