year (AD),age (BP),d18O (permil),depth_top (mm),depth_bot (mm),thickness (mm)
1950,0,-13.03,0,65,65
1820.4,129.6,-12.97,65,112,47
1723.7,226.3,-12.97,112,150,38
1643.7,306.3,-13.43,150,200,50
1536,414,-13.16,200,252,52
1421,529,-13.205,252,300,48
1312.2,637.8,-13.38,300,342,42
1214.9,735.1,-13.15,342,382,40
1120.3,829.7,-13.24,382,450,68
955.4,994.6,-13.2,450,502,52
825.9,1124.1,-13.055,502,565,63
664.8,1285.2,-13.195,565,604,39
562.9,1387.1,-13.3,604,653,49
432.4,1517.6,-13.195,653,691,38
329.3,1620.7,-12.885,691,747,56
174.5,1775.5,-13.165,747,791,44
50.4000000000001,1899.6,-13.35,791,840,49
-90.4000000000001,2040.4,-13.23,840,882,42
-213.2,2163.2,-12.85,882,920,38
-326,2276,-13.04,920,969,49
-473.9,2423.9,-13.045,969,1032,63
-668,2618,-13.63,1032,1097,65
-872.9,2822.9,-13.275,1097,1159,62
-1072.7,3022.7,-13.42,1159,1206,47
-1227.1,3177.1,-13.48,1206,1270,64
-1441.4,3391.4,-13.52,1270,1330,60
-1646.2,3596.2,-13.44,1330,1390,60
-1855.4,3805.4,-13.3,1390,1445,55
-2050.6,4000.6,-13.29,1445,1480,35
-2176.6,4126.6,-13.47,1480,1532,52
-2366.3,4316.3,-13.69,1532,1581,49
-2547.8,4497.8,-13.51,1581,1636,55
-2757.8,4707.8,-13.26,1636,1680,44
-2922.8,4872.8,-13.3,1680,1738,58
-3147.6,5097.6,-13.42,1738,1779,41
-3308.8,5258.8,-13.34,1779,1829,50
-3507.9,5457.9,-13.53,1829,1882,53
-3722,5672,-13.24,1882,1928,46
-3910.4,5860.4,-12.9,1928,1972,44
-4092.9,6042.9,-13.11,1972,2013,41
-4264.8,6214.8,-13.28,2013,2072,59
-4515.6,6465.6,-13.92,2072,2119,47
-4718.2,6668.2,-13.06,2119,2157,38
-4883.8,6833.8,-12.72,2157,2203,46
-5086.4,7036.4,-13.03,2203,2250,47
-5295.8,7245.8,-12.96,2250,2293,43
-5489.6,7439.6,-13.07,2293,2345,52
-5726.8,7676.8,-13.07,2345,2380,35
-5881.1,7831.1,-13.1,2380,2420,40
-6091.22222222222,8041.22222222222,-12.69,2420,2470,50
-6354,8304,-12.77,2470,2516,46
-6595.75555555556,8545.75555555556,-12.77,2516,2580,64
-6932.11111111111,8882.11111111111,-12.36,2580,2630,50
-7194.88888888889,9144.88888888889,-12.17,2630,2670,40
-7414.28571428571,9364.28571428571,-11.95,2670,2709,39
-7637.14285714286,9587.14285714286,-11.565,2709,2745,36
-7842.85714285714,9792.85714285714,-11.4,2745,2785,40
-8071.4285714286,10021.4285714286,-11.29,2785,2842,57
-8165,10115,-11.03,2842,2899,57
-8236.25,10186.25,-10.99,2899,2940,41
