year (AD),dD (permil)
2010,-438.357123448024
2009,-414.801069501529
2008,-446.929061346573
2007,-453.44296106371
2006,-430.179014808698
2005,-436.27830376308
2004,-437.706791587257
2003,-432.443597985904
2002,-430.56613105056
2001,-455.488965045262
2000,-439.93341474785
1999,-423.965618417799
1998,-430.809627482076
1997,-434.135477998252
1996,-440.259135222891
1995,-439.897884011875
1994,-440.310721097914
1993,-441.820423849487
1992,-433.800521728465
1991,-431.367570103072
1990,-434.066746483103
1989,-433.975819829763
1988,-440.167271439078
1987,-446.274953026266
1986,-437.76181231912
1985,-431.857891129797
1984,-432.715341882139
1983,-437.619513904616
1982,-438.007886489579
1981,-442.171769533664
1980,-441.651172817644
1979,-444.862959695911
1978,-440.613964095616
1977,-440.170277153279
1976,-429.256963516282
1975,-434.064809431751
1974,-436.185973717205
1973,-435.211233277692
1972,-430.160033777359
1971,-431.211944931815
1970,-433.521546333944
1969,-438.668562935858
1968,-444.085214819007
1967,-444.413242102073
1966,-441.087766794783
1965,-444.428432202628
1964,-446.113376436026
1963,-445.442568860531
1962,-445.68632854933
1961,-447.76758851857
1960,-440.310669231986
1959,-445.000386522009
1958,-446.784970371967
1957,-445.23683825299
1956,-451.509575815366
1955,-450.386440114561
1954,-453.053974473458
1953,-445.733301219869
1952,-443.042519844177
1951,-442.108615258639
1950,-437.135096773058
1949,-434.765516856648
1948,-436.258999094111
1947,-435.527218754704
1946,-437.788017895617
1945,-434.56884105264
1944,-428.041869336236
1943,-434.203769846513
1942,-437.485001395687
1941,-425.884103513758
1940,-430.113204960307
1939,-429.646346260056
1938,-433.871260036387
1937,-441.576697097403
1936,-444.016511399608
1935,-449.594247034319
1934,-448.083939834497
1933,-442.600961685917
1932,-441.452344928709
1931,-432.197833909341
1930,-431.076135059844
1929,-427.988138079012
1928,-427.436482319918
1927,-433.814186822577
1926,-438.318283182666
1925,-442.544911920075
1924,-444.14287150287
1923,-443.351472792059
1922,-443.271091152595
1921,-443.051668604346
1920,-440.951016287634
1919,-434.629275887461
1918,-438.158601769865
1917,-438.181148697523
1916,-437.727525224897
1915,-434.242250875454
1914,-430.097834104654
1913,-427.41498675907
1912,-434.870726659015
1911,-438.255809449091
1910,-440.570470752319
1909,-441.469552143902
1908,-446.1773054643
1907,-448.624027100005
1906,-450.567145591027
1905,-455.24164328541
1904,-456.551103100137
1903,-449.945841072388
1902,-451.781489866852
1901,-449.40055379981
1900,-448.261152007101
1899,-448.958026312749
1898,-448.066831813837
1897,-446.680676901509
1896,-447.747840821675
1895,-444.092925669599
1894,-442.2021239804
1893,-440.931175069207
1892,-440.27531977562103
1891,-437.381966193
1890,-435.85551572845
1889,-439.192737619389
1888,-441.243954068677
1887,-436.289575378408
1886,-441.444371304641
1885,-438.521372311668
1884,-437.969652333088
1883,-435.189400142205
1882,-431.689579297295
1881,-435.58986894029
1880,-442.23509253303
1879,-439.243175784239
1878,-443.058656537795
1877,-442.65725546539
1876,-440.672965007861
1875,-444.72843295164
1874,-441.140521351376
1873,-445.243269088662
1872,-441.095294459765
1871,-439.200291748312
1870,-443.720756962035
1869,-442.082992596311
1868,-445.822723542511
1867,-446.89701725178
1866,-446.466473277021
1865,-444.9365519118
1864,-440.289532272457
1863,-437.522106731553
1862,-436.158144785808
1861,-441.490997355181
1860,-440.79314001189
1859,-444.174284807567
1858,-446.339692565004
1857,-446.234703182537
1856,-453.633222853768
1855,-447.060707072348
1854,-448.626370938941
1853,-444.011580641832
1852,-446.332461185383
1851,-447.766567816537
1850,-448.383988092451
1849,-449.451228049875
1848,-449.272025006823
1847,-448.071955356953
1846,-443.40572683673
1845,-442.323536218614
1844,-447.021666242747
1843,-449.432165974514
1842,-451.490703801922
1841,-450.15158646651
1840,-453.306862588916
1839,-451.13876810401
1838,-453.755417129046
1837,-450.661938581029
1836,-446.117357888321
1835,-443.515285051157
1834,-439.043582190082
1833,-437.235839411501
1832,-439.128167702275
1831,-437.379052274023
1830,-437.910771464705
1829,-438.729458700777
1828,-437.770446853635
1827,-444.952366192269
1826,-446.03685701488
1825,-443.52419402677
1824,-446.270158664179
1823,-442.834320282503
1822,-441.246551235322
1821,-439.843641935066
1820,-446.083342466146
1819,-450.924920072678
1818,-447.844938091441
1817,-444.280582672065
1816,-443.53833008241
1815,-446.731199806229
1814,-441.265628545695
1813,-446.239520288279
1812,-450.714686644908
1811,-451.005029338415
1810,-452.063315861904
1809,-450.101780593864
1808,-449.432480705918
1807,-449.589899765519
1806,-451.529856050504
1805,-453.839811088547
1804,-451.85778343692
1803,-449.873496841095
1802,-450.166396828433
1801,-454.742812534289
1800,-447.724633835273
1799,-444.35965434349
1798,-445.356798024964
1797,-447.336317420079
1796,-444.759434984053
1795,-443.525739964475
1794,-441.662004166343
1793,-441.453231559059
1792,-440.684480204593
1791,-440.991475395574
1790,-441.044722986313
1789,-439.887231902244
1788,-437.140832306271
1787,-438.107164976703
1786,-435.772127741537
1785,-443.084977193381
1784,-440.649568663392
1783,-440.008823412926
1782,-442.564771617343
1781,-443.375150292657
1780,-443.065575883674
1779,-445.530697662923
