year (AD),depth (cm),depth (cm),d18O (permil),d18O (permil),d18O (permil),core (),d18O (permil),Mg_Ca (mmol/mol),temperature (deg C)
1965,0.01,0.01,NA,NA,0.881,GeoB6211-1,NA,NA,NA
1950,0.02,0.02,NA,0.83,0.794,GeoB6211-1,NA,NA,NA
1936,0.03,0.03,NA,NA,0.979,GeoB6211-1,NA,NA,NA
1922,0.04,0.04,1.113,NA,1.105,GeoB6211-1,-1.13,3.536,22.959
1908,0.05,0.05,NA,NA,1.09,GeoB6211-1,-0.905,NA,NA
1894,0.06,0.06,NA,NA,1.152,GeoB6211-1,-0.563,NA,NA
1880,0.07,0.07,NA,0.9,0.947,GeoB6211-1,-0.819,NA,NA
1840,0.08,0.08,1.4,NA,1.189,GeoB6211-1,-0.895,3.62,23.189
1800,0.09,0.09,NA,1,1.018,GeoB6211-1,-0.999,NA,NA
1790,0.1,0.1,NA,NA,0.81,GeoB6211-1,-1.12,NA,NA
1780,0.11,0.11,NA,NA,1.121,GeoB6211-1,-1.063,NA,NA
1770,0.12,0.12,1.401,NA,1.048,GeoB6211-1,-0.641,3.228,22.065
1760,0.13,0.13,NA,NA,0.955,GeoB6211-1,-1.225,NA,NA
1750,0.14,0.14,NA,NA,1.107,GeoB6211-1,-0.779,NA,NA
1740,0.15,0.15,NA,NA,0.918,GeoB6211-1,-0.9,NA,NA
1730,0.16,0.16,1.261,1.03,1.209,GeoB6211-1,-0.92,3.438,22.683
1706.666667,0.17,0.17,NA,NA,1.185,GeoB6211-1,-0.73,NA,NA
1683.333333,0.18,0.18,NA,NA,1.086,GeoB6211-1,-0.989,NA,NA
1660,0.19,0.19,NA,0.94,1.092,GeoB6211-1,-0.746,NA,NA
1633.333333,0.2,0.2,0.997,NA,1.038,GeoB6211-1,-1.285,3.598,23.129
1606.666667,0.21,0.21,NA,NA,1.059,GeoB6211-1,-0.729,NA,NA
1580,0.22,0.22,NA,1.06,0.911,GeoB6211-1,-1.049,NA,NA
1556.666667,0.23,0.23,NA,NA,0.893,GeoB6211-1,-1.133,NA,NA
1533.333333,0.24,0.24,1.756,NA,1.018,GeoB6211-1,-0.597,3.717,23.448
1510,0.25,0.25,NA,1.14,0.865,GeoB6211-1,-0.793,NA,NA
1475,0.26,0.26,NA,NA,1.224,GeoB6211-1,-0.541,NA,NA
1440,0.27,0.27,NA,0.97,1.097,GeoB6211-1,-0.875,NA,NA
1413.333333,0.28,0.28,1.538,NA,1.106,GeoB6211-1,-0.819,3.724,23.467
1386.666667,0.29,0.29,NA,NA,1.061,GeoB6211-1,-1.186,NA,NA
1360,0.3,0.3,NA,0.97,0.978,GeoB6211-1,-0.661,NA,NA
1325,0.31,0.31,NA,NA,0.995,GeoB6211-1,-0.774,NA,NA
1290,0.32,0.32,1.754,0.61,1.074,GeoB6211-1,-0.626,3.764,23.571
1250,0.33,0.33,NA,NA,0.77,GeoB6211-1,-0.647,NA,NA
1210,0.34,0.34,NA,1.02,0.765,GeoB6211-1,-1.299,NA,NA
1175,0.35,0.35,NA,NA,0.735,GeoB6211-1,-0.564,NA,NA
1140,0.36,0.36,1.171,0.83,0.921,GeoB6211-1,-1.29,3.904,23.93
1105,0.37,0.37,NA,NA,0.956,GeoB6211-1,-1.412,NA,NA
1070,0.38,0.38,NA,1.11,0.671,GeoB6211-1,NA,NA,NA
1030,0.39,0.39,NA,NA,0.829,GeoB6211-1,-1.154,NA,NA
990,0.4,0.4,1.646,0.93,NA,GeoB6211-1,-0.786,3.852,23.798
955,0.41,0.41,NA,NA,0.783,GeoB6211-1,-1.009,NA,NA
920,0.42,0.42,NA,0.77,0.927,GeoB6211-1,-1.047,NA,NA
885,0.43,0.43,NA,NA,0.833,GeoB6211-1,-0.82,NA,NA
850,0.44,0.44,1.58,0.93,0.802,GeoB6211-1,-0.874,3.891,23.897
810,0.45,0.45,NA,NA,1.074,GeoB6211-1,-1,NA,NA
770,0.46,0.17,1.279,0.99,NA,GeoB6211-2,-0.916,3.997,22.749
720,0.47,0.18,1.356,0.98,NA,GeoB6211-2,-0.929,3.461,23.148
600,0.48,0.19,1.198,1,NA,GeoB6211-2,-1.259,3.605,23.911
500,0.49,0.2,1.173,0.91,NA,GeoB6211-2,-1.23,3.897,23.675
400,0.5,0.21,1.329,0.96,NA,GeoB6211-2,-0.923,3.804,23.006
300,0.51,0.22,1.367,0.81,NA,GeoB6211-2,-0.986,3.553,23.452
200,0.52,0.23,1.976,0.99,NA,GeoB6211-2,-0.715,3.718,24.957
100,0.53,0.24,1.473,0.96,NA,GeoB6211-2,-1.001,4.335,23.996
0,0.54,0.25,1.862,0.98,NA,GeoB6211-2,-0.644,3.93,24.138
-100,0.55,0.26,1.603,1.12,NA,GeoB6211-2,-0.922,3.988,24.224
-210,0.56,0.27,1.598,1.04,NA,GeoB6211-2,-0.619,4.023,22.856
-310,0.57,0.28,1.347,0.93,NA,GeoB6211-2,-0.929,3.499,23.118
-410,0.58,0.29,1.495,0.91,NA,GeoB6211-2,-0.81,3.594,23.249
