year (AD),depth (m),dD (permil)
1997.5,5.2,-120.4
1992.5,8.64,-120.67
1987.5,11.84,-143.54
1982.5,15.32,-135.16
1977.5,19.1,-118.04
1972.5,22.42,-124.04
1967.5,25.88,-125.69
1962.5,29.4,-112.68
1957.5,32.93,-128.87
1952.5,35.61,-125.5
1947.5,38.09,-117.4
1942.5,40.45,-120.19
1937.5,41.9,-104.35
1932.5,43.19,-112.83
1927.5,44.46,-116.26
1922.5,45.96,-124.62
1917.5,47.42,-131.87
1912.5,48.4,-130.87
1907.5,49.27,-131.84
1902.5,50.24,-114.78
1897.5,51.22,-136.36
1892.5,52.11,-137.58
1887.5,52.92,-114.7
1882.5,53.64,-117
1877.5,54.4,-124.39
1872.5,55.07,-122.59
1867.5,55.94,-124.19
1862.5,56.65,-134.18
1857.5,57.58,-145.86
1852.5,58.57,-131.43
1847.5,59.4,-143.63
1842.5,60.25,-127.13
1837.5,61.06,-126.41
1832.5,61.8,-126.37
1827.5,62.64,-138.22
1822.5,63.68,-139.48
1817.5,64.75,-137.65
1812.5,65.75,-144.91
1807.5,66.72,-154.4
1802.5,67.63,-146.49
1797.5,68.32,-165.72
1792.5,69.22,-140.46
1787.5,70.11,-146.01
1782.5,70.93,-148.43
1777.5,71.74,-154.12
1772.5,72.54,-134.41
1767.5,73.33,-129.69
1762.5,74.12,-129.84
1757.5,74.92,-147.18
1752.5,75.58,-145.36
1747.5,76.22,-134.27
1742.5,76.94,-146.85
1737.5,77.44,-141.05
1732.5,77.88,-137.53
1727.5,78.38,-133.67
1722.5,79.1,-141.29
1717.5,79.67,-133.8
1712.5,80.28,-147.72
1707.5,80.95,-137.34
1702.5,81.66,-131.03
1697.5,82.39,-140.12
1692.5,82.95,-143.3
1687.5,83.65,-146.99
1682.5,84.36,-150.88
1677.5,84.85,-145.32
1672.5,85.28,-146.88
1667.5,85.76,-137.81
1662.5,86.27,-137.76
1657.5,86.85,-143.62
1652.5,87.43,-133.04
1647.5,87.91,-126.33
1642.5,88.36,-137.51
1637.5,88.78,-131.65
1632.5,89.17,-139.1
1627.5,89.6,-129.64
1622.5,89.97,-138.1
1617.5,90.36,-132.48
1612.5,90.85,-130.37
1607.5,91.46,-131.44
1602.5,91.87,-126.05
1597.5,92.25,-147.79
1592.5,92.66,-126.95
1587.5,93.16,-133.76
1582.5,93.63,-133.51
1577.5,94.13,-127.86
1572.5,94.57,-129.02
1567.5,95.03,-125.01
1562.5,95.49,-116.61
1557.5,96.01,-124.29
1552.5,96.5,-128.59
1547.5,96.86,-134.87
1542.5,97.27,-124.56
1537.5,97.7,-123.32
1532.5,98.09,-131.66
1527.5,98.31,-141.31
1522.5,98.53,-129.7
1517.5,98.74,-132.27
1512.5,98.95,-137.5
1507.5,99.15,-133.17
1502.5,99.35,-129.7
1497.5,99.54,-129.03
1492.5,99.73,-128.6
1487.5,99.91,-130.82
1482.5,100.09,-119.96
1477.5,100.27,-126.52
1472.5,100.44,-144.7
1467.5,100.6,-132.28
1462.5,100.77,-134.83
1457.5,100.93,-138.49
1452.5,101.08,-130.69
1447.5,101.23,-113.1
1442.5,101.38,-130.64
1437.5,101.52,-133.19
1432.5,101.67,-137.68
1427.5,101.8,-135.75
1422.5,101.94,-125.6
1417.5,102.07,-142.17
1412.5,102.2,-131.51
1407.5,102.33,-137.58
1402.5,102.45,-138.66
1397.5,102.57,-132.55
1392.5,102.69,-133.55
1387.5,102.81,-138.92
1382.5,102.92,-129.5
1377.5,103.03,-134.07
1372.5,103.14,-132.55
1367.5,103.24,-137.89
1362.5,103.34,-132.52
1357.5,103.44,-136.86
1352.5,103.54,-130.86
1347.5,103.64,-125.11
1342.5,103.73,-129.2
1337.5,103.82,-141.09
1332.5,103.91,-138.39
1327.5,104,-127.74
1322.5,104.09,-133.71
1317.5,104.17,-138.06
1312.5,104.25,-136.19
1307.5,104.33,-137.41
1302.5,104.41,-136.26
1297.5,104.49,-139.11
1292.5,104.57,-139.78
1287.5,104.64,-137.57
1282.5,104.72,-134.31
1277.5,104.78,-139.81
1272.5,104.86,-138.16
1267.5,104.92,-135.29
1262.5,104.99,-133.86
1257.5,105.05,-140.2
1252.5,105.12,-136.3
1247.5,105.18,-140.17
1242.5,105.24,-141.43
1237.5,105.3,-140.94
1232.5,105.36,-137.17
1227.5,105.42,-137.34
1222.5,105.48,-143.85
1217.5,105.53,-144.54
1212.5,105.59,-143.06
1207.5,105.64,-146.47
1202.5,105.69,-139.66
1197.5,105.74,-143.39
1192.5,105.79,-141.36
1187.5,105.84,-149.31
1182.5,105.89,-141.91
1177.5,105.93,-139.03
1172.5,105.98,-139.54
1167.5,106.02,-139.35
1162.5,106.07,-139.85
1157.5,106.11,-140.84
1152.5,106.15,-140.12
1147.5,106.19,-139.02
1142.5,106.23,-136.71
1137.5,106.27,-136.47
1132.5,106.31,-141.04
1127.5,106.35,-141.04
1122.5,106.38,-136.23
1117.5,106.42,-135.33
1112.5,106.46,-136.29
1107.5,106.49,-133.19
1102.5,106.53,-135.46
1097.5,106.56,-138.46
1092.5,106.59,-138.28
1087.5,106.62,-138.46
1082.5,106.66,-139.69
1077.5,106.69,-140.77
1072.5,106.72,-141.4
1067.5,106.75,-138.57
1062.5,106.78,-140.41
