year (AD),d18O (perrmil)
1995.67,-4.27
1995.5,-4.81
1995.33,-5.05
1995.17,-5.03
1995,-4.81
1994.83,-4.52
1994.67,-4.31
1994.5,-4.48
1994.33,-5.15
1994.17,-5
1994,-4.55
1993.83,-4.27
1993.67,-4.16
1993.5,-4.59
1993.33,-4.87
1993.17,-4.9
1993,-4.69
1992.83,-4.32
1992.67,-4.02
1992.5,-4.59
1992.33,-4.94
1992.17,-5.12
1992,-4.83
1991.83,-4.1
1991.67,-4.03
1991.5,-4.52
1991.33,-4.73
1991.17,-4.68
1991,-4.59
1990.83,-4.42
1990.67,-4.18
1990.5,-4.29
1990.33,-4.75
1990.17,-4.67
1990,-4.71
1989.83,-4.4
1989.67,-4.33
1989.5,-4.48
1989.33,-5.07
1989.17,-5.05
1989,-4.96
1988.83,-4.45
1988.67,-4.24
1988.5,-4.38
1988.33,-4.62
1988.17,-4.75
1988,-4.69
1987.83,-4.49
1987.67,-4.43
1987.5,-4.49
1987.33,-4.75
1987.17,-4.85
1987,-4.62
1986.83,-4.18
1986.67,-3.94
1986.5,-4.39
1986.33,-4.73
1986.17,-4.47
1986,-4.24
1985.83,-4.14
1985.67,-4.09
1985.5,-4.72
1985.33,-4.54
1985.17,-4.74
1985,-4.93
1984.83,-4.53
1984.67,-4.09
1984.5,-4.31
1984.33,-4.66
1984.17,-4.87
1984,-4.7
1983.83,-4.34
1983.67,-4.28
1983.5,-4.52
1983.33,-4.72
1983.17,-4.7
1983,-4.6
1982.83,-4.3
1982.67,-4.2
1982.5,-4.62
1982.33,-4.75
1982.17,-4.74
1982,-4.45
1981.83,-4.12
1981.67,-4.11
1981.5,-4.48
1981.33,-4.79
1981.17,-4.69
1981,-4.49
1980.83,-4.49
1980.67,-4.18
1980.5,-4.29
1980.33,-4.84
1980.17,-5.05
1980,-4.91
1979.83,-4.6
1979.67,-4.25
1979.5,-4.4
1979.33,-4.68
1979.17,-4.77
1979,-4.49
1978.83,-4.18
1978.67,-4.15
1978.5,-4.48
1978.33,-4.94
1978.17,-4.89
