year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1993,-34.5,0.41,0.12,116
1992,-37.2,0.81,0.23,116
1991,-37.4,1.21,0.35,116
1990,-39.3,1.59,0.46,116
1989,-36.2,1.96,0.58,116
1988,-34.7,2.32,0.69,116
1987,-35.4,2.68,0.81,116
1986,-35.2,3.03,0.93,116
1985,-33.2,3.38,1.04,116
1984,-34.2,3.71,1.16,116
1983,-36.3,4.04,1.27,116
1982,-36.4,4.37,1.39,116
1981,-36.8,4.69,1.5,116
1980,-40.4,5.01,1.62,116
1979,-39.1,5.32,1.74,116
1978,-37.8,5.63,1.85,116
1977,-35.2,5.93,1.97,116
1976,-34.5,6.23,2.08,116
1975,-34.5,6.52,2.2,116
1974,-34.9,6.82,2.31,116
1973,-35.2,7.1,2.43,116
1972,-35.6,7.39,2.55,116
1971,-35.9,7.67,2.66,116
1970,-36.5,7.95,2.78,116
1969,-35.8,8.23,2.89,116
1968,-33.4,8.5,3.01,116
1967,-33.9,8.77,3.12,116
1966,-35.2,9.04,3.24,116
1965,-35.8,9.31,3.36,116
1964,-36,9.57,3.47,116
1963,-36.7,9.83,3.59,116
1962,-37,10.1,3.7,116
1961,-36.4,10.35,3.82,116
1960,-35.5,10.61,3.93,116
1959,-37.1,10.86,4.05,116
1958,-39,11.11,4.17,116
1957,-39,11.36,4.28,116
1956,-37.7,11.61,4.4,116
1955,-35.9,11.85,4.51,116
1954,-35.4,12.1,4.63,116
1953,-35.6,12.34,4.74,116
1952,-32.9,12.58,4.86,116
1951,-32.9,12.82,4.98,116
1950,-35.4,13.06,5.09,116
1949,-37.8,13.29,5.21,116
1948,-36.1,13.53,5.32,116
1947,-35.8,13.76,5.44,116
1946,-38,13.99,5.55,116
1945,-37.2,14.22,5.67,116
1944,-37.3,14.45,5.79,116
1943,-37.4,14.68,5.9,116
1942,-36.7,14.9,6.02,116
1941,-36.4,15.13,6.13,116
1940,-35.5,15.35,6.25,116
1939,-34.5,15.57,6.36,116
1938,-35.1,15.79,6.48,116
1937,-35.1,16.02,6.6,116
1936,-35.6,16.23,6.71,116
1935,-35.5,16.45,6.83,116
1934,-35.5,16.67,6.94,116
1933,-36,16.89,7.06,116
1932,-35.4,17.1,7.17,116
1931,-33.3,17.31,7.29,116
1930,-33.6,17.53,7.41,116
1929,-33.5,17.74,7.52,116
1928,-32.2,17.95,7.64,116
1927,-32.5,18.16,7.75,116
1926,-34.4,18.37,7.87,116
1925,-37.3,18.58,7.98,116
1924,-37.3,18.79,8.1,116
1923,-35.1,18.99,8.22,116
1922,-36.6,19.2,8.33,116
1921,-37.7,19.41,8.45,116
1920,-36,19.61,8.56,116
1919,-36.4,19.81,8.68,116
1918,-42.1,20.02,8.79,116
1917,-38.7,20.22,8.91,116
1916,-35.2,20.43,9.03,116
1915,-34.5,20.63,9.14,116
1914,-35.5,20.83,9.26,116
1913,-38.4,21.03,9.37,116
1912,-37.7,21.22,9.49,116
1911,-35.5,21.44,9.61,116
1910,-35.4,21.65,9.74,126
1909,-33.7,21.87,9.86,126
1908,-32.3,22.08,9.99,126
1907,-32.7,22.29,10.12,126
1906,-36.3,22.5,10.24,126
1905,-37.8,22.71,10.37,126
1904,-37.2,22.92,10.49,125
1903,-34.1,23.13,10.62,126
1902,-35.6,23.34,10.74,126
1901,-35,23.55,10.87,126
1900,-34.2,23.75,10.99,126
1899,-35.9,23.96,11.12,126
1898,-34.7,24.16,11.25,126
1897,-34.2,24.37,11.37,126
1896,-34.4,24.57,11.5,125
1895,-33.7,24.78,11.62,126
1894,-35.2,24.98,11.75,126
1893,-34.3,25.18,11.87,126
1892,-33.8,25.38,12,126
1891,-34.4,25.58,12.12,126
1890,-35.5,25.79,12.25,126
1889,-37.9,25.99,12.38,126
1888,-37.3,26.19,12.5,125
1887,-37.5,26.38,12.63,126
1886,-37.2,26.58,12.75,126
1885,-36.8,26.78,12.88,125
1884,-36.1,26.98,13,126
1883,-36.3,27.17,13.13,126
1882,-34.9,27.37,13.25,126
1881,-33.8,27.57,13.38,126
1880,-34.7,27.76,13.51,126
1879,-36.5,27.96,13.63,126
1878,-37.1,28.15,13.76,126
1877,-36.9,28.35,13.88,125
1876,-35.8,28.54,14.01,126
1875,-35.2,28.73,14.13,126
1874,-34.9,28.93,14.26,126
1873,-34.7,29.12,14.38,126
1872,-35.1,29.31,14.51,126
1871,-34.9,29.5,14.64,126
1870,-36.7,29.69,14.76,126
1869,-36.3,29.88,14.89,125
1868,-36.4,30.07,15.01,126
1867,-36.2,30.26,15.14,126
1866,-36.1,30.45,15.26,125
1865,-36.6,30.64,15.39,126
1864,-35.8,30.83,15.52,126
1863,-36.1,31.02,15.64,126
1862,-37.4,31.2,15.77,126
1861,-36,31.39,15.89,126
1860,-34.6,31.58,16.02,126
1859,-35,31.76,16.14,126
1858,-35.7,31.95,16.27,126
1857,-36.6,32.14,16.39,126
1856,-37.9,32.32,16.52,125
1855,-37.6,32.51,16.65,126
1854,-37.5,32.69,16.77,126
1853,-37,32.88,16.9,126
1852,-36.6,33.06,17.02,126
1851,-35.4,33.24,17.15,126
1850,-35.1,33.43,17.27,126
1849,-35.3,33.61,17.4,126
1848,-35.2,33.79,17.52,125
1847,-34.5,33.97,17.65,126
1846,-33.5,34.16,17.78,126
1845,-34.7,34.34,17.9,125
1844,-35.4,34.52,18.03,126
1843,-36,34.7,18.15,126
1842,-36.1,34.88,18.28,126
1841,-36,35.06,18.4,126
1840,-36,35.24,18.53,125
1839,-35.8,35.42,18.65,126
1838,-36.3,35.6,18.78,126
1837,-35.5,35.78,18.91,125
1836,-37.6,35.96,19.03,126
1835,-39.2,36.14,19.16,126
1834,-39.2,36.32,19.28,126
1833,-39,36.49,19.41,126
1832,-38.6,36.67,19.53,125
1831,-37.2,36.85,19.66,126
1830,-36.4,37.03,19.78,126
1829,-37.6,37.2,19.91,125
1828,-37.7,37.38,20.04,126
1827,-36.5,37.56,20.16,126
1826,-35.2,37.73,20.29,125
1825,-34.9,37.91,20.41,126
1824,-35,38.09,20.54,125
1823,-34.4,38.26,20.66,126
1822,-34,38.44,20.79,126
1821,-36.2,38.61,20.91,125
1820,-38.7,38.79,21.04,126
1819,-38.5,38.96,21.17,126
1818,-37.4,39.13,21.29,125
1817,-36.7,39.31,21.42,126
1816,-36.3,39.48,21.54,125
1815,-37.5,39.67,21.67,126
1814,-37.6,39.85,21.81,132
1813,-37,40.03,21.94,132
1812,-36.5,40.21,22.07,133
1811,-35.3,40.39,22.2,132
1810,-35.6,40.58,22.34,133
1809,-36.2,40.76,22.47,132
1808,-35.6,40.94,22.6,133
1807,-34.7,41.12,22.73,132
1806,-33.1,41.3,22.87,133
1805,-32.6,41.48,23,132
1804,-33.9,41.66,23.13,133
1803,-34.8,41.84,23.26,133
1802,-35.5,42.02,23.4,132
1801,-36.3,42.2,23.53,133
1800,-37.7,42.38,23.66,132
