year (AD),d18O (permil),deuteriumExcess (permil),d18OUncertainty (per mil),d excess stdev (permil)
2011,-33.55,9.9,NA,NA
2010,-30.58,11.41,NA,NA
2009,-33.18,9.52,NA,NA
2008,-33.89215,9.859,0.279802153,0.381
2007,-32.30016667,10.412,0.942508665,0.898
2006,-33.4255,11.018,1.080971295,0.901
2005,-32.57264,10.855,0.643922195,0.979
2004,-32.15166,11.558,0.715989545,0.803
2003,-32.0482,11.543,0.686219925,0.437
2002,-31.0675,10.65,1.134349488,1.054
2001,-31.07345,11.592,0.438067122,1.542
2000,-32.612,11.472,0.323439917,1.265
1999,-33.28745,10.642,0.973703738,0.806
1998,-31.6507,10.933,0.156821108,1.26
1997,-33.219825,11.267,0.726095119,1.383
1996,-34.82585,10.712,0.697195881,0.862
1995,-32.444075,10.817,0.743427192,0.867
1994,-32.4324,11.048,0.660387588,1.147
1993,-32.003075,11.158,1.501099847,0.546
1992,-33.00555,11.269,0.715494004,1.28
1991,-34.978575,10.91,0.765432725,0.887
1990,-33.15205,10.75,1.146686838,1.116
1989,-32.664175,11.139,0.113199481,1.168
1988,-32.196325,12.069,0.410699658,1.094
1987,-33.50255,11.333,0.530609062,0.425
1986,-33.029425,10.991,0.895130454,0.861
1985,-32.29395,11.447,0.899616705,1.596
1984,-34.4985,10.742,0.683306788,1.544
1983,-36.535775,11.444,1.527213367,1.447
1982,-34.93705,9.666,1.914868109,1.533
1981,-32.66295,11.231,1.146394791,1.227
1980,-33.1537,11.293,0.7896125,1.322
1979,-35.3432,10.21,0.783623962,1.169
1978,-34.018025,10.846,0.360856697,1.644
1977,-33.8952,9.337,0.973751457,1.61
1976,-32.887975,11.488,0.309590325,1.05
1975,-32.63675,11.282,0.559760285,1.026
1974,-33.24215,11.284,0.959968592,1.387
1973,-32.53775,11.933,0.045322879,2.662
1972,-33.795,9.695,1.011051169,1.666
1971,-32.33385,10.615,1.311213053,0.62
1970,-34.099775,11.247,0.544398527,1.053
1969,-34.613525,11.055,0.935388716,1.155
1968,-33.506775,11.26,0.680008551,0.972
1967,-33.39585,10.872,0.282098476,1.614
1966,-33.55355,11.305,0.432420894,1.193
1965,-34.193675,10.527,1.106130729,1.123
1964,-33.411675,11.173,0.819872536,0.993
1963,-33.778725,10.454,0.593244061,1.158
1962,-35.306225,11.752,0.866173891,1.149
1961,-33.98825,10.521,1.166609608,0.786
1960,-32.520675,10.585,1.125967623,1.194
1959,-33.863575,10.196,0.449997766,1.161
1958,-33.567975,11.261,2.145281755,0.827
1957,-33.724775,10.883,1.39326747,1.379
1956,-33.5756,11.748,0.245470093,1.063
1955,-33.45625,11.139,0.582965125,0.74
1954,-32.7748,11.705,0.345611641,1.881
1953,-32.67455,10.217,0.411582349,0.88
1952,-32.70245,11.392,0.522744134,0.1
1951,-33.941975,10.164,0.512706754,0.902
1950,-33.097125,10.702,0.636005264,0.664
1949,-34.8481,10.813,0.456141959,1.666
1948,-35.065475,10.654,0.670147483,1.043
1947,-33.899375,9.424,0.765523104,0.728
1946,-32.61455,11.039,0.74474061,0.744
1945,-33.1448,10.463,0.169910035,1.165
1944,-33.4814,9.449,0.327015769,1.304
1943,-33.831275,9.46,0.728720044,2.022
1942,-33.735125,9.7,1.646831889,1.012
1941,-33.9767,9.137,0.852499994,1.462
1940,-34.293175,9.654,0.60666566,1.016
1939,-31.751025,10.561,0.897409592,2.029
1938,-35.273875,9.386,1.181152986,1.101
1937,-34.60795,10.845,1.016279937,0.967
1936,-32.835175,10.735,0.603712798,0.332
1935,-32.53225,10.542,1.315779334,0.33
1934,-33.5347,9.592,1.37402473,1.755
1933,-31.369125,11.613,0.538916384,1.525
1932,-32.48025,10.121,0.451642901,1.677
1931,-32.9642,11.424,1.057254492,1.139
1930,-33.232625,12.184,1.060387103,1.005
1929,-31.1487,10.706,0.7048853,0.792
1928,-29.87285,9.767,1.09987194,0.507
1927,-32.478225,9.719,0.459001993,0.525
1926,-33.734925,9.701,1.71510961,0.957
1925,-34.6584,10.882,1.026414721,1.482
1924,-34.166875,11.805,1.288926107,1.255
1923,-33.1988,11.963,0.534692292,0.22
1922,-34.6589,12.382,1.395826859,2.285
1921,-35.800425,12.418,0.501604481,1.951
1920,-35.3967,11.815,1.528382662,0.696
1919,-33.15886667,13.177,1.698701296,1.382
1918,-33.4288,11.885,0.355796894,1.358
1917,-33.91873333,11.438,0.772774542,1.467
1916,-32.99103333,10.706,0.462158375,1.046
1915,-33.17973333,10.695,1.10832268,1.199
1914,-35.24735,11.174,1.304377626,1.136
1913,-33.764475,11.195,0.694728745,0.535
1912,-31.912325,11.794,1.487220592,1.045
1911,-34.9813,10.159,1.394332234,1.09
1910,-34.513225,10.577,0.598751781,0.851
1909,-32.12495,10.928,0.358502938,0.139
1908,-31.4202,11.048,1.487200388,0.846
1907,-34.399375,10.763,1.322612401,0.168
1906,-35.17965,11.011,2.154738234,0.921
1905,-34.728525,11.467,1.264878433,0.958
1904,-33.121975,11.247,0.959449691,1.024
1903,-32.216225,12.067,0.434218604,0.73
1902,-31.996875,12.063,0.848329658,1.502
1901,-33.61695,10.488,0.687231599,0.997
1900,-31.899325,11.029,0.888847649,0.328
1899,-32.9007,9.933,1.66693339,0.75
1898,-33.243525,10.252,0.495048748,0.649
1897,-33.78095,10.024,0.634417951,0.832
1896,-34.0587,9.727,1.702176303,2.088
1895,-33.362025,10.691,0.971862584,0.492
1894,-33.70335,11.299,0.96583163,0.597
1893,-32.2791,9.986,0.904500735,1.076
1892,-30.91765,10.387,1.239840542,1.154
1891,-31.484225,10.161,0.877166276,0.167
1890,-32.8782,10.881,1.665345796,0.388
1889,-33.8298,10.245,0.936835806,2.135
1888,-33.94275,10.622,0.658894815,1.253
1887,-35.106875,10.815,1.531241813,0.397
1886,-34.295125,11.101,1.068033743,0.685
1885,-34.73345,10.998,1.477014054,1.628
1884,-34.7787,9.334,0.971150496,1.14
1883,-32.582525,10.486,0.869803546,0.731
1882,-31.97005,11.547,0.700909702,1.041
1881,-32.427675,10.058,0.919539419,1.01
1880,-32.0574,10.579,1.172455415,0.802
1879,-32.724175,10.558,0.558176008,0.712
1878,-31.907775,11.63,0.26882013,1.239
1877,-32.28685,11.143,0.536413898,1.286
1876,-33.749925,11.376,0.971157064,0.593
1875,-34.54335,10.297,0.497069375,0.868
1874,-33.55485,11.196,0.376685638,0.771
1873,-35.238975,8.889,1.74394758,1.016
1872,-32.448,10.234,0.997446603,0.325
1871,-31.2875,10.366,0.617974439,1.371
1870,-33.051975,10.248,0.995121019,2.095
1869,-35.319175,10.788,0.465312486,1.96
1868,-34.872325,10.923,0.212677101,2.376
1867,-33.52705,10.555,0.509630785,2.014
1866,-33.736375,10.929,0.783291331,0.765
1865,-33.930875,9.795,0.886856469,0.637
1864,-33.485,9.963,1.142819612,0.644
1863,-33.94075,10.406,0.440334309,1.025
1862,-34.154425,11.41,0.359556527,0.789
1861,-34.303225,11.171,0.577482366,0.458
1860,-34.539875,11.757,0.639712677,0.354
1859,-34.136175,12.094,0.697337371,0.428
1858,-34.54435,11.951,0.965068265,0.818
1857,-33.604575,11.706,1.063075994,0.205
1856,-34.02375,10.7,0.812551953,0.37
1855,-35.541,10.088,0.495901032,1.074
1854,-35.6706,10.628,1.124655927,0.908
1853,-32.578075,11.401,0.654123956,1.657
1852,-32.502675,10.669,0.84898101,1.421
1851,-33.9315,11.95,0.440527525,NA
1850,-34.1187,11.622,1.305460539,NA
1849,-34.1555,12.47,1.817971534,NA
1848,-35.162,11.4,0.785312791,NA
1847,-34.53025,10.66,1.23779042,NA
1846,-34.13855,9.844,0.56207918,NA
1845,-34.2678,9.944,0.68193378,NA
1844,-34.1189,10.109,0.022061732,NA
1843,-33.6191,11.677,0.383110454,NA
1842,-35.6952,9.133,0.677691139,NA
1841,-35.9523,8.614,2.566514773,NA
1840,-35.08365,9.35,1.485419215,NA
