year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],d18O (per mil) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],Mg_Ca (mmol/mol) [2-1],year (AD) [3-1],depth (cm) [3-1],dD (permil) [3-1]
1590,14.5,25.26,-0.28,-2.37,3.43,1590,14.5,25.26,3.43,1710,10,-209.6
1550,16.5,25.56,-0.32,-2.48,3.53,1550,16.5,25.56,3.53,1480,20,-204.6
1520,18.5,26.02,0.1,-2.15,3.68,1520,18.5,26.02,3.68,950,50,-200.3
1480,20.5,26.03,-0.04,-2.29,3.68,1480,20.5,26.03,3.68,780,60,-200.7
1440,22.5,24.79,-0.48,-2.47,3.29,1440,22.5,24.79,3.29,440,80,-202
1410,24.5,25.08,-0.14,-2.19,3.38,1410,24.5,25.08,3.38,-60,110,-198.6
1370,26.5,25.31,-0.25,-2.36,3.45,1370,26.5,25.31,3.45,-390,130,-203.5
1340,28.5,25.63,-0.13,-2.3,3.55,1340,28.5,25.63,3.55,-720,150,-196
1300,30.5,25.95,-0.04,-2.28,3.65,1300,30.5,25.95,3.65,-890,160,-198.5
1270,32.5,25.36,-0.03,-2.15,3.46,1270,32.5,25.36,3.46,-1220,180,-196.6
1230,34.5,25.23,-0.23,-2.32,3.43,1230,34.5,25.23,3.43,-1550,200,-201.3
1200,36.5,25.63,-0.05,-2.22,3.55,1200,36.5,25.63,3.55,-1721,210,-199.6
1160,38.5,24.57,-0.34,-2.28,3.23,1160,38.5,24.57,3.23,-2061,230,-197.8
1130,40.5,26.07,-0.08,-2.34,3.69,1130,40.5,26.07,3.69,-2406,250,-199
1090,42.5,25.76,-0.15,-2.35,3.59,1090,42.5,25.76,3.59,-2582,260,-200.4
1060,44.5,25.47,-0.1,-2.23,3.5,1060,44.5,25.47,3.5,-3120,290,-202.5
1020,46.5,26.06,0,-2.26,3.69,1020,46.5,26.06,3.69,-3681,320,-200.4
990,48.5,25.57,-0.09,-2.24,3.53,990,48.5,25.57,3.53,-4069,340,-203.8
950,50.5,25.49,-0.04,-2.18,3.51,950,50.5,25.49,3.51,-4470,360,-196.5
920,52.5,25.8,-0.14,-2.34,3.61,920,52.5,25.8,3.61,-4886,380,-201.5
880,54.5,25.6,-0.18,-2.34,3.54,880,54.5,25.6,3.54,-5318,400,-201.5
850,56.5,25.31,-0.21,-2.31,3.45,850,56.5,25.31,3.45,-5540,410,-201.1
820,58.5,26.04,-0.02,-2.28,3.68,820,58.5,26.04,3.68,-5998,430,-204.4
780,60.5,25.31,-0.17,-2.28,3.45,780,60.5,25.31,3.45,-6476,450,-204.5
750,62.5,25.89,-0.01,-2.24,3.63,750,62.5,25.89,3.63,-6722,460,-208.1
710,64.5,25.85,0,-2.22,3.62,710,64.5,25.85,3.62,-7494,490,-198.7
680,66.5,26.22,-0.11,-2.4,3.74,680,66.5,26.22,3.74,-8037,510,-202.7
640,68.5,25.3,-0.23,-2.33,3.45,640,68.5,25.3,3.45,-8320,520,-207.7
610,70.5,25.54,0.03,-2.12,3.52,610,70.5,25.54,3.52,NA,NA,NA
580,72.5,25.85,-0.01,-2.23,3.62,580,72.5,25.85,3.62,NA,NA,NA
540,74.5,26.33,0.29,-2.03,3.78,540,74.5,26.33,3.78,NA,NA,NA
510,76.5,26.62,0.2,-2.18,3.88,510,76.5,26.62,3.88,NA,NA,NA
480,78.5,26.19,0.1,-2.19,3.73,480,78.5,26.19,3.73,NA,NA,NA
440,80.5,26.43,0.05,-2.29,3.82,440,80.5,26.43,3.82,NA,NA,NA
410,82.5,27.2,0.16,-2.33,4.09,410,82.5,27.2,4.09,NA,NA,NA
370,84.5,25.27,-0.21,-2.3,3.44,370,84.5,25.27,3.44,NA,NA,NA
340,86.5,26.82,-0.01,-2.42,3.95,340,86.5,26.82,3.95,NA,NA,NA
310,88.5,26.62,0.13,-2.24,3.88,310,88.5,26.62,3.88,NA,NA,NA
270,90.5,26.41,-0.05,-2.38,3.81,270,90.5,26.41,3.81,NA,NA,NA
240,92.5,NA,NA,-2.3,NA,240,92.5,NA,NA,NA,NA,NA
210,94.5,26.02,-0.06,-2.31,3.68,210,94.5,26.02,3.68,NA,NA,NA
170,96.5,25.91,-0.03,-2.26,3.64,170,96.5,25.91,3.64,NA,NA,NA
140,98.5,26.15,0.33,-1.95,3.72,140,98.5,26.15,3.72,NA,NA,NA
110,100.5,26.16,0.19,-2.09,3.72,110,100.5,26.16,3.72,NA,NA,NA
70,102.5,26.71,0.18,-2.21,3.91,70,102.5,26.71,3.91,NA,NA,NA
40,104.5,26.24,0.02,-2.28,3.75,40,104.5,26.24,3.75,NA,NA,NA
10,106.5,25.79,0,-2.2,3.6,10,106.5,25.79,3.6,NA,NA,NA
-30,108.5,26.03,-0.1,-2.35,3.68,-30,108.5,26.03,3.68,NA,NA,NA
-60,110.5,26.34,0.06,-2.26,3.78,NA,NA,NA,NA,NA,NA,NA
-90,112.5,26.9,0.2,-2.23,3.98,NA,NA,NA,NA,NA,NA,NA
-130,114.5,27.03,0.09,-2.37,4.03,NA,NA,NA,NA,NA,NA,NA
-160,116.5,26.67,0.04,-2.34,3.9,NA,NA,NA,NA,NA,NA,NA
-190,118.5,26.58,0.23,-2.14,3.87,NA,NA,NA,NA,NA,NA,NA
-230,120.5,27.52,0.31,-2.25,4.21,NA,NA,NA,NA,NA,NA,NA
-260,122.5,26.71,0,-2.39,3.91,NA,NA,NA,NA,NA,NA,NA
-290,124.5,26.45,-0.04,-2.38,3.82,NA,NA,NA,NA,NA,NA,NA
-330,126.5,26.78,0.11,-2.3,3.94,NA,NA,NA,NA,NA,NA,NA
-360,128.5,26.2,0.09,-2.2,3.74,NA,NA,NA,NA,NA,NA,NA
-390,130.5,26.99,0.26,-2.19,4.01,NA,NA,NA,NA,NA,NA,NA
-430,132.5,25.12,-0.62,-2.68,3.39,NA,NA,NA,NA,NA,NA,NA
-460,134.5,25.67,-0.23,-2.41,3.56,NA,NA,NA,NA,NA,NA,NA
-490,136.5,26.29,0.11,-2.2,3.77,NA,NA,NA,NA,NA,NA,NA
-520,138.5,26.13,-0.03,-2.3,3.71,NA,NA,NA,NA,NA,NA,NA
-560,140.5,25.57,0.03,-2.13,3.53,NA,NA,NA,NA,NA,NA,NA
-590,142.5,26.36,0.19,-2.13,3.79,NA,NA,NA,NA,NA,NA,NA
-620,144.5,26.3,0.12,-2.19,3.77,NA,NA,NA,NA,NA,NA,NA
-660,146.5,26.07,-0.24,-2.5,3.69,NA,NA,NA,NA,NA,NA,NA
-690,148.5,27.7,0.21,-2.39,4.28,NA,NA,NA,NA,NA,NA,NA
-720,150.5,27.63,0.28,-2.3,4.25,NA,NA,NA,NA,NA,NA,NA
-760,152.5,25.38,-0.11,-2.22,3.47,NA,NA,NA,NA,NA,NA,NA
-790,154.5,25.86,-0.15,-2.37,3.62,NA,NA,NA,NA,NA,NA,NA
-820,156.5,24.77,-0.24,-2.23,3.29,NA,NA,NA,NA,NA,NA,NA
-850,158.5,26.49,0.15,-2.2,3.84,NA,NA,NA,NA,NA,NA,NA
-890,160.5,26.41,-0.13,-2.46,3.81,NA,NA,NA,NA,NA,NA,NA
-920,162.5,26.43,-0.01,-2.34,3.81,NA,NA,NA,NA,NA,NA,NA
-950,164.5,27.82,0.27,-2.35,4.33,NA,NA,NA,NA,NA,NA,NA
-990,166.5,26.62,0.02,-2.36,3.88,NA,NA,NA,NA,NA,NA,NA
-1020,168.5,26.46,-0.41,-2.75,3.83,NA,NA,NA,NA,NA,NA,NA
-1050,170.5,25.67,-0.19,-2.37,3.56,NA,NA,NA,NA,NA,NA,NA
-1090,172.5,26.45,-0.05,-2.39,3.82,NA,NA,NA,NA,NA,NA,NA
-1120,174.5,26.42,0.1,-2.23,3.81,NA,NA,NA,NA,NA,NA,NA
-1150,176.5,25.77,-0.08,-2.28,3.6,NA,NA,NA,NA,NA,NA,NA
-1190,178.5,25.99,-0.38,-2.62,3.67,NA,NA,NA,NA,NA,NA,NA
-1220,180.5,26.24,0.07,-2.22,3.75,NA,NA,NA,NA,NA,NA,NA
-1250,182.5,26.58,0.24,-2.13,3.87,NA,NA,NA,NA,NA,NA,NA
-1290,184.5,26.47,NA,NA,3.83,NA,NA,NA,NA,NA,NA,NA
-1320,186.5,25.94,0.03,-2.2,3.65,NA,NA,NA,NA,NA,NA,NA
-1350,188.5,26.58,-0.02,-2.39,3.87,NA,NA,NA,NA,NA,NA,NA
-1390,190.5,26.35,-0.07,-2.39,3.79,NA,NA,NA,NA,NA,NA,NA
-1420,192.5,25.85,-0.28,-2.49,3.62,NA,NA,NA,NA,NA,NA,NA
-1450,194.5,26.18,NA,NA,3.73,NA,NA,NA,NA,NA,NA,NA
-1490,196.5,26.01,-0.21,-2.45,3.67,NA,NA,NA,NA,NA,NA,NA
-1520,198.5,26.13,-0.37,-2.64,3.72,NA,NA,NA,NA,NA,NA,NA
-1550,200.5,26.54,-0.1,-2.46,3.86,NA,NA,NA,NA,NA,NA,NA
-1590,202.5,26.83,-0.04,-2.46,3.95,NA,NA,NA,NA,NA,NA,NA
-1620,204.5,27.33,-0.05,-2.57,4.14,NA,NA,NA,NA,NA,NA,NA
-1650,206.5,27.47,-0.15,-2.7,4.19,NA,NA,NA,NA,NA,NA,NA
-1690,208.5,26.8,0,-2.41,3.94,NA,NA,NA,NA,NA,NA,NA
-1720,210.5,26.38,-0.12,-2.45,3.8,NA,NA,NA,NA,NA,NA,NA
-1750,212.5,26.96,0.08,-2.36,4,NA,NA,NA,NA,NA,NA,NA
-1790,214.5,25.68,-0.35,-2.53,3.57,NA,NA,NA,NA,NA,NA,NA
