year (AD),d18O (permil),dD (permil)
2006,-16.43760818,-117.2641881
2005,-16.29762875,-116.3178199
2004,-16.64136296,-118.5626966
2003,-17.34429796,-127.6107547
2002,-17.34121761,-131.6585719
2001,-16.76205884,-117.614986
2000,-17.93858537,-133.6679872
1999,-15.89389022,-119.7502117
1998,-17.37748852,-120.6861802
1997,-18.13396165,-132.5570993
1996,-14.40578828,-98.2824594
1995,-17.08907355,-126.3728441
1994,-18.81549423,-136.8694569
1993,-17.79397986,-122.3937653
1992,-15.9578341,-117.238442
1991,-19.28560715,-145.2479969
1990,-17.56526105,-123.9186863
1989,-17.65093969,-127.3894936
1988,-15.39562674,-112.297347
1987,-18.88013031,-142.8290228
1986,-18.20131125,-132.3163026
1985,-17.72222878,-129.930079
1984,-20.0927013,-148.0025784
1983,-17.66874685,-127.0333795
1982,-17.0751501,-127.6937532
1981,-17.00329675,-122.5024284
1980,-17.97924084,-124.9934704
1979,-19.44132935,-143.0648784
1978,-21.99605357,-160.5546508
1977,-19.84948678,-144.5951724
1976,-20.02423554,-148.4981367
1975,-20.09443134,-145.6238732
1974,-19.28922448,-144.1346304
1973,-18.92326718,-135.001034
1972,-17.45631668,-117.675025
1971,-16.8919069,-135.2124872
1970,-16.7570285,-116.9899413
1969,-16.47536799,-127.0607197
1968,-18.19982051,-134.0442269
1967,-15.49308047,-110.8402178
1966,-14.73653379,-109.1377726
1965,-15.94303584,-115.3726379
1964,-16.0369535,-112.9975621
1963,-15.28163075,-110.4881705
1962,-13.19320411,-94.8068156
1961,-15.80658987,-109.4475499
1960,-13.35225672,-87.16062813
1959,-16.10975071,-114.3831429
1958,-14.11392125,-97.68616567
1957,-16.34252001,-120.9066651
1956,-18.72014912,-146.4368798
1955,-16.00796637,-117.7477501
1954,-16.86832991,-123.799231
1953,-17.22975554,-127.4168021
1952,-18.99074651,-140.2906856
1951,-17.82091429,-130.7349845
1950,-14.68185325,-98.07194053
1949,-17.03883185,-125.1140384
1948,-17.37796357,-126.6829771
1947,-17.77588843,-131.6734201
1946,-17.83860737,-128.9944009
1945,-17.99122073,-132.5614506
1944,-18.90100066,-137.607703
1943,-20.02787995,-149.3923003
1942,-18.64466813,-133.6521929
1941,-18.12569667,-133.7980776
1940,-15.93737412,-123.9389883
1939,-15.47749843,-109.7406783
1938,-18.38417546,-135.4014519
1937,-18.70220532,-133.9767015
1936,-19.34044528,-143.8048296
1935,-18.26071206,-138.4793896
1934,-16.03959666,-118.8971614
1933,-17.29392832,-129.833012
1932,-19.09105937,-142.4687208
1931,-16.48386296,-123.5788424
1930,-17.49444822,-131.3639912
1929,-17.3719947,-132.6671976
1928,-15.59870283,-119.1349832
1927,-17.65037919,-120.2127912
1926,-16.85979796,-126.3516328
1925,-19.98035081,-148.5123165
1924,-20.51099247,-150.030676
1923,-19.02057293,-138.0299175
1922,-16.77191357,-123.2132254
1921,-16.87795321,-127.099025
1920,-16.61858488,-114.5484968
1919,-15.89225283,-114.3765446
1918,-15.72214511,-113.5773972
1917,-14.16331622,-99.596184
1916,-15.26985541,-109.3567287
1915,-13.64289119,-101.863853
1914,-16.23607609,-123.210872
1913,-14.09875945,-97.575622
1912,-14.78133584,-107.3583696
1911,-14.3903079,-99.4980136
1910,-16.62773492,-127.5520741
1909,-19.4450874,-144.4863978
1908,-18.00062553,-133.9830924
1907,-16.54673719,-121.0731128
1906,-15.23944052,-114.5836271
1905,-16.09475698,-118.8964958
1904,-16.18944631,-122.9731897
1903,-16.23958576,-115.3096734
1902,-15.38004052,-113.1012783
1901,-15.84378774,-119.2835173
1900,-16.27134615,-115.3395358
1899,-16.10330198,-122.3092912
1898,-18.05668339,-136.375788
1897,-14.83750735,-106.7575278
1896,-15.00916762,-108.4907037
1895,-17.94484931,-137.4050668
1894,-15.48577123,-114.0146431
1893,-14.39822914,-102.9396568
1892,-14.8597129,-107.0319814
1891,-15.58336365,-110.2625864
1890,-15.66497076,-109.918101
1889,-16.65904353,-121.8942827
1888,-16.76229578,-120.7531959
1887,-16.95502317,-126.4547498
1886,-15.65411823,-115.6967508
1885,-15.98902895,-115.6687466
1884,-15.79275966,-111.5163648
1883,-16.17004181,-122.1802292
1882,-15.97687781,-114.9035234
1881,-15.28311278,-112.3176898
1880,-15.43626947,-109.1650242
1879,-14.33322824,-109.3493061
1878,-15.72841244,-111.4623213
1877,-15.27038675,-106.7563177
1876,-15.55197369,-116.1327964
1875,-15.40282987,-109.7522162
1874,-15.71808021,-116.3276956
1873,-14.78846647,-106.0421949
1872,-15.4859977,-116.4796222
1871,-14.86915508,-106.5448385
1870,-16.79852232,-128.0057444
1869,-15.84209869,-115.144089
1868,-16.89900886,-122.6883122
1867,-17.61182955,-131.2719978
1866,-15.36251768,-113.4575004
1865,-14.96699575,-109.2974514
1864,-15.74440458,-112.1997915
