year (AD),depth (cm),d18O (permil),d18O (permil)
1970,NA,-33.99,-30.71
1969,NA,-32,-31.89
1968,NA,-35.83,-28.53
1967,NA,-33.99,-28.53
1966,NA,-34.1,-30.92
1965,NA,-33.07,-30.22
1964,NA,-34.68,-29.42
1963,NA,-33.39,-29.42
1962,NA,-36.15,-30.89
1961,NA,-34.86,-28.08
1960,NA,-35.19,-31.14
1959,NA,-36.16,-28.19
1958,NA,-35.96,-29.71
1957,NA,-37.51,-31.02
1956,NA,-36.34,-31.04
1955,NA,-38.67,-31.7
1954,NA,-36.68,-30.48
1953,NA,-31.82,-30.78
1952,NA,-33.27,-27.03
1951,NA,-35.61,-31.61
1950,NA,-39.44,-26.91
1949,NA,-38.15,-32.41
1948,NA,-35.76,-31.91
1947,NA,-33.04,-31.72
1946,NA,-33.87,-29.19
1945,NA,-35.35,-28.42
1944,NA,-35.71,-32.67
1943,NA,-35.99,-32.76
1942,NA,-34.95,-31.02
1941,NA,-36.5,-30.76
1940,NA,-32.73,-29.64
1939,NA,-35.26,-27.73
1938,NA,-34.25,-30.94
1937,NA,-34.6,-31.21
1936,NA,-34.43,-29.83
1935,NA,-37.54,-29.1
1934,NA,-33.41,-29.07
1933,NA,-33.65,-28.76
1932,NA,-34.47,-27.91
1931,NA,-34.45,-26.64
1930,NA,-36.36,-27.05
1929,NA,-36.03,-30.09
1928,NA,-37.77,-27.32
1927,NA,-36.48,-30.51
1926,NA,-35.03,-30.61
1925,NA,-38.12,-30.26
1924,NA,-36.72,-33.23
1923,NA,-33.53,-31.88
1922,NA,-37.48,-31.41
1921,NA,-35.22,-32.13
1920,NA,-38.32,-29.96
1919,NA,-35.91,-28.4
1918,NA,-38.17,-31.59
1917,NA,-33.02,-31.26
1916,NA,-34.78,-25.79
1915,NA,-37.3,-29.99
1914,NA,-38.73,-31.36
1913,NA,-35.26,-33.16
1912,NA,-36.82,-28.52
1911,NA,-35.56,-31.76
1910,NA,-36.62,-31.22
1909,NA,-33.78,-29.19
1908,NA,-34.94,-26.94
1907,NA,-37.96,-30.81
1906,NA,-38.58,-29.39
1905,NA,-35.54,-29.65
1904,NA,-33.8,-30.1
1903,NA,-36.06,-30.28
1902,NA,-32.2,-27.38
1901,NA,-31.99,-30.99
1900,NA,-36.97,-31.49
1899,NA,-36.61,-31.17
1898,NA,-36.78,-28.03
1897,NA,-34.28,-29.22
1896,NA,-34.87,-30.76
1895,NA,-33.45,-30.72
1894,NA,-34.9,-28.44
1893,NA,-34.91,-30.38
1892,NA,-36.4,-31.26
1891,NA,-36.12,-30.06
1890,NA,-37.52,-30.85
1889,NA,-35.9,-29.06
1888,NA,-33.9,-29.67
1887,NA,-37.04,-31.15
1886,NA,-38.31,-30.24
1885,NA,-36.81,-29.78
1884,NA,-35.51,-30.11
1883,NA,-39.26,-30.88
1882,NA,-36.29,-32.28
1881,NA,-34.17,-31.12
1880,NA,-33.99,-29.78
1879,NA,-32.81,-30.19
1878,NA,-35.72,-31.46
1877,NA,-35.82,-26.85
1876,NA,-34.86,-28.15
1875,NA,-36.35,-31.39
1874,NA,-37.99,-32.35
1873,NA,-33.77,-30.39
1872,NA,-32.66,-29.23
1871,NA,-34.76,-28.13
1870,NA,-36.99,-28.77
1869,NA,-37.3,-29.83
1868,NA,-36.2,-32.28
1867,NA,-36.27,-31.85
1866,NA,-38.98,-33.54
1865,NA,-34.04,-32.03
1864,NA,-41.73,-31.13
1863,NA,-38.29,-26.23
1862,NA,-35.35,-32.01
1861,NA,-35.93,-30.02
1860,NA,-38.22,-30.61
1859,NA,-36.57,-30.54
1858,NA,-34.74,-32.54
1857,NA,-33.69,-28.15
1856,NA,-33.97,-31.32
1855,NA,-36.15,-31.61
1854,NA,-33.76,-29.87
1853,NA,-33.09,-29.09
1852,NA,-32.13,-29.71
1851,NA,-33.58,-30.89
1850,NA,-36.57,-29.85
1849,NA,-35.48,-31.27
1848,NA,-36.72,-30.95
1847,NA,-34.26,-29.26
1846,NA,-36.48,-31.45
1845,NA,-37.7,-28.79
1844,NA,-36.82,-30.35
1843,NA,-34.86,-29.38
1842,NA,-36.98,-29.41
1841,NA,-32.42,-27.44
1840,NA,-36.22,-30.85
1839,NA,-35.65,-29.96
1838,NA,-33.33,-28.93
1837,NA,-37.43,-28.93
1836,NA,-36.31,-32.41
1835,NA,-38.55,-32.17
1834,NA,-38.39,-28.57
1833,NA,-34.83,-27.3
1832,NA,-36.08,-30.15
1831,NA,-33.66,-30.21
1830,NA,-32.24,-30.52
1829,NA,-35.43,-29.66
1828,NA,-33.07,-29.4
1827,NA,-33.91,-30.02
1826,NA,-36.34,-31.08
1825,NA,-37.81,-27.28
1824,NA,-35.01,-31.82
1823,NA,-31.32,-30.49
1822,NA,-37.37,-27.99
1821,NA,-35.99,-31.17
1820,NA,-34.18,-28.1
1819,NA,-34.8,-29.69
1818,NA,-35.42,-32.12
1817,NA,-40,-31.51
1816,NA,-34.91,-29.62
1815,NA,-35.12,-28.73
1814,NA,-38.33,-30.7
1813,NA,-37.92,-28.35
1812,NA,-37.28,-30.27
1811,NA,-36.59,-31.29
1810,NA,-38.16,-28.46
1809,NA,-35.2,-32.18
1808,NA,-34.63,-30.43
1807,NA,-35.14,-30.6
1806,NA,-34.3,-28.36
1805,NA,-36.2,-27.62
1804,NA,-34.22,-31.17
1803,NA,-39.17,-31.92
1802,NA,-36.36,-33.82
1801,NA,-36.4,-26.6
1800,NA,-32.77,-30.53
1799,NA,-35.66,-30.85
1798,NA,-35.84,-32.51
1797,NA,-34.31,-26.97
1796,NA,-44.24,-30.29
1795,NA,-35.21,-30.73
1794,NA,-36.57,-29.33
1793,NA,-36.02,-32.6
1792,NA,-34.6,-29.43
1791,NA,-37.14,-28.47
1790,NA,-38.86,-31.65
1789,NA,-35.12,-29.37
1788,NA,-33.96,-31.31
1787,NA,-33.86,-30.57
1786,NA,-31.57,-29.57
1785,NA,-33.59,-30.28
1784,NA,-33.81,-29.88
1783,NA,-37.96,-27.92
1782,NA,-33.74,-29.56
1781,NA,-35.29,-30.23
1780,NA,-33.78,-32.34
1779,NA,-37.4,-32.27
1778,NA,-35.17,-31.95
