year (AD),depth (cm),d18O (permil)
2004,0,0.29
1992,1,-0.75
1981,2,0.36
1970,3,-0.03
1959,4,1.29
1947,5,1.65
1936,6,1.81
1926,7,0.01
1915,8,1.35
1904,9,0.26
1894,10,1.8
1883,11,1.42
1873,12,0.55
1863,13,-0.22
1853,14,0.86
1843,15,0.61
1824,17,0.27
1814,18,0.68
1804,19,0.31
1795,20,1.32
1786,21,0.16
1776,22,0.43
1767,23,-0.9
1758,24,-0.61
1749,25,-0.36
1741,26,0.31
1732,27,0.05
1723,28,-0.72
1715,29,-0.09
1706,30,-0.33
1698,31,-0.88
1690,32,0.11
1681,33,0.55
1677,33.5,-0.71
1673,34,-0.25
1665,35,-0.91
1661,35.5,0.02
1657,36,-0.68
1653,36.5,-0.47
1650,37,-0.12
1646,37.5,-1.06
1642,38,-0.15
1638,38.5,-0.76
1634,39,-0.87
1630,39.5,-0.18
1626,40,-0.59
1623,40.5,-0.02
1619,41,-0.23
1615,41.5,-1.46
1611,42,-1.29
1608,42.5,-0.37
1604,43,0.04
1600,43.5,0.37
1597,44,-1.09
1593,44.5,-1.83
1590,45,-1.57
1586,45.5,-0.13
1582,46,-0.57
1579,46.5,-0.31
1572,47.5,-0.16
1568,48,-0.28
1565,48.5,-0.87
1561,49,-0.82
1551,50.5,-0.09
1548,51,-0.19
1544,51.5,-1.37
1541,52,-1.52
1534,53,-1.78
1531,53.5,-1.8
1521,55,-1.98
1518,55.5,-1.16
1514,56,-1.06
1489,60,-1.24
1486,60.5,-0.67
1483,61,-1.67
1458,65,-1.69
1455,65.5,-1.34
1452,66,-1.25
1446,67,-1.41
1443,67.5,-1.71
1440,68,-1.83
1437,68.5,-1.29
1432,69.5,-1.19
1429,70,-1.39
1426,70.5,-0.72
1423,71,-0.56
1420,71.5,-0.84
1417,72,-0.78
1414,72.5,-0.53
1411,73,-0.18
1409,73.5,-0.4
1406,74,-0.54
1403,74.5,-0.58
1400,75,-0.8
1397,75.5,-0.18
1395,76,-0.4
1392,76.5,-0.48
1389,77,0.04
1386,77.5,-0.86
1383,78,-0.73
1381,78.5,-1.21
1378,79,-0.17
1375,79.5,-0.63
1372,80,-0.58
1370,80.5,-0.37
1367,81,-0.17
1364,81.5,-0.63
1362,82,-0.99
1359,82.5,-0.45
1356,83,-1.02
1354,83.5,-0.84
1351,84,-0.37
1348,84.5,-0.9
1346,85,-0.18
1343,85.5,-0.49
1340,86,-0.91
1338,86.5,-1.17
1335,87,-0.84
1332,87.5,-0.99
1330,88,-0.54
1327,88.5,-0.13
1325,89,-1.16
1322,89.5,-0.13
1319,90,-0.86
1317,90.5,-0.43
1314,91,-0.5
1311,91.5,-0.65
1309,92,-1.07
1304,93,-0.95
1301,93.5,-0.8
1299,94,-0.26
1293,95,-0.81
1291,95.5,-0.76
1288,96,-0.07
1268,100,-1.62
1265,100.5,-1.34
1263,101,-1.54
1242,105,-2.83
1240,105.5,-1.94
1237,106,-1.56
1217,110,-2.15
1214,110.5,-1.9
1212,111,-2.17
1191,115,-1.92
1189,115.5,-2.75
1186,116,-1.95
1168,119.5,-2.27
1165,120,-1.74
1163,120.5,-1.76
1160,121,-1.73
1157,121.5,-1.88
1155,122,-2.68
1152,122.5,-2.6
1149,123,-2.15
1147,123.5,-1.97
1144,124,-2.12
1141,124.5,-2.29
1139,125,-1.71
1136,125.5,-1.73
1133,126,-2.08
1131,126.5,-1.97
1128,127,-1.95
1125,127.5,-2.49
1123,128,-1.95
1120,128.5,-2.11
1117,129,-2.33
1114,129.5,-2.22
1112,130,-1.83
1109,130.5,-1.9
1106,131,-1.51
1103,131.5,-3.46
1101,132,-2.86
1098,132.5,-2.22
1095,133,-1.62
1092,133.5,-2.38
1089,134,-1.77
1084,135,-2
1081,135.5,-1.75
1078,136,-1.71
1075,136.5,-2.26
1072,137,-1.82
1070,137.5,-1.71
1067,138,-1.72
1064,138.5,-2.25
1061,139,-1.82
1058,139.5,-1.82
1055,140,-1.31
1052,140.5,-0.66
1049,141,-0.56
1046,141.5,-1.5
1043,142,-2.09
1040,142.5,-1.13
1037,143,-1.33
1034,143.5,-1.06
1031,144,-1.29
1028,144.5,-1.01
1025,145,-1.12
1019,146,-1.23
1019,146,-1.54
1013,147,-1.31
1010,147.5,-2.11
1007,148,-1.41
