year (AD),depth (m),d18O (permil)
1999,NA,-11.13746228
1998,NA,-11.21865374
1997,NA,-12.03388639
1996,NA,-12.71005183
1995,NA,-10.83606565
1994,NA,-12.62695305
1993,NA,-13.17312113
1992,NA,-13.85064083
1991,NA,-11.96269621
1990,NA,-11.75557446
1989,NA,-10.69764519
1988,NA,-11.61180911
1987,NA,-13.26857073
1986,NA,-13.6244946
1985,NA,-12.89258362
1984,NA,-13.72858337
1983,NA,-12.56202287
1982,NA,-12.7839731
1981,NA,-13.69639285
1980,NA,-11.96491056
1979,NA,-13.68648579
1978,NA,-11.27844957
1977,NA,-13.90974
1976,NA,-8.230509974
1975,NA,-10.03283399
1974,NA,-10.54143358
1973,NA,-9.667814159
1972,NA,-7.175128997
1971,NA,-9.131223668
1970,NA,-8.945375441
1969,NA,-11.0611078
1968,NA,-12.58204687
1967,NA,-10.13341375
1966,NA,-9.260658304
1965,NA,-12.36209966
1964,NA,-12.91742282
1963,NA,-12.13023544
1962,NA,-10.46605616
1961,NA,-10.47153482
1960,NA,-11.11039204
1959,NA,-10.654
1958,NA,-9.478
1957,NA,-10.914
1956,NA,-10.383
1955,NA,-9.338
1954,NA,-9.937
1953,NA,-9.492
1952,NA,-9.452
1951,NA,-9.655
1950,NA,-11.759
1949,NA,-12.766
1948,NA,-12.90962648
1947,NA,-12.37619948
1946,NA,-11.77021503
1945,NA,-11.71545544
1944,NA,-14.67482471
1943,NA,-11.31044658
1942,NA,-10.60169241
1941,NA,-10.61507225
1940,NA,-10.29662323
1939,NA,-10.38627879
1938,NA,-11.36487026
1937,NA,-9.803424835
1936,NA,-9.42458725
1935,NA,-11.54008007
1934,NA,-13.06477585
1933,NA,-12.02271811
1932,NA,-15.06512666
1931,NA,-13.32035796
1930,NA,-12.85449823
1929,NA,-14.66082827
1928,NA,-15.40780354
1927,NA,-14.28897619
1926,NA,-12.65439873
1925,NA,-14.15071464
1924,NA,-12.87987677
1923,NA,-12.60740995
1922,NA,-12.60313002
1921,NA,-12.53256702
1920,NA,-11.55280733
1919,NA,-12.28649664
1918,NA,-13.31434218
1917,NA,-12.63797983
1916,NA,-12.66792893
1915,NA,-13.26908112
1914,NA,-12.75114139
1913,NA,-14.08874788
1912,NA,-13.38536237
1911,NA,-12.78310259
1910,NA,-13.06369339
1909,NA,-14.39629648
1908,NA,-14.22045787
1907,NA,-15.23295683
1906,NA,-14.08517173
1905,NA,-12.40757404
1904,NA,-12.51109038
1903,NA,-14.10736943
1902,NA,-15.67375557
1901,NA,-15.98314811
1900,NA,-14.27302623
1899,NA,-13.23499838
1898,NA,-12.63758615
1897,NA,-16.43868005
1896,NA,-17.29053254
1895,NA,-18.26965646
1894,NA,-22.09974238
1893,NA,-21.08028423
1892,NA,-16.52384542
1891,NA,-13.93523526
1890,NA,-12.82967132
1889,NA,-14.73262507
1888,NA,-16.69240767
1887,NA,-14.90850689
1886,NA,-14.15470612
1885,NA,-14.53415478
