year (ad),d18O Liriodendron (permil),d18O Quercus rubra (permil)
1950,27.91,29.93
1951,28.3,29.5
1952,27.66,29.82
1953,28.35,31.43
1954,27.94,29.35
1955,28.16,29.22
1956,28.12,29.58
1957,29.55,29.81
1958,27.54,28.61
1959,27.27,28.63
1960,27.31,29.75
1961,27.1,28.94
1962,27.97,29.59
1963,28.28,28.95
1964,28.42,30.18
1965,28.59,30.99
1966,28.45,30.32
1967,27.67,28.64
1968,28.42,29.16
1969,27.33,28.44
1970,28.91,29.33
1971,27.95,29.06
1972,27.58,28.09
1973,27.22,29.67
1974,27.02,29.47
1975,27.25,28.87
1976,28.08,28.58
1977,28.3,29.48
1978,27.26,29.19
1979,27.34,29.33
1980,28.77,30.41
1981,29,28.43
1982,28.09,29.49
1983,28.66,30.01
1984,27.28,29.35
1985,27.59,28.92
1986,27.22,29.61
1987,28.26,29.98
1988,27.67,29.8
1989,26.76,28.64
1990,27.41,28.52
1991,28.62,30.22
1992,27.33,29.05
1993,28.51,30.43
1994,27.52,28.65
1995,28.97,29.14
1996,26.75,28.54
1997,28.15,29.65
1998,27.98,28.69
1999,28.97,30.26
2000,27.05,28.49
2001,28.27,29.79
2002,28.88,29.49
2003,27.04,27.97
2004,26.84,29.32
2005,27.37,27.82
2006,27.91,28.93
2007,27.21,29.68
2008,27.4,29.06
2009,27.09,27.93
2010,27.98,28
2011,27.33,29
2012,27.88,28.71
2013,26.85,27.52
2014,27.33,28.12
