year (AD),depth (m),d18O (permil)
1960,23.1,-27.14
1940,36.1,-26.76
1920,47.05,-26.94
1900,56.05,-27.86
1880,64.7,-27.63
1860,72.55,-27.23
1840,79.85,-27.74
1820,86.6,-27.77
1800,92.85,-27.49
1780,98.65,-27.38
1760,104.5,-27.47
1740,111.25,-27.74
1720,117.15,-27.65
1700,122.25,-27.97
1680,127.2,-27.07
1660,131.35,-27.26
1640,136.35,-27.35
1620,140.2,-27.63
1600,144.25,-27.56
1580,148.4,-27.34
1560,151.9,-27.61
1540,155.525,-27.13
1520,159.075,-27.01
1500,162.525,-27.5
1480,166.075,-27.32
1460,169.075,-27.48
1440,172.15,-26.73
1420,174.575,-27.58
1400,177.15,-26.71
1380,179.35,-26.72
1360,181.925,-27.6
1340,184.475,-27.63
1320,186.8,-27
1300,188.975,-27.17
1280,191.375,-27.71
1260,193.975,-27.46
1240,195.775,-27.78
1220,197.475,-27.32
1200,199.125,-27
1180,201.15,-27.5
1160,202.726,-26.55
1140,204.3,-27.21
1120,205.842,-27.46
1100,207.352,-27.11
1080,208.832,-27.41
1060,210.282,-27.76
1040,211.703,-27.35
1020,213.096,-27.42
1000,214.462,-27.15
980,215.802,-27.16
960,217.115,-26.81
940,218.405,-27.29
920,219.667,-27.16
900,220.882,-27.39
880,222.02,-26.92
860,223.07,-27.07
840,224.093,-27.03
820,225.099,-26.9
800,226.089,-27.52
780,227.06,-27.88
760,228.013,-26.51
740,228.947,-26.96
720,229.862,-27.2
700,230.756,-27.42
680,231.629,-27.67
660,232.48,-27.28
640,233.31,-27.52
620,234.116,-27.07
600,234.899,-27.29
580,235.658,-27.46
560,236.392,-27.02
540,237.101,-26.89
520,237.785,-27.27
500,238.451,-26.97
480,239.101,-27.2
460,239.736,-27.86
440,240.355,-26.97
420,240.96,-26.71
400,241.55,-26.45
380,242.127,-27.11
360,242.69,-27.26
340,243.239,-27.26
320,243.776,-26.86
300,244.301,-27.73
280,244.814,-26.79
260,245.315,-27.59
240,245.805,-27.33
220,246.284,-27.62
200,246.753,-27.5
180,247.212,-27.43
160,247.659,-26.89
140,248.093,-27.25
120,248.513,-26.53
100,248.921,-27.33
80,249.319,-27.73
60,249.706,-26.81
