year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
1914.46,NA,-0.1,-0.1,-5.09
1914.54,NA,0,0,-5.16
1914.62,NA,-0.11,-0.11,-5.31
1914.71,NA,-0.34,-0.34,-5.53
1914.79,NA,-0.42,-0.42,-5.61
1914.87,NA,-0.34,-0.34,-5.56
1914.96,NA,-0.2,-0.2,-5.46
1915.04,NA,-0.18,-0.18,-5.45
1915.12,NA,-0.18,-0.18,-5.45
1915.21,NA,-0.15,-0.15,-5.38
1915.29,NA,-0.07,-0.07,-5.3
1915.37,NA,-0.03,-0.03,-5.23
1915.46,NA,-0.05,-0.05,-5.18
1915.54,NA,-0.08,-0.08,-5.11
1915.62,NA,-0.16,-0.16,-5.01
1915.71,NA,-0.25,-0.25,-4.92
1915.79,NA,-0.18,-0.18,-4.95
1915.87,NA,0.09,0.09,-5.01
1915.96,NA,0.17,0.17,-5.19
1916.04,NA,0.01,0.01,-5.25
1916.12,NA,0.01,0.01,-5.2
1916.21,NA,0.15,0.15,-4.9
1916.29,NA,-0.11,-0.11,-5.1
1916.37,NA,-0.25,-0.25,-5.22
1916.46,NA,-0.42,-0.42,-5.4
1916.54,NA,-0.36,-0.36,-5.4
1916.62,NA,-0.32,-0.32,-5.11
1916.71,NA,-0.1,-0.1,-4.85
1916.79,NA,0.02,0.02,-5.01
1916.87,NA,-0.06,-0.06,-5.2
1916.96,NA,-0.16,-0.16,-5.37
1917.04,NA,-0.33,-0.33,-5.5
1917.12,NA,-0.53,-0.53,-5.63
1917.21,NA,-0.57,-0.57,-5.67
1917.29,NA,-0.51,-0.51,-5.65
1917.37,NA,-0.45,-0.45,-5.57
1917.46,NA,-0.35,-0.35,-5.43
1917.54,NA,-0.3,-0.3,-5.35
1917.62,NA,-0.29,-0.29,-5.3
1917.71,NA,-0.16,-0.16,-5.21
1917.79,NA,-0.08,-0.08,-5.2
1917.87,NA,-0.02,-0.02,-5.2
1917.96,NA,-0.24,-0.24,-5.52
1918.04,NA,-0.3,-0.3,-5.5
1918.12,NA,-0.23,-0.23,-5.37
1918.21,NA,-0.17,-0.17,-5.29
1918.29,NA,-0.19,-0.19,-5.24
1918.37,NA,-0.24,-0.24,-5.24
1918.46,NA,-0.29,-0.29,-5.22
1918.54,NA,-0.24,-0.24,-5.04
1918.62,NA,-0.19,-0.19,-4.92
1918.71,NA,-0.12,-0.12,-4.86
1918.79,NA,-0.01,-0.01,-4.94
1918.87,NA,-0.01,-0.01,-5.11
1918.96,NA,-0.06,-0.06,-5.42
1919.04,NA,-0.19,-0.19,-5.48
1919.12,NA,-0.23,-0.23,-5.46
1919.21,NA,-0.35,-0.35,-5.52
1919.29,NA,-0.45,-0.45,-5.55
1919.37,NA,-0.31,-0.31,-5.38
1919.46,NA,-0.13,-0.13,-5.26
1919.54,NA,-0.35,-0.35,-5.2
1919.62,NA,-0.41,-0.41,-5.07
1919.71,NA,-0.5,-0.5,-5.07
1919.79,NA,-0.41,-0.41,-5.12
1919.87,NA,-0.13,-0.13,-5.12
1919.96,NA,0.04,0.04,-5.13
1920.04,NA,-0.16,-0.16,-5.34
1920.12,NA,-0.28,-0.28,-5.42
1920.21,NA,-0.28,-0.28,-5.39
1920.29,NA,-0.36,-0.36,-5.45
1920.37,NA,-0.41,-0.41,-5.46
1920.46,NA,-0.26,-0.26,-5.26
1920.54,NA,-0.2,-0.2,-5.01
1920.62,NA,-0.21,-0.21,-4.85
1920.71,NA,-0.21,-0.21,-4.74
1920.79,NA,-0.17,-0.17,-4.81
1920.87,NA,-0.04,-0.04,-4.92
