year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1992.46,-4.56,9.024,-1.67
1992.41,-4.7,8.965,-1.41
1992.37,-4.78,8.971,-1.28
1992.31,-5.04,8.921,-1.05
1992.25,-5.13,8.895,-0.8
1992.18,-5.04,8.888,-0.69
1992.12,-4.92,8.893,-0.84
1992.04,-4.87,8.894,-0.99
1991.96,-4.82,8.939,-1.07
1991.87,-4.76,8.929,-0.95
1991.79,-4.85,8.945,-0.98
1991.71,-4.97,8.967,-1.12
1991.64,-4.93,8.946,-1.11
1991.57,-4.9,8.953,-1
1991.5,-4.92,8.933,-1.08
1991.43,-4.93,8.886,-1.16
1991.36,-4.94,8.863,-1.25
1991.29,-5.03,8.838,-1.3
1991.16,-5.34,8.861,-1.01
1991.04,-5.38,8.795,-0.89
1990.99,-5.27,8.819,-0.57
1990.94,-5.22,8.849,-0.75
1990.89,-4.93,8.892,-0.96
1990.84,-4.91,8.894,-0.93
1990.79,-4.76,8.966,-1.1
1990.74,-4.72,8.984,-1.08
1990.69,-4.73,8.943,-1.04
1990.64,-4.77,8.934,-1.07
1990.59,-4.75,8.887,-1.02
1990.54,-4.87,8.869,-1.15
1990.47,-4.87,8.888,-1.11
1990.41,-5.01,8.866,-1.14
1990.34,-5.2,8.852,-0.99
1990.28,-5.4,8.829,-0.89
1990.21,-5.32,8.805,-0.82
1990.13,-5.23,8.84,-0.85
1990.04,-5.14,8.823,-1.13
1989.98,-5,8.863,-1.15
1989.93,-5.04,8.836,-0.89
1989.87,-5.04,8.823,-1.06
1989.8,-5.09,8.83,-1.13
1989.74,-5.17,8.848,-1.12
1989.67,-5.14,8.87,-1.17
1989.61,-5.22,8.869,-1.21
1989.54,-5.31,8.877,-1.29
1989.45,-5.21,8.863,-1.26
1989.36,-5.39,8.784,-1.21
1989.27,-5.41,8.765,-0.96
1989.18,-5.43,8.763,-0.82
1989.09,-5.36,8.868,-0.88
1988.99,-5.2,8.789,-1.1
1988.9,-5.06,8.767,-1.31
1988.86,-5.09,8.849,-1.09
1988.81,-5.06,8.851,-0.93
1988.72,-4.97,8.883,-0.89
1988.63,-4.98,8.891,-0.85
1988.54,-5.04,8.915,-0.9
1988.46,-5,8.86,-1.17
1988.37,-4.96,8.832,-0.85
1988.29,-5.18,8.813,-0.78
1988.21,-5.19,8.842,-0.93
1988.12,-5.17,8.79,-0.7
