year (AD),depth (m),d18O (permil)
1992,0.4,-36.9
1991,0.79,-39
1990,1.16,-39.1
1989,1.54,-35.8
1988,1.9,-38.6
1987,2.25,-37.8
1986,2.6,-38.6
1985,2.95,-37.5
1984,3.28,-40.6
1983,3.61,-38.4
1982,3.94,-38.1
1981,4.26,-37.3
1980,4.58,-38.4
1979,4.89,-35.7
1978,5.2,-36.6
1977,5.5,-36.5
1976,5.8,-36.5
1975,6.1,-37.3
1974,6.39,-37.9
1973,6.68,-37.7
1972,6.97,-36.7
1971,7.25,-35.5
1970,7.53,-37.5
1969,7.81,-36.9
1968,8.08,-35.7
1967,8.36,-36.9
1966,8.63,-36.9
1965,8.89,-37.1
1964,9.16,-38.9
1963,9.42,-38.3
1962,9.68,-35.7
1961,9.94,-38.5
1960,10.2,-37.9
1959,10.45,-36.3
1958,10.7,-36.4
1957,10.95,-34.7
1956,11.2,-34.8
1955,11.45,-34.7
1954,11.69,-34.7
1953,11.94,-34.8
1952,12.18,-34.8
1951,12.42,-34.8
1950,12.66,-34.9
1949,12.89,-35.8
1948,13.13,-37.6
1947,13.36,-36.7
1946,13.6,-35.5
1945,13.83,-35.5
1944,14.06,-36.8
1943,14.29,-37.9
1942,14.51,-36.9
1941,14.74,-37.1
1940,14.97,-38
1939,15.19,-37.4
1938,15.41,-35.5
1937,15.63,-35.5
1936,15.85,-37.3
1935,16.07,-36.8
1934,16.29,-36.7
1933,16.51,-35.8
1932,16.73,-34.7
1931,16.94,-35.9
1930,17.16,-35.4
1929,17.37,-35.4
1928,17.58,-36.4
1927,17.79,-35
1926,18,-35.1
1925,18.21,-37.7
1924,18.42,-37.8
1923,18.63,-36.9
1922,18.84,-37.6
1921,19.04,-37.8
1920,19.25,-37
1919,19.45,-37.1
1918,19.66,-37.5
1917,19.86,-37.7
1916,20.06,-37.5
1915,20.27,-36.7
1914,20.47,-38
1913,20.67,-36.3
1912,20.87,-37.3
1911,21.07,-39.5
1910,21.26,-36.5
1909,21.46,-36.4
1908,21.65,-37.6
1907,21.85,-38
1906,22.04,-36.7
1905,22.24,-37.4
1904,22.43,-38.5
1903,22.62,-39.4
1902,22.82,-39.2
1901,23.01,-36.5
1900,23.2,-35.9
1899,23.39,-35.9
1898,23.58,-36.5
1897,23.77,-36.7
1896,23.96,-36.4
1895,24.15,-37.8
1894,24.33,-38.4
1893,24.52,-36.8
1892,24.71,-36.3
1891,24.89,-35.6
1890,25.08,-35.5
1889,25.26,-36.5
1888,25.45,-37
1887,25.63,-36.2
1886,25.82,-34.5
1885,26,-34.9
1884,26.18,-36.7
1883,26.37,-36.5
1882,26.55,-36
1881,26.73,-35.7
1880,26.91,-35.9
1879,27.09,-33.9
1878,27.27,-34.1
1877,27.45,-36.5
1876,27.63,-37.8
1875,27.81,-34.8
1874,27.99,-35.5
1873,28.16,-37.4
1872,28.34,-37
1871,28.52,-37.4
1870,28.7,-36.7
1869,28.87,-36
1868,29.05,-36.2
1867,29.23,-36.5
1866,29.4,-36.2
1865,29.58,-36.2
1864,29.75,-35.9
1863,29.92,-35.3
1862,30.1,-36.5
1861,30.27,-37.7
1860,30.45,-37.9
1859,30.62,-37.5
1858,30.79,-35.8
1857,30.96,-35.7
1856,31.14,-37.3
1855,31.31,-38.5
1854,31.48,-37.4
1853,31.65,-36.7
1852,31.82,-37
1851,31.99,-36.4
1850,32.16,-37.9
1849,32.33,-38.4
1848,32.5,-37.4
1847,32.67,-36.5
1846,32.84,-36.7
1845,33.01,-36.9
1844,33.17,-37.1
1843,33.34,-37.2
1842,33.51,-37.8
1841,33.68,-36.7
1840,33.84,-36
1839,34.01,-36.1
1838,34.18,-36.9
1837,34.34,-37.6
1836,34.51,-39.1
1835,34.68,-40.1
1834,34.84,-38.6
1833,35.01,-37.9
1832,35.17,-37.8
1831,35.34,-37.6
1830,35.5,-37.8
1829,35.66,-39.7
1828,35.83,-39.1
1827,35.99,-36.3
1826,36.16,-36
1825,36.32,-36.9
1824,36.48,-37.6
1823,36.64,-38.3
1822,36.81,-38.6
1821,36.97,-37
1820,37.13,-37.1
1819,37.29,-38
1818,37.45,-38.4
1817,37.62,-38.3
1816,37.78,-37.9
1815,37.94,-36.9
1814,38.11,-36.4
1813,38.28,-37.1
1812,38.44,-37.4
1811,38.61,-35.9
1810,38.78,-36
1809,38.94,-37.4
1808,39.11,-37.1
1807,39.27,-37.3
1806,39.44,-38
1805,39.61,-36
1804,39.77,-35.8
1803,39.93,-36
1802,40.1,-36.3
1801,40.26,-38.2
1800,40.43,-37.9
1799,40.59,-36.9
1798,40.75,-37.5
1797,40.92,-38.2
1796,41.08,-37.1
1795,41.24,-36.5
1794,41.41,-37
