year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],temperature (degC) [2-1],year (AD) [3-1],temperature (degC) [3-1]
1988.46,3,0.9,1900.5,NA,13.01,1988.46,13.14
1969.23,8,1.08,1851.1,NA,12.7,1969.23,13.06
1950,13,0.84,1801.6,NA,13.11,1900.53,13.01
1925.26,18,0.84,1752.1,NA,13.12,1851.05,12.7
1900.53,23,0.89,1702.6,NA,12.92,1801.58,13.11
1875.79,28,1.12,1653.2,NA,13.25,1752.11,13.12
1851.05,33,1.27,1554.2,NA,13.23,1702.63,12.92
1826.32,38,1.04,1504.7,NA,12.32,1653.16,13.25
1801.58,43,0.96,1452.5,NA,13.35,1554.21,13.23
1776.84,48,1.45,1397.5,NA,13.38,1504.74,12.32
1752.11,53,1.4,1342.5,NA,13.09,1452.5,13.35
1727.37,58,1.41,1287.5,NA,12.93,1397.5,13.38
1702.63,63,1.44,1232.5,NA,13.33,1342.5,13.09
1677.89,68,1.33,1177.5,NA,13.24,1287.5,12.93
1653.16,73,1.38,1122.5,NA,13.22,1232.5,13.33
1628.42,78,1.19,1067.5,NA,13.06,1177.5,13.24
1603.68,83,1.17,1023.9,NA,13.28,1122.5,13.22
1578.95,88,1.18,991.7,NA,13.4,1067.5,13.06
1554.21,93,0.99,959.6,NA,13.37,1023.91,13.28
1529.47,98,1.18,927.4,NA,13.42,991.74,13.4
1504.74,103,1.38,895.2,NA,13.24,959.57,13.37
1480,108,1.5,863,NA,13.39,927.39,13.42
1452.5,113,1.23,830.9,NA,13.53,895.22,13.24
1425,118,1.14,798.7,NA,13.77,863.04,13.39
1397.5,123,1.18,766.5,NA,13.78,830.87,13.53
1370,128,1.29,734.4,NA,13.97,798.7,13.77
1342.5,133,1.26,702.2,NA,13.67,766.52,13.78
1315,138,1.35,670,NA,14.06,734.35,13.97
1287.5,143,1.19,636.7,NA,14.56,702.17,13.67
1260,148,1.2,603.3,NA,14.36,670,14.06
1232.5,153,1.08,570,NA,14.34,636.67,14.56
1205,158,1.21,536.7,NA,13.99,603.33,14.36
1177.5,163,1.16,503.3,NA,14.28,570,14.34
1150,168,1.19,470,NA,13.9,536.67,13.99
1122.5,173,1.26,436.7,NA,13.85,503.33,14.28
1095,178,1.33,403.3,NA,13.92,470,13.9
1067.5,183,1.34,370,NA,14.15,436.67,13.85
1040,188,1.46,336.7,NA,14.14,403.33,13.92
1023.91,193,1.24,307.5,NA,14.05,370,14.15
1007.83,198,1.25,282.5,NA,14.12,336.67,14.14
991.74,203,1.35,257.5,NA,14.23,307.5,14.05
975.65,208,1.06,232.5,NA,14.13,282.5,14.12
959.57,213,1.28,207.5,NA,14.26,257.5,14.23
943.48,218,1.12,182.5,NA,14.35,232.5,14.13
