year (AD),depth (cm),d18O (permil)
2007,0,3.2
1998,0.25,3.44
1981,0.75,3.14
1963,1.25,3.6
1945,1.75,3.55
1928,2.25,4.03
1910,2.75,3.36
1892,3.25,3.38
1875,3.75,3.27
1857,4.25,3.3
1839,4.75,3.15
1822,5.25,3.04
1804,5.75,3.32
1786,6.25,3.35
1769,6.75,3.18
1751,7.25,3.15
1733,7.75,3.18
1716,8.25,3.26
1698,8.75,3.37
1680,9.25,3.23
1663,9.75,3.31
1645,10.25,3.35
1627,10.75,3.31
1610,11.25,3.77
1592,11.75,3.56
1574,12.25,3.73
1557,12.75,3.28
1539,13.25,3.24
1521,13.75,3.43
1504,14.25,3.49
1486,14.75,3.42
1458,15.25,3.33
1431,15.75,3.33
1403,16.25,3.28
1375,16.75,3.36
1347,17.25,3.45
1320,17.75,3.44
1292,18.25,3.35
1264,18.75,3.33
1237,19.25,3.38
1209,19.75,3.38
1181,20.25,3.38
1154,20.75,3.35
1126,21.25,3.42
1099,21.75,3.28
1074,22.25,3.3
1049,22.75,3.22
1024,23.25,3.34
999,23.75,3.4
974,24.25,3.27
949,24.75,3.18
923,25.25,3.5
898,25.75,3.09
873,26.25,3.32
848,26.75,3.27
823,27.25,3.62
798,27.75,3.31
773,28.25,3.37
748,28.75,3.69
722,29.25,3.38
697,29.75,3.45
672,30.25,3.24
647,30.75,3.26
621,31.25,3.36
596,31.75,3.29
570,32.25,3.23
545,32.75,3.26
519,33.25,3.31
494,33.75,3.34
468,34.25,3.28
443,34.75,3.3
417,35.25,3.32
391,35.75,3.49
366,36.25,3.23
340,36.75,3.27
315,37.25,3.45
289,37.75,3.24
264,38.25,3.18
238,38.75,3.26
213,39.25,3.3
187,39.75,3.11
161,40.25,3.15
136,40.75,3.12
110,41.25,3.18
85,41.75,3.23
59,42.25,3.29
34,42.75,3.62
8,43.25,3.19
-17,43.75,3.13
-43,44.25,3.43
-69,44.75,3.1
-94,45.25,3.32
-120,45.75,3.2
