year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
1959.374,NA,0.25,0.25,-4.9
1959.54,NA,0.21,0.21,-4.95
1959.706,NA,0.3,0.3,-4.96
1959.872,NA,0.26,0.26,-4.93
1960.042,NA,0.25,0.25,-4.94
1960.208,NA,0.29,0.29,-4.8
1960.374,NA,0.17,0.17,-5.07
1960.54,NA,0.04,0.04,-5.22
1960.706,NA,0.05,0.05,-5.32
1960.872,NA,0.1,0.1,-5.21
1961.042,NA,0.18,0.18,-5.08
1961.208,NA,0.33,0.33,-4.73
1961.374,NA,0.23,0.23,-4.91
1961.54,NA,0.08,0.08,-5.1
1961.706,NA,0.37,0.37,-4.84
1961.872,NA,0.15,0.15,-4.98
1962.042,NA,0.32,0.32,-4.78
1962.208,NA,0.16,0.16,-4.91
1962.374,NA,0.06,0.06,-5.12
1962.54,NA,-0.06,-0.06,-5.28
1962.706,NA,0.07,0.07,-5.26
1962.872,NA,0.2,0.2,-5.12
1963.042,NA,0.4,0.4,-4.85
1963.208,NA,0.08,0.08,-5.09
1963.374,NA,0.13,0.13,-5.11
1963.54,NA,0.23,0.23,-5.09
1963.706,NA,0.1,0.1,-5.25
1963.872,NA,0.15,0.15,-5.04
1964.042,NA,0.31,0.31,-4.79
1964.208,NA,0.07,0.07,-5.04
1964.374,NA,0.21,0.21,-4.98
1964.54,NA,0.26,0.26,-4.87
1964.706,NA,0.23,0.23,-4.85
1964.872,NA,0.19,0.19,-4.8
1965.042,NA,0.12,0.12,-4.73
1965.208,NA,0.18,0.18,-4.77
1965.374,NA,0.17,0.17,-4.79
1965.54,NA,0.21,0.21,-4.8
1965.706,NA,0.12,0.12,-4.81
1965.872,NA,0.1,0.1,-4.83
1966.042,NA,0.03,0.03,-4.85
1966.208,NA,0.06,0.06,-4.96
1966.374,NA,0.16,0.16,-5.01
1966.54,NA,0.07,0.07,-5.01
1966.706,NA,0.22,0.22,-4.96
1966.872,NA,0.28,0.28,-4.93
1967.042,NA,-0.21,-0.21,-4.9
1967.208,NA,-0.17,-0.17,-4.88
1967.374,NA,0.07,0.07,-4.87
1967.54,NA,0.19,0.19,-4.95
1967.706,NA,0.28,0.28,-4.84
1967.872,NA,0.1,0.1,-4.91
1968.042,NA,0.04,0.04,-4.97
1968.208,NA,-0.06,-0.06,-5.02
1968.374,NA,-0.08,-0.08,-5.05
1968.54,NA,-0.09,-0.09,-5.09
1968.706,NA,-0.1,-0.1,-5.12
1968.872,NA,-0.04,-0.04,-5.22
1969.042,NA,-0.18,-0.18,-5.35
1969.208,NA,-0.17,-0.17,-5.31
1969.374,NA,-0.2,-0.2,-5.3
1969.54,NA,-0.15,-0.15,-5.24
1969.706,NA,-0.05,-0.05,-5.14
1969.872,NA,-0.18,-0.18,-5.18
1970.042,NA,-0.13,-0.13,-5.11
1970.208,NA,-0.11,-0.11,-5.1
1970.374,NA,-0.07,-0.07,-5.16
1970.54,NA,-0.33,-0.33,-5.38
1970.706,NA,-0.32,-0.32,-5.4
1970.872,NA,-0.18,-0.18,-5.21
1971.042,NA,-0.34,-0.34,-5.29
1971.208,NA,-0.17,-0.17,-5.27
1971.374,NA,-0.11,-0.11,-5.26
1971.54,NA,-0.13,-0.13,-5.31
1971.706,NA,-0.16,-0.16,-5.36
1971.872,NA,-0.25,-0.25,-5.32
1972.042,NA,-0.49,-0.49,-5.64
1972.208,NA,-0.03,-0.03,-5.43
1972.374,NA,-0.16,-0.16,-5.37
1972.54,NA,-0.26,-0.26,-5.41
1972.706,NA,-0.18,-0.18,-5.27
1972.872,NA,-0.09,-0.09,-5.26
1973.042,NA,-0.1,-0.1,-5.08
1973.208,NA,-0.17,-0.17,-5.12
1973.374,NA,-0.17,-0.17,-5.14
1973.54,NA,-0.08,-0.08,-5.19
1973.706,NA,-0.2,-0.2,-5.22
1973.872,NA,-0.26,-0.26,-5.34
1974.042,NA,-0.39,-0.39,-5.32
1974.208,NA,-0.31,-0.31,-5.33
1974.374,NA,-0.23,-0.23,-5.32
1974.54,NA,-0.09,-0.09,-5.3
1974.706,NA,-0.15,-0.15,-5.19
1974.872,NA,-0.13,-0.13,-5.21
1975.042,NA,-0.25,-0.25,-5.27
1975.208,NA,-0.1,-0.1,-5.17
