year (AD),depth (m),d18O (permil)
2055.5,0.01,1.45
2008,0.035,1.54
1942,0.075,1.05
1886.6,0.13,1.16
1853.6,0.17,1.3
1837,0.19,1.5
1820.5,0.21,1.56
1803,0.23,1.98
1688.2,0.36,1.04
1670.3,0.38,1.06
1590.5,0.47,0.95
1526.9,0.54,0.88
1509.3,0.56,1.59
1491.4,0.58,0.97
1482.6,0.59,1.01
1473.8,0.6,1.13
1456.3,0.62,0.97
1421.1,0.66,1.48
1412,0.67,1.61
1403.1,0.68,0.91
1385.2,0.7,0.76
1376.2,0.71,0.56
1367.3,0.72,1.26
1358.4,0.73,0.7
1349.5,0.74,0.67
1340.9,0.75,1.03
1332.1,0.76,1
1323,0.77,1.53
1313.9,0.78,1.01
1304.9,0.79,1.08
1296,0.8,1
1287.2,0.81,1.11
1278.2,0.82,1.5
1269.3,0.83,1.6
797.6,1.36,0.56
788.9,1.37,0.67
780.3,1.38,0.57
771.4,1.39,0.5
762.8,1.4,0.62
754.3,1.41,0.7
745.4,1.42,0.69
736.6,1.43,0.47
728,1.44,0.54
577.9,1.61,0.9
569,1.62,0.78
560.3,1.63,0.88
551.4,1.64,0.65
542.4,1.65,0.81
533.5,1.66,0.74
524.8,1.67,0.67
516,1.68,0.56
507.2,1.69,0.63
498.3,1.7,0.95
481,1.72,0.64
472.4,1.73,0.98
463.9,1.74,0.73
455.3,1.75,0.71
446.6,1.76,0.93
429,1.78,0.81
420.2,1.79,0.88
411.1,1.8,0.79
401.9,1.81,0.94
393.1,1.82,0.67
375.3,1.84,0.74
366.4,1.85,0.76
357.6,1.86,0.94
348.6,1.87,0.8
339.7,1.88,0.6
330.8,1.89,0.85
313,1.91,0.64
304.2,1.92,0.41
295.5,1.93,0.69
286.8,1.94,0.64
278,1.95,0.42
269.3,1.96,0.39
260.4,1.97,0.72
242.5,1.99,0.65
233.7,2,0.58
224.8,2.01,0.55
215.7,2.02,0.5
206.7,2.03,0.78
197.8,2.04,0.5
188.6,2.05,0.45
179.5,2.06,0.64
170.6,2.07,0.72
161.8,2.08,0.69
153.1,2.09,0.7
144.2,2.1,0.76
135.3,2.11,0.65
126.6,2.12,0.67
117.9,2.13,0.69
109.3,2.14,0.64
100.3,2.15,0.61
91.4,2.16,0.64
81.5,2.17,0.47
71.6,2.18,0.74
-121.4,2.36,1.12
-135.4,2.37,1.3
-149.7,2.38,0.99
-164.1,2.39,1.31
-178.4,2.4,1.25
-192.7,2.41,1.23
-207.1,2.42,0.98
-221.2,2.43,1.16
-235.5,2.44,1.08
-249.9,2.45,1.23
-264.2,2.46,1.07
-278.3,2.47,1.28
-292.7,2.48,1.14
-307.3,2.49,1.21
-321.8,2.5,1.27
-336,2.51,1.3
-350.7,2.52,1.26
-365.1,2.53,1.27
-379.4,2.54,1.41
-393.9,2.55,1.42
-408.5,2.56,1.33
-422.7,2.57,1.06
-436.9,2.58,1.35
-451.3,2.59,1.4
-465.7,2.6,1.42
-480.1,2.61,1.14
-494.6,2.62,1.22
-509,2.63,1.23
-523.5,2.64,1.26
-537.8,2.65,1.32
-552.4,2.66,1.35
-567.1,2.67,1.29
-581.7,2.68,1.18
-596.6,2.69,1.21
-611.4,2.7,1.25
-626.2,2.71,0.82
-640.7,2.72,1.16
-655,2.73,1.32
-669.5,2.74,1.32
-683.9,2.75,1.45
-698.1,2.76,1.28
-712.5,2.77,1.1
-727,2.78,1.31
-741.4,2.79,1.12
-756,2.8,1.18
-770.2,2.81,0.97
-784.5,2.82,1.07
-798.5,2.83,1.14
-812.8,2.84,1.13
-826.8,2.85,1.18
-841.2,2.86,1.15
-855.6,2.87,1.2
-870.1,2.88,1.26
-884.4,2.89,1.25
-898.7,2.9,1.18
-913,2.91,1.27
-926.9,2.92,0.96
-941.5,2.93,1.28
-955.7,2.94,1.25
