Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1949.5832,-3.0108,NA
1949.4165,-3.5402,NA
1949.2499,-3.3793,NA
1949.0832,-2.6099,NA
1948.9165,-2.5005,NA
1948.7499,-2.7029,NA
1948.5832,-2.6463,NA
1948.4165,-3.1434,NA
1948.2499,-3.3438,NA
1948.0832,-3.0959,NA
1947.9165,-2.9205,NA
1947.7499,-2.7937,NA
1947.5832,-2.96,NA
1947.4165,-3.4254,NA
1947.2499,-3.5576,NA
1947.0832,-3.0736,NA
1946.9165,-2.5907,9.368
1946.7499,-3.0869,9.2766
1946.5832,-2.6505,9.2987
1946.4165,-2.6447,9.3523
1946.2499,-2.898,9.3986
1946.0832,-2.8038,9.4072
1945.9165,-2.5001,9.396
1945.7499,-3.1092,9.4189
1945.5832,-2.4208,9.313
1945.4165,-3.0601,9.2651
1945.2499,-3.0439,9.3322
1945.0832,-3.0242,9.401
1944.9165,-2.8807,9.4059
1944.7499,-3.3384,9.3993
1944.5832,-3.2386,9.4247
1944.4165,-3.4243,9.2966
1944.2499,-3.1776,9.3252
1944.0832,-3.1396,9.308
1943.9165,-2.6306,9.363
1943.7499,-2.5211,9.4206
1943.5832,-2.9834,9.3552
1943.4165,-2.8987,9.36
1943.2499,-2.9098,9.3878
1943.0832,-2.7659,9.3674
1942.9166,-2.2913,9.3729
1942.7499,-2.8822,9.3797
1942.5832,-3.1424,9.3539
1942.4166,-3.1852,9.3163
1942.2499,-3.3577,9.3096
1942.0832,-3.3101,9.2744
1941.9166,-3.0305,9.2681
1941.7499,-2.9344,9.3774
1941.5832,-2.9618,9.3325
1941.4166,-3.1015,9.3655
1941.2499,-3.2904,9.2231
1941.0832,-3.3299,9.292
1940.9166,-3.0802,9.2691
1940.7499,-3.2585,9.3611
1940.5832,-2.9976,9.3696
1940.4166,NA,9.3359
1940.2499,-3.502,9.3506
1940.0832,-3.4419,9.3712
1939.9166,-3.2503,9.3598
1939.7499,-3.4474,9.3685
1939.5832,NA,9.4545
1939.4166,-3.3933,9.4198
1939.2499,-3.664,9.3356
1939.0832,-3.2676,9.34
1938.9166,-3.0302,9.3859
1938.7499,-3.2698,9.4387
1938.5832,-3.4076,9.3636
1938.4166,-3.7362,9.3141
1938.2499,-3.8296,9.2461
1938.0832,-3.1697,9.425
1937.9166,-2.7303,9.386
1937.7499,-3.1531,9.3173
1937.5832,-3.4444,9.2813
1937.4166,-3.5343,9.2817
1937.2499,-3.1636,9.316
1937.0832,-3.1001,9.2683
1936.9166,-2.8101,9.3721
1936.7499,-2.8325,9.4166
1936.5832,-3.2439,9.403
1936.4166,-3.1295,9.3369
1936.2499,-3.6155,9.2811
1936.0832,-3.4856,9.3482
1935.9166,-3.1204,9.3211
1935.7499,-3.1297,9.4094
1935.5832,-3.1972,9.3878
1935.4166,-3.3299,9.3591
1935.2499,-3.2759,9.3816
1935.0832,-3.244,9.3836
1934.9166,-3.1,9.3351
1934.7499,-3.2557,9.4119
1934.5832,-3.3076,9.4073
1934.4166,-3.707,9.279
1934.2499,-3.7296,9.298
1934.0833,-3.3998,9.369
1933.9166,-2.9402,9.407
1933.7499,-3.0101,9.396
1933.5833,-3.4001,9.454
