year (AD),d2HC25 (permil),d2HC27 (permil),d2HC29 (permil),d2HC31 (permil),Age (BP),stdevC25 (permil),stdevC27 (permil),stdevC29 (permil),stdevC31 (permil)
1992.1,-171,-188,-181,-181,-42.1,3.7,3.6,3.8,3.9
1972.1,-168,-182,-174,-173,-22.1,3.6,3.6,3.6,3.7
1952.1,-171,-182,-177,-181,-2.1,3.8,3.9,3.8,4.2
1911.8,-159,-179,-183,-179,38.2,3.9,3.7,3.8,4.2
1891.8,-171,-173,-173,-166,58.2,3.8,3.7,4.1,4.3
1851.6,-175,-181,-176,-169,98.4,3.7,3.7,3.8,3.8
1831.6,-178,-180,-175,-175,118.4,3.8,3.7,3.9,3.9
1811.5,-176,-182,-180,-181,138.5,3.8,3.7,3.8,3.9
1791.9,-182,-181,-176,-181,158.1,3.7,3.7,3.8,3.9
1771.7,-175,-179,-173,-173,178.3,3.7,3.6,3.7,3.8
1751.9,-182,-183,-178,-181,198.1,3.8,3.7,3.8,3.9
1711.6,-179,-181,-180,-180,238.4,3.8,3.7,3.8,3.9
1691.5,-180,-184,-178,-182,258.5,3.8,3.7,3.8,3.9
1671.2,-178,-183,-179,-180,278.8,3.7,3.6,3.7,3.8
1610.6,-178,-180,-179,-177,339.4,4,3.7,4.1,4.3
1572.8,-180,-183,-181,-182,377.2,3.8,3.7,3.8,3.9
1534.9,-179,-182,-180,-184,415.1,3.8,3.7,3.8,3.9
1497,-180,-182,-182,-186,453,3.8,3.7,3.8,3.9
1459.1,-180,-181,-181,-184,490.9,3.8,3.7,3.8,3.9
1421,-177,-177,NA,NA,529,3.7,3.7,NA,NA
1356.9,-182,-183,-184,-186,593.1,4,3.7,3.8,3.9
1292.6,-175,-181,-187,-188,657.4,3.8,3.7,4.1,4.2
1227.9,-180,-184,-184,-188,722.1,4,3.9,4.1,4.2
1163.4,-179,-183,-185,-187,786.6,3.8,3.7,3.8,3.9
1098.8,-179,-183,-181,-185,851.2,3.8,3.7,3.8,3.9
1022.3,-179,-183,-184,-187,927.7,4,3.9,4.1,4.2
945.6,-182,-187,-185,-185,1004.4,4,3.9,4.1,4.2
868.3,-179,-185,-185,-186,1081.7,3.8,3.7,3.8,3.9
791.6,-177,-185,-186,-187,1158.4,4,4,3,3
714.4,-176,-184,-182,-184,1235.6,4,3.9,4.1,4.2
582.6,-179,-185,-185,-188,1367.4,3.8,3.7,3.8,3.9
516.8,-179,-182,-183,-185,1433.2,3.8,3.7,3.8,3.9
450.3,-181,-186,-184,-187,1499.7,4,3.9,4.1,4.2
384,-183,-186,-185,-187,1566,3.8,3.7,3.8,3.9
360.6,-181,-184,-184,-188,1589.4,3.8,3.7,3.8,3.9
336.9,-182,-186,-187,-188,1613.1,3.7,3.6,4.1,3.9
313.5,-175,-182,-181,-183,1636.5,4,4,3,3
267.6,-181,-188,-194,-194,1682.4,3.8,3.7,4.1,4.2
165.2,-177,-186,-201,NA,1784.8,3.8,3.7,3.8,NA
117.7,-178,-186,-187,-188,1832.3,3,3,3,3
49.4000000000001,-169,-177,-190,-193,1900.6,3.8,3.9,4.1,4.2
-27.9000000000001,-174,-183,-186,-186,1977.9,3,3,3,3
-62.8,-177,-184,-195,-195,2012.8,4,3.9,4.1,4.2
-317.3,-177,-185,-184,-186,2267.3,3,3,3,3
-763.4,-171,-177,-180,-180,2713.4,4,4,3,3
-1031,-177,-183,-185,-186,2981,3,3,3,3
-1527.1,-169,-181,-182,-184,3477.1,3,3,3,3
-1913.2,-171,-182,-176,-173,3863.2,3,4,4,3
-2384.7,-168,-185,-185,-182,4334.7,3,4,3,3
-2588.7,-177,-186,-193,-196,4538.7,3,3,3,3
-2713.8,-172,-181,-189,-189,4663.8,3,3,3,3
-2826.9,-167,-177,-184,-184,4776.9,3,3,3,3
-2864.5,-170,-180,-190,-196,4814.5,3,3,3,3
-2937.7,-169,-180,-186,-188,4887.7,3,3,3,3
-3012.3,-174,-179,-190,-197,4962.3,3,3,3,3
-5582.2,-156,-169,-178,-188,7532.2,3,3,3,3
-5832.9,-168,-179,-193,-191,7782.9,3,3,3,3
-5917.2,-164,-174,-196,-188,7867.2,3,3,3,3
-6172.5,-169,-181,-201,-190,8122.5,3,3,3,3
-6525.6,-168,-180,-204,-197,8475.6,3,3,3,3
-7126.7,-165,-178,-186,-196,9076.7,3,3,3,3
-7375.8,-166,-181,-189,-200,9325.8,3,3,3,3
-7479.1,-161,-181,-196,-196,9429.1,3,3,3,3
-7500,-158,-178,-191,-191,9450,3,3,3,3
-7553.4,-157,-178,-185,-189,9503.4,3,3,3,3
-7617.4,-158,-181,-190,-195,9567.4,3,3,3,3
-7679.9,-163,-184,-196,-192,9629.9,3,3,3,3
-8355.6,-172,-187,-198,-188,10305.6,3,3,3,3
-8580,-170,-189,-199,-191,10530,3,3,3,3
-8802.5,-172,-188,-202,-195,10752.5,3,3,3,3
-9551.2,-176,-198,-212,-194,11501.2,3,3,3,3
-10299.2,-180,-229,-223,-203,12249.2,3,3,3,3
-10895.8,-206,-216,-209,-212,12845.8,3,3,3,3
