year (AD),depth (cm),d18O (permil),LaminaThickenss (mm)
2004,NA,-5.453,NA
1996,NA,-5.314,NA
1987,NA,-5.135,NA
1979,NA,-4.646,NA
1970,NA,-5.051,NA
1961,NA,-4.983,NA
1952,NA,-4.601,NA
1943,NA,-5.661,NA
1934,NA,-5.676,NA
1924,NA,-5.728,NA
1915,NA,-5.828,NA
1905,NA,-6.049,NA
1896,NA,-5.932,NA
1886,NA,-5.126,NA
1876,NA,-5.867,NA
1866,NA,-5.744,NA
1856,NA,-5.586,NA
1846,NA,-5.698,NA
1836,NA,-5.545,NA
1826,NA,-5.621,NA
1816,NA,-5.674,NA
1806,NA,-6.033,NA
1795,NA,-5.827,NA
1785,NA,-5.823,NA
1775,NA,-5.648,NA
1764,NA,-5.879,NA
1754,NA,-5.72,NA
1743,NA,-5.969,NA
1733,NA,-5.964,NA
1722,NA,-5.737,NA
1712,NA,-5.712,NA
1701,NA,-5.699,NA
1691,NA,-5.889,NA
1680,NA,-5.36,NA
1670,NA,-5.653,NA
1659,NA,-5.562,NA
1649,NA,-5.22,NA
1638,NA,-5.142,NA
1628,NA,-5.133,NA
1617,NA,-4.688,NA
1607,NA,-4.764,NA
1596,NA,-4.547,NA
1586,NA,-4.988,NA
1576,NA,-4.857,NA
1565,NA,-4.929,NA
1555,NA,-4.551,NA
1544,NA,-4.98,NA
1534,NA,-4.72,NA
1524,NA,-4.848,NA
1513,NA,-4.523,NA
1503,NA,-4.624,NA
1493,NA,-4.248,NA
1483,NA,-4.397,NA
1472,NA,-4.564,NA
1462,NA,-4.874,NA
1452,NA,-4.755,NA
1442,NA,-5.077,NA
1432,NA,-4.962,NA
1422,NA,-5.192,NA
1412,NA,-5.081,NA
1402,NA,-5.422,NA
1392,NA,-5.026,NA
1382,NA,-5.327,NA
1372,NA,-5.277,NA
1362,NA,-5.421,NA
1352,NA,-5.388,NA
1342,NA,-5.621,NA
1332,NA,-5.521,NA
1323,NA,-5.277,NA
1313,NA,-4.701,NA
1303,NA,-5.427,NA
1293,NA,-5.426,NA
1284,NA,-5.475,NA
1274,NA,-5.456,NA
1265,NA,-4.773,NA
1255,NA,-4.362,NA
1245,NA,-5.116,NA
1236,NA,-4.976,NA
1226,NA,-5.198,NA
1217,NA,-4.604,NA
1207,NA,-5.381,NA
1198,NA,-4.521,NA
1189,NA,-4.96,NA
1179,NA,-4.888,NA
1170,NA,-5.339,NA
1161,NA,-4.528,NA
1151,NA,-4.865,NA
1142,NA,NA,NA
1133,NA,-5.249,NA
1123,NA,-4.692,NA
1114,NA,-5.33,NA
1105,NA,-4.582,NA
1096,NA,-5.209,NA
1087,NA,-4.533,NA
1077,NA,-5.305,NA
1068,NA,-4.206,NA
1059,NA,-4.463,NA
1050,NA,-5.266,NA
1041,NA,-4.635,NA
1032,NA,-5.056,NA
1023,NA,-5.034,NA
1014,NA,-5.037,NA
1004,NA,-5.146,NA
995,NA,-4.639,NA
986,NA,-5.303,NA
977,NA,-5.102,NA
968,NA,-4.981,NA
959,NA,-5.292,NA
950,NA,-5.141,NA
941,NA,NA,NA
932,NA,-5.339,NA
923,NA,-5.251,NA
914,NA,-4.906,NA
905,NA,-5.188,NA
896,NA,NA,NA
886,NA,NA,NA
877,NA,-4.712,NA
868,NA,-4.888,NA
859,NA,-5.349,NA
850,NA,-5.635,NA
841,NA,-5.721,NA
832,NA,-5.601,NA
823,NA,-5.463,NA
814,NA,-5.636,NA
804,NA,-5.895,NA
795,NA,NA,NA
786,NA,-5.825,NA
777,NA,-5.844,NA
768,NA,-5.729,NA
758,NA,-5.954,NA
749,NA,NA,NA
740,NA,-5.521,NA
731,NA,-5.503,NA
721,NA,-4.99,NA
712,NA,-4.635,NA
703,NA,-5.521,NA
693,NA,-5.658,NA
684,NA,-5.392,NA
675,NA,-5.619,NA
665,NA,-5.774,NA
656,NA,-5.586,NA
647,NA,-5.225,NA
637,NA,-4.96,NA
628,NA,-5.64,NA
618,NA,-5.847,NA
609,NA,-5.704,NA
599,NA,-5.419,NA
590,NA,-5.434,NA
580,NA,-5.305,NA
570,NA,-5.203,NA
561,NA,-4.956,NA
551,NA,-4.759,NA
542,NA,-4.936,NA
