year (AD) [1-1],temperature (degC) [1-1],Uk37 (unitless) [1-1],notes (unitless) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],temperature (degC) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2],year (AD) [1-3],depth (cm) [1-3],d18O (permil) [1-3],temperature (degC) [1-3],Mg_Ca (mmol/mol) [1-3],d18O (permil) [1-3]
1988,13.4,0.4862,MINMC06-1,1987.86,0.5,NA,NA,NA,1.3,1971.76,0.5,1.902717453,18.55,3.58,1.11
1972,13.5,0.4895,MINMC06-2,1969.72,1,1.920799607,18.21,3.46,1.2,1943.53,1,1.989688895,18.82,3.68,1.14
1970,13.5,0.4895,MINMC06-1,1951.58,1.5,2.146822335,19.52,3.94,1.15,1915.29,1.5,2.37716869,20.72,4.45,1.13
1952,13.8,0.4994,MINMC06-1,1933.44,2,1.918320867,18.34,3.5,1.17,1887.06,2,NA,18.53,3.57,NA
1944,13.9,0.5027,MINMC06-2,1915.29,2.5,2.471897978,20.31,4.27,1.31,1858.82,2.5,2.016379673,18.52,3.57,1.23
1933,14.1,0.5093,MINMC06-1,1887.06,3,2.164368626,19.27,3.85,1.22,1830.59,3,1.92985586,18.3,3.49,1.19
1915,14.4,0.5192,MINMC06-1,1858.82,3.5,1.982153638,18.5,3.56,1.2,1802.35,3.5,2.096019181,19.04,3.76,1.2
1915,13.8,0.4994,MINMC06-2,1830.59,4,1.764042544,17.66,3.27,1.16,1774.12,4,1.887926923,18.48,3.55,1.11
1887,14.1,0.5093,MINMC06-1,1786.22,4.5,1.991388123,18.26,3.48,1.26,1745.88,4.5,2.286617832,19.71,4.02,1.25
1887,13.8,0.4994,MINMC06-2,1741.85,5,2.0923325,18.88,3.7,1.23,1717.65,5,1.963249438,18.08,3.42,1.27
1859,13.9,0.5027,MINMC06-1,1697.48,5.5,2.0323325,18.88,3.7,1.17,1689.41,5.5,NA,18.55,3.58,NA
1859,14.2,0.5126,MINMC06-2,1653.11,6,2.040167835,19.25,3.84,1.1,1661.18,6,2.321014148,19.54,3.95,1.32
1831,14.2,0.5126,MINMC06-1,1608.74,6.5,2.254393641,20.37,4.29,1.08,1632.94,6.5,2.109147922,18.77,3.66,1.27
1831,13.9,0.5027,MINMC06-2,1564.37,7,2.498722458,21.21,4.67,1.15,1604.71,7,2.313585612,19.6,3.98,1.3
1802,14,0.506,MINMC06-2,1508.33,8,2.285362582,19.37,3.89,1.32,1576.47,7.5,2.599063505,21.26,4.69,1.24
1786,14.5,0.5225,MINMC06-1,1496.67,8.5,2.226537458,19.09,3.78,1.32,1548.24,8,2.11004845,19.44,3.91,1.13
1774,14.2,0.5126,MINMC06-2,1485,9,1.962821314,18.74,3.65,1.13,1520,8.5,2.498474026,20.63,4.41,1.27
1746,13.9,0.5027,MINMC06-2,1415,9.5,2.201721119,19.83,4.07,1.14,1508.33,9,2.37606385,20.33,4.28,1.21
1742,14.8,0.5324,MINMC06-1,1345,10,2.055942924,18.66,3.62,1.24,1496.67,9.5,2.107739182,18.29,3.49,1.37
1718,14,0.506,MINMC06-2,1320,10.5,2.418964521,20.44,4.32,1.23,1485,10,2.028087742,18.15,3.44,1.32
1697,15,0.539,MINMC06-1,1295,11,2.44659237,20.91,4.53,1.16,1473.33,10.5,2.037739182,18.29,3.49,1.3
1689,14.1,0.5093,MINMC06-2,1270,11.5,1.931729497,18.12,3.43,1.23,1461.67,11,1.971013262,18.4,3.53,1.21
1661,14.2,0.5126,MINMC06-2,1237.14,12,2.113355992,19.79,4.05,1.06,1435,12,2.18806719,19.24,3.84,1.25
1653,15,0.539,MINMC06-1,1171.43,13,2.268116979,20.1,4.18,1.15,1420,12.5,2.314988231,19.75,4.04,1.27
1633,13.9,0.5027,MINMC06-2,1138.57,13.5,2.598645223,21.5,4.81,1.19,1405,13,2.123915022,19.03,3.76,1.23
1609,15.3,0.5489,MINMC06-1,1105.71,14,2.915039496,23.14,5.66,1.17,1390,13.5,2.149688895,18.82,3.68,1.3
1605,14.1,0.5093,MINMC06-2,1072.86,14.5,2.189395786,19.58,3.97,1.18,1375,14,1.909688895,18.82,3.68,1.06
1576,14.2,0.5126,MINMC06-2,1010.57,15,2.113755504,19.41,3.9,1.14,1360,14.5,2.009270761,18.25,3.47,1.28
1564,15.2,0.5456,MINMC06-1,948.29,15.5,2.269172441,19.77,4.04,1.22,1345,15,1.932931617,17.89,3.35,1.28
1548,14.2,0.5126,MINMC06-2,886,16,2.131657523,19.4,3.9,1.16,1330,15.5,2.13860273,18.72,3.64,1.31
1520,15.1,0.5423,MINMC06-1,823.71,16.5,2.758898011,22.23,5.17,1.2,1315,16,2.294057281,19.65,4,1.27
1520,14.4,0.5192,MINMC06-2,761.43,17,2.480790986,21.22,4.68,1.13,1300,16.5,2.548547554,20.15,4.2,1.42
1508,15,0.539,MINMC06-1,699.14,17.5,2.255447521,19.8,4.06,1.2,1285,17,2.071810696,19.02,3.75,1.18
1508,14.6,0.5258,MINMC06-2,636.86,18,2.529245069,20.73,4.45,1.28,1270,17.5,2.057153229,18.24,3.47,1.33
1497,15,0.539,MINMC06-1,574.57,18.5,2.316889073,20.19,4.22,1.18,1255,18,2.179181216,18.96,3.73,1.3
1497,14.2,0.5126,MINMC06-2,512.29,19,2.293066913,19.98,4.13,1.2,1212.14,19,2.163865398,19.22,3.83,1.23
1485,14.2,0.5126,MINMC06-1,427.78,20,2.493887687,21.09,4.61,1.17,1184.29,19.5,2.390668562,19.3,3.86,1.44
1485,14.3,0.5159,MINMC06-2,405.55,20.5,2.639587471,21.65,4.88,1.2,1156.43,20,2.394242917,19.46,3.92,1.41
1473,13.8,0.4994,MINMC06-2,383.33,21,2.872606486,23.03,5.6,1.15,1128.57,20.5,2.377993235,19.86,4.08,1.31
1462,13.8,0.4994,MINMC06-2,361.11,21.5,2.669415679,22.33,5.22,1.09,1100.71,21,2.269331641,20.01,4.14,1.17
1450,13.7,0.4961,MINMC06-2,338.88,22,2.764968031,22.65,5.39,1.12,1072.86,21.5,1.960436692,18.35,3.51,1.21
1435,13.6,0.4928,MINMC06-2,316.66,22.5,2.57625836,21.44,4.78,1.18,1045,22,2.071388123,18.26,3.48,1.34
1420,13.5,0.4895,MINMC06-2,294.44,23,2.604015034,21.72,4.91,1.15,1017.14,22.5,NA,NA,NA,1.16
1415,14.9,0.5357,MINMC06-1,272.21,23.5,2.494584925,21.19,4.66,1.15,989.29,23,1.856783146,18.38,3.52,1.1
1405,13.6,0.4928,MINMC06-2,249.99,24,2.397993235,19.86,4.08,1.33,961.43,23.5,2.026204871,18.33,3.5,1.28
1390,13.7,0.4961,MINMC06-2,227.77,24.5,2.410639278,20.4,4.31,1.23,933.57,24,2.161972368,18.31,3.49,1.42
1375,13.8,0.4994,MINMC06-2,183.32,25.5,2.338889608,19.96,4.12,1.25,905.71,24.5,1.948320867,18.34,3.5,1.2
1360,13.8,0.4994,MINMC06-2,161.1,26,2.292895879,19.74,4.03,1.25,877.86,25,2.340758203,18.92,3.71,1.47
1345,14.7,0.5291,MINMC06-1,138.87,26.5,1.946011455,18.85,3.69,1.09,807.14,26,2.48053303,19.92,4.11,1.4
1345,14.1,0.5093,MINMC06-2,116.65,27,2.688722458,21.21,4.67,1.34,764.29,26.5,2.328443475,19.91,4.1,1.25
1330,14.4,0.5192,MINMC06-2,94.43,27.5,2.177538885,19.81,4.06,1.12,721.43,27,2.245362582,19.37,3.89,1.28
1320,14.7,0.5291,MINMC06-1,72.2,28,2.130226994,19.06,3.77,1.23,678.57,27.5,2.519029907,20.97,4.56,1.22
1315,13.2,0.4796,MINMC06-2,49.98,28.5,2.453174471,20.99,4.57,1.15,635.71,28,2.448377429,21.16,4.65,1.11
1300,13.6,0.4928,MINMC06-2,27.76,29,2.15843672,19.48,3.93,1.17,592.86,28.5,2.738963256,21.55,4.83,1.32
1295,14.7,0.5291,MINMC06-1,5.53,29.5,2.3731435,20.22,4.23,1.23,516.67,29.5,2.792553421,21.81,4.96,1.32
1285,14.1,0.5093,MINMC06-2,-16.69,30,2.224057281,19.65,3.99,1.2,483.33,30,2.25053303,19.92,4.1,1.17
1270,15.3,0.5489,MINMC06-1,-38.91,30.5,2.553534286,21.33,4.73,1.18,450,30.5,2.261657523,19.4,3.9,1.29
1270,14.5,0.5225,MINMC06-2,-61.14,31,2.62107908,21.9,5,1.13,416.67,31,2.486396034,20.62,4.4,1.26
