year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1]
1920,-3.22,1904,-3.36
1917,-3.28,1901,-3.67
1915,-2.93,1898,-3.56
1911,-2.76,1895,-3.71
1908,-3.04,1892,-3.28
1905,-2.96,1889,-3.57
1902,-2.85,1886,-3.59
1900,-3.02,1883,-3.41
1897,-3.17,1880,-3.35
1894,-3.24,1877,-3.4
1891,-2.82,1874,-3.66
1888,-3.24,1871,-3.78
1885,-3.13,1868,-3.59
1881,-3.06,1865,-3.42
1878,-2.83,1862,-3.5
1875,-3.18,1860,-3.48
1872,-3.35,1857,-3.32
1870,-3.45,1854,-3.53
1868,-3.24,1851,-3.44
1865,-2.92,1848,-3.49
1862,-3.24,1845,-3.26
1859,-2.95,1842,-3.21
1856,-2.69,1839,-3.33
NA,NA,1836,-3.38
NA,NA,1833,-3.51
