year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
1993,0,0.62,NA,NA
1985.645,1,0.71,NA,1.24
1978.29,2,1.09,NA,NA
1970.935,3,0.63,NA,NA
1963.581,4,1.07,1.08,1.62
1956.2258,5,0.95,1.1,0.98
1948.871,6,0.91,1.06,NA
1941.5161,7,1.12,1.23,1.34
1934.161,8,NA,0.92,NA
1926.806,9,1.2,1.08,1.17
1919.452,10,0.76,1.02,1.89
1912.097,11,0.88,1.02,1.02
1904.742,12,0.83,1.12,NA
1897.387,13,0.89,0.82,NA
1890.032,14,0.84,1.04,2.03
1882.677,15,0.91,1,NA
1875.323,16,0.77,1.04,1.77
1867.968,17,0.8,0.91,1.87
1860.613,18,0.84,1.13,2.51
1853.258,19,1.08,0.88,1.88
1845.9,20,0.83,0.9,1.8
1838.55,21,0.99,0.8,NA
1831.19,22,0.89,1.09,2.74
1823.84,23,1.02,1.04,1.87
1816.48,24,1.02,1.08,3.04
1809.13,25,1.04,1.03,NA
1801.77,26,1.04,1,NA
1794.42,27,0.95,1.17,1.98
1787.06,28,1,1.18,NA
1779.71,29,0.9,1.14,1.39
1772.35,30,1.11,1.25,1.99
1765,31,1.05,1.13,1.52
1724.34,32,0.99,0.68,2.7
1683.68,33,0.9,1.18,NA
1643.03,34,0.89,0.85,1.91
1602.37,35,0.78,0.88,NA
1561.71,36,0.99,0.95,NA
1521.05,37,0.96,0.6,1.44
1480.39,38,0.71,0.91,NA
1439.74,39,0.61,1.01,NA
1399.08,40,0.68,0.76,1.17
1358.42,41,0.93,0.57,NA
1317.76,42,0.81,0.8,NA
1277.11,43,0.84,0.57,NA
1236.45,44,0.88,0.88,1.3
1195.79,45,1.02,0.71,NA
1155.13,46,0.86,0.76,NA
1114.47,47,0.92,1.03,1.28
1073.82,48,0.81,0.96,NA
1033.16,49,0.76,0.7,NA
992.5,50,0.82,0.96,NA
951.84,51,0.84,0.75,NA
911.2,52,0.73,0.79,1.22
870.5,53,0.82,0.98,NA
829.9,54,0.87,0.96,NA
789.2,55,0.7,0.74,NA
748.6,56,0.7,0.8,NA
707.9,57,0.91,1.04,NA
667.2,58,0.89,0.91,1.51
626.6,59,1.13,1.08,NA
585.9,60,0.99,1.04,NA
545.3,61,1.41,1.08,NA
504.6,62,0.84,1.2,NA
463.9,63,0.99,0.98,0.92
423.3,64,0.8,0.95,NA
382.6,65,0.8,0.98,NA
342,66,0.76,1.2,0.88
301.3,67,0.99,1.09,NA
260.7,68,0.88,1.13,NA
220,69,0.72,1.12,NA
197.4,70,1,0.98,1.13
174.9,71,0.77,0.92,NA
152.3,72,1.25,1.01,NA
129.7,73,0.9,1.08,NA
107.1,74,1.27,1.27,1.32
84.6,75,0.81,0.88,NA
62,76,0.59,0.74,NA
39.4,77,0.89,0.94,NA
16.9,78,0.82,0.83,NA
-5.7,79,0.73,0.79,NA
-28.3,80,0.94,NA,NA
-50.9,81,1.07,NA,NA
-73.4,82,1.32,NA,NA
-96,83,1.52,NA,NA
-118.6,84,1.35,NA,1.33
-141.1,85,1.55,NA,NA
-163.7,86,1.02,NA,NA
-186.3,87,1.29,NA,NA
-208.9,88,1.13,NA,NA
-231.4,89,NA,NA,NA
-254,90,NA,NA,NA
-276.6,91,NA,NA,NA
-299.1,92,0.52,NA,NA
-321.7,93,NA,NA,NA
-344.3,94,0.76,NA,NA
-366.9,95,0.95,NA,NA
-389.4,96,1.02,NA,NA
-412,97,1.31,NA,NA
-434.6,98,1.07,NA,NA
-457.1,99,0.36,NA,NA
-479.7,100,0.81,NA,NA
-502.3,101,0.85,NA,NA
-524.9,102,1,NA,NA
-547.4,103,0.89,NA,NA
-570,104,0.92,NA,NA
-592.6,105,1.15,NA,NA
-615.1,106,1.21,NA,NA
-637.7,107,1.11,NA,NA
-660.3,108,1.03,NA,NA
-682.9,109,0.86,NA,NA
-705.4,110,NA,NA,NA
-728,111,0.88,NA,NA
-750.6,112,NA,NA,NA
-773.1,113,NA,NA,NA
-795.7,114,NA,NA,NA
-818.3,115,0.85,NA,NA
-840.9,116,NA,NA,NA
-863.4,117,NA,NA,NA
-886,118,NA,NA,NA
-908.6,119,NA,NA,NA
-931.1,120,NA,NA,NA
-953.7,121,NA,NA,NA
-976.3,122,NA,NA,NA
-998.9,123,NA,NA,NA
-1021.4,124,NA,NA,NA
-1044,125,NA,NA,NA
-1066.6,126,NA,NA,NA
-1089.1,127,NA,NA,NA
-1111.7,128,NA,NA,NA
-1134.3,129,NA,NA,NA
-1156.9,130,NA,NA,NA
-1179.4,131,NA,NA,NA
-1202,132,NA,NA,NA
-1224.6,133,1.35,NA,NA
-1247.1,134,NA,NA,NA
-1269.7,135,1.12,NA,NA
-1292.3,136,0.9,NA,NA
-1314.9,137,1.09,NA,NA
-1337.4,138,1.25,NA,NA
-1360,139,1.1,NA,NA
-1407.5,140,1.15,NA,NA
-1455,141,0.9,NA,NA
-1502.5,142,1.13,NA,NA
-1550,143,0.82,NA,NA
-1597.5,144,0.99,NA,NA
-1645,145,1.31,NA,NA
-1692.5,146,1.35,NA,NA
-1740,147,1.18,NA,NA
-1787.5,148,1.33,NA,NA
-1835,149,0.76,NA,NA
-1882.5,150,0.99,NA,NA
-1930,151,1.24,NA,NA
-1977.5,152,0.89,NA,NA
-2025,153,1.28,NA,NA
-2072.5,154,1.08,NA,NA
-2120,155,1.18,NA,NA
-2167.5,156,1.07,NA,NA
-2215,157,1.13,NA,NA
-2262.5,158,0.98,NA,NA
-2310,159,1.07,NA,NA
-2357.5,160,1.28,NA,NA
-2405,161,NA,NA,NA
-2452.5,162,NA,NA,NA
-2500,163,NA,NA,NA
-2547.5,164,NA,NA,NA
-2595,165,NA,NA,NA
-2642.5,166,NA,NA,NA
-2690,167,NA,NA,NA
-2737.5,168,1.01,NA,NA
-2785,169,NA,NA,NA
-2832.5,170,NA,NA,NA
-2880,171,NA,NA,NA
-2927.3,172,NA,NA,NA
-2974.7,173,NA,NA,NA
-3022,174,0.48,NA,NA
-3069.3,175,NA,NA,NA
-3116.7,176,NA,NA,NA
-3164,177,NA,NA,NA
-3211.3,178,1,NA,NA
-3258.7,179,0.87,NA,NA
-3306,180,0.95,NA,NA
-3353.3,181,0.41,NA,NA
-3400.7,182,1.03,NA,NA
-3448,183,0.72,NA,NA
-3495.3,184,0.97,NA,NA
-3542.7,185,1.06,NA,NA
-3590,186,1.2,NA,NA
-3637.3,187,0.98,NA,NA
-3684.7,188,0.87,NA,NA
-3732,189,1.38,NA,0.9
-3779.3,190,1.33,NA,NA
-3826.7,191,1.09,NA,NA
-3874,192,0.83,NA,NA
-3921.3,193,1.49,NA,NA
-3968.7,194,NA,NA,NA
