year (AD),depth (cm),d18O (permil)
1940,NA,-27.67
1920,NA,-28
1900,NA,-28.79
1880,NA,-27.91
1860,NA,-28.49
1840,NA,-28.85
1820,NA,-28.57
1800,NA,-28.87
1780,NA,-28.2
1760,NA,-28.43
1740,NA,-29.2
1720,NA,-29.75
1700,NA,-29.19
1680,NA,-29.46
1660,NA,-29.64
1640,NA,-28.82
1620,NA,-29.2
1600,NA,-28.11
1580,NA,-27.89
1560,NA,-28.66
1540,NA,-28.3
1520,NA,-28.5
1500,NA,-28.74
1480,NA,-28.98
1460,NA,-28.89
1440,NA,-27.95
1420,NA,-27.88
1400,NA,-28.33
1380,NA,-28.22
1360,NA,-28.49
1340,NA,-28.65
1320,NA,-28.63
1300,NA,-28.56
1280,NA,-27.93
1260,NA,-29.42
1240,NA,-28.67
1220,NA,-28.29
1200,NA,-27.48
1180,NA,-28.84
1160,NA,-28.33
1140,NA,-27.59
1120,NA,-29.14
1100,NA,-29.2
1080,NA,-28.21
1060,NA,-28.27
1040,NA,-29.03
1020,NA,-28.35
1000,NA,-28.17
980,NA,-28.96
960,NA,-27.98
940,NA,-27.17
920,NA,-28.07
900,NA,-28.14
880,NA,-28.95
860,NA,-27.94
840,NA,-28.75
820,NA,-28.24
800,NA,-27.51
780,NA,-28.54
760,NA,-27.87
740,NA,-28.49
720,NA,-28.17
700,NA,-27.6
680,NA,-28.43
660,NA,-28.95
640,NA,-28.78
620,NA,-27.57
600,NA,-28.61
580,NA,-27.94
560,NA,-27.37
540,NA,-27.31
520,NA,-27.79
500,NA,-28.82
480,NA,-27.49
460,NA,-27.95
440,NA,-27.61
420,NA,-27.9
400,NA,-27.55
380,NA,-27.8
360,NA,-28.17
340,NA,-27.41
320,NA,-28.01
300,NA,-28
280,NA,-27.35
260,NA,-28.39
240,NA,-27.98
220,NA,-28.42
200,NA,-28.04
180,NA,-27.81
160,NA,-28.83
140,NA,-27.53
120,NA,-27.66
100,NA,-28.61
80,NA,-28.54
60,NA,-27.52
40,NA,-28.99
20,NA,-27.11
0,NA,-28.71
-20,NA,-27.79
-40,NA,-27.92
-60,NA,-27.07
-80,NA,-27.6
-100,NA,-28.09
-120,NA,-28.2
-140,NA,-28.83
-160,NA,-27.54
-180,NA,-28.41
-200,NA,-27.87
-220,NA,-26.71
-240,NA,-27.97
-260,NA,-27.14
-280,NA,-27.35
-300,NA,-28.57
-320,NA,-27.87
-340,NA,-27.55
-360,NA,-28.31
-380,NA,-27.12
-400,NA,-27.47
-420,NA,-27.2
-440,NA,-27.88
-460,NA,-26.78
-480,NA,-27.67
-500,NA,-27.32
-520,NA,-27.39
-540,NA,-28.18
-560,NA,-27.05
-580,NA,-27.4
-600,NA,-27.58
-620,NA,-27.35
-640,NA,-27.15
-660,NA,-26.97
-680,NA,-28.5
-700,NA,-28.57
-720,NA,-27.95
-740,NA,-28.36
-760,NA,-27.65
-780,NA,-27.24
-800,NA,-27.81
-820,NA,-27.67
-840,NA,-27.47
-860,NA,-27.61
-880,NA,-27.53
-900,NA,-27.34
-920,NA,-28.34
-940,NA,-28.67
-960,NA,-27.86
-980,NA,-26.83
-1000,NA,-26.74
-1020,NA,-28.05
-1040,NA,-28.06
-1060,NA,-27.74
-1080,NA,-27.87
-1100,NA,-27.08
-1120,NA,-28.04
-1140,NA,-28.41
-1160,NA,-28
-1180,NA,-27.86
-1200,NA,-27.06
-1220,NA,-28.04
-1240,NA,-29
-1260,NA,-28.49
-1280,NA,-27.65
-1300,NA,-27.62
-1320,NA,-28.28
-1340,NA,-28.03
-1360,NA,-28.85
-1380,NA,-28.81
-1400,NA,-28.46
-1420,NA,-27.87
-1440,NA,-27.53
-1460,NA,-27.84
-1480,NA,-28.09
-1500,NA,-27.67
-1520,NA,-27.39
-1540,NA,-27.66
-1560,NA,-27.91
-1580,NA,-27.38
-1600,NA,-27.5
-1620,NA,-27.01
-1640,NA,-27.63
-1660,NA,-27.75
-1680,NA,-27.51
-1700,NA,-27.92
-1720,NA,-28.33
-1740,NA,-27.96
-1760,NA,-28.09
-1780,NA,-28.55
-1800,NA,-27.88
-1820,NA,-27.5
