year (CE),d18O (per mil)
2004.895833,-2.777
2004.791667,-2.716
2004.6875,-3.373
2004.583333,-3.429
2004.479166,-2.915
2004.375,-3.177
2004.270833,-3.002
2004.166666,-2.728
2004.049999,-2.164
2003.933333,-1.66
2003.816666,-1.54
2003.7,-2.016
2003.583333,-2.452
2003.523809,-2.802
2003.464285,-2.917
2003.404761,-3.275
2003.345238,-3.273
2003.285714,-2.924
2003.22619,-2.873
2003.166666,-2.33
2003.049999,-2.158
2002.933333,-1.716
2002.816666,-2.013
2002.7,-2.421
2002.583333,-2.791
2002.527777,-3.044
2002.472222,-3.131
2002.416666,-3.141
2002.361111,-3.176
2002.305555,-3.279
2002.25,-3.239
2002.194444,-3.162
2002.138889,-2.619
2002.083333,-2.381
2002.013889,-1.705
2001.944444,-1.689
2001.875,-1.832
2001.805555,-2.5385
2001.736111,-2.429
2001.666666,-2.597
2001.593749,-3.115
2001.520833,-3.481
2001.447916,-3.517
2001.375,-2.794
2001.302083,-2.796
2001.229166,-2.719
2001.15625,-2.782
2001.083333,-2.204
2001,-1.946
2000.916666,-1.883
2000.833333,-2.44
2000.75,-2.881
2000.666666,-2.827
2000.583333,-3.177
2000.5,-3.37
2000.416666,-3.277
2000.333333,-3.448
2000.249999,-2.758
2000.166666,-2.717
2000.104166,-2.432
2000.041666,-2.084
1999.979166,-1.7575
1999.916666,-1.555
1999.854166,-2.008
1999.791666,-2.552
1999.729166,-2.694
1999.666666,-2.559
1999.549999,-2.705
1999.433333,-3.064
1999.316666,-3.1
1999.2,-2.569
1999.083333,-2.704
1999.023809,-2.508
1998.964285,-2.346
1998.904761,-2.271
1998.845238,-2.154
1998.785714,-2.138
1998.72619,-2.419
1998.666666,-2.618
1998.61111,-2.555
1998.555555,-2.7205
1998.499999,-3.013
1998.444444,-2.931
1998.388888,-2.591
1998.333333,-2.147
1998.277777,-2.242
1998.222222,-2.286
1998.166666,-2.048
1998.020833,-1.966
1997.875,-2.311
1997.729166,-2.502
1997.583333,-2.92
1997.5,-3.052
1997.416666,-3.064
1997.333333,-3.18
1997.25,-3.132
1997.166666,-2.4155
1997.083333,-2.067
1996.958333,-1.96
1996.833333,-1.572
1996.708333,-1.895
1996.583333,-2.048
1996.523809,-1.996
1996.464285,-2.188
1996.404761,-2.923
1996.345238,-3.037
1996.285714,-2.815
1996.22619,-2.1445
1996.166666,-1.975
1996.066666,-1.616
1995.966666,-1.539
1995.866666,-1.764
1995.766666,-2.147
1995.666666,-2.446
1995.595237,-2.764
1995.523809,-3.152
1995.45238,-3.432
1995.380952,-2.925
1995.309523,-2.188
1995.238095,-2.155
1995.166666,-2.057
1995.066666,-1.697
1994.966666,-2.183
1994.866666,-2.2715
1994.766666,-2.518
1994.666666,-2.065
1994.569444,-2.746
1994.472222,-2.805
1994.375,-2.332
1994.277777,-2.47
1994.180555,-2.17
1994.083333,-1.844
1993.958333,-1.823
1993.833333,-2.188
1993.708333,-2.585
1993.583333,-2.553
1993.5,-3.01
1993.416666,-2.996
1993.333333,-2.725
1993.249999,-2.625
1993.166666,-2.713
1993.071428,-2.452
1992.97619,-1.8825
1992.880952,-2.073
1992.785713,-1.802
1992.690475,-1.946
1992.595237,-2.318
1992.499999,-2.278
1992.444444,-2.673
1992.388888,-2.676
1992.333333,-2.7025
1992.277777,-3.019
1992.222222,-2.516
1992.166666,-2.142
1992.066666,-1.971
1991.966666,-1.262
1991.866666,-1.484
1991.766666,-2.006
1991.666666,-2.372
1991.566666,-2.131
1991.466666,-2.566
1991.366666,-2.767
1991.266666,-2.8
1991.166666,-2.353
1991.083333,-1.941
1990.999999,-1.163
1990.916666,-1.4525
1990.833333,-1.857
1990.75,-1.881
1990.666666,-2.296
1990.583333,-2.509
1990.486111,-2.428
1990.388888,-2.742
1990.291666,-2.638
1990.194444,-2.382
1990.097221,-1.965
1989.999999,-1.539
1989.916666,-1.423
1989.833333,-1.6
1989.749999,-2.047
1989.666666,-2.062
1989.583333,-2.134
1989.499999,-2.233
1989.416666,-2.141
1989.333333,-2.136
1989.249999,-2.0575
1989.166666,-1.948
1989.069444,-1.457
1988.972222,-1.733
1988.875,-1.852
1988.777777,-2.109
1988.680555,-2.599
1988.583333,-2.329
1988.458333,-2.491
1988.333333,-2.599
1988.208333,-2.543
1988.083333,-2.231
1987.958333,-1.421
1987.833333,-1.17
1987.708333,-1.485
1987.583333,-2.008
1987.458333,-2.309
1987.333333,-2.6045
1987.208333,-2.244
1987.083333,-2.146
1986.916666,-1.616
1986.75,-2.151
1986.583333,-2.587
1986.444444,-2.584
1986.305555,-2.886
1986.166666,-2.3965
1986.041666,-1.5
1985.916666,-1.662
1985.791666,-2.234
1985.666666,-2.39
1985.375,-2.428
1985.083333,-2.274
1984.958333,-1.678
1984.833333,-1.5345
1984.708333,-2.274
1984.583333,-2.244
1984.333333,-2.031
1984.083333,-2.003
1983.916666,-1.728
1983.75,-1.301
1983.583333,-1.705
1983.458333,-2.0415
1983.333333,-2.434
1983.208333,-2.182
1983.083333,-1.792
1982.944444,-1.702
1982.805555,-1.84
1982.666666,-2.156
1982.472222,-2.475
1982.277777,-2.474
1982.083333,-2.352
1981.958333,-2.335
1981.833333,-1.1545
1981.708333,-1.332
1981.583333,-1.897
1981.479166,-1.65
1981.375,-2.468
1981.270833,-2.44
1981.166666,-1.751
1980.972222,-1.12
1980.777777,-1.672
1980.583333,-1.982
1980.444444,-2.529
1980.305555,-2.624
1980.166666,-2.219
1980.020833,-1.491
1979.875,-1.311
1979.729166,-1.619
1979.583333,-2.5405
1979.375,-3.184
1979.166666,-2.505
1979.041666,-1.665
1978.916666,-1.445
1978.791666,-1.868
1978.666666,-2.545
1978.375,-2.624
1978.083333,-1.972
1977.875,-1.407
1977.666666,-1.641
1977.541666,-2.18
1977.416666,-2.852
1977.291666,-2.507
1977.166666,-1.697
1976.972222,-1.302
1976.777777,-2.075
1976.583333,-2.792
1976.333333,-2.691
1976.083333,-2.2175
1975.958333,-2.245
1975.833333,-1.411
1975.708333,-1.328
1975.583333,-1.606
1975.388889,-2.582
1975.194444,-2.123
1975,-1.865
1974.833333,-1.5865
1974.666667,-1.224
1974.5,-1.858
1974.083333,-2.005
1973.833333,-1.659
1973.583333,-1.348
1973.5,-1.749
1973.416666,-2.348
1973.333333,-2.6665
1973.249999,-2.396
1973.166666,-1.815
1973.041666,-1.211
1972.916666,-1.604
1972.791666,-2.17
1972.666666,-2.543
1972.541666,-2.825
1972.416666,-2.613
1972.291666,-2.295
1972.166666,-2.097
1972.049999,-2.11
1971.933333,-1.739
1971.816666,-1.737
1971.7,-1.823
1971.583333,-1.696
1971.5,-2.068
1971.416666,-2.501
1971.333333,-2.53
1971.249999,-1.969
1971.166666,-1.975
1971.083333,-1.456
1970.999999,-1.305
1970.916666,-0.721
1970.833333,-0.904
1970.749999,-1.606
1970.666666,-1.36
1970.583333,-1.737
1970.499999,-2.257
1970.166666,-3.081
1970.083333,-2.743
1969.916666,-1.899
